Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O),PAV_Sum,Venue,position,form,thisSeasonRecord.winLossRecord.wins,thisSeasonRecord.winLossRecord.losses,thisSeasonRecord.winLossRecord.draws
5557,2013.0,1.0,0.0,1.0,87.0,103.0,-16.0,0.0,4.0,209.0,144.0,353.0,1.45,73.0,39.0,44.0,23.0,22.0,13.0,9.0,9.0,0.0,22.0,59.1,27.15,16.05,43.0,45.0,30.0,53.0,2.41,4.08,41.5,24.5,188.0,87.7,24.41,77.0,7.0,10.0,2.0,3.0,137.0,211.0,253.0,71.7,7.0,7.0,41.0,4.0,69.2,210.0,117.0,327.0,1.79,92.0,57.0,26.0,22.0,23.0,15.0,11.0,11.0,2.0,28.0,53.6,21.8,11.68,32.0,46.0,37.0,52.0,1.86,3.47,50.0,28.8,187.0,90.4,25.58,103.6,6.0,6.0,3.0,7.0,142.0,184.0,234.0,71.6,15.0,14.0,43.0,5.0,73.3,235.66,Marvel Stadium,13.0,L,0.0,1.0,0.0
5565,2013.0,2.0,1.0,0.0,108.0,112.0,-4.0,0.0,7.0,232.0,123.0,355.0,1.89,107.0,72.0,53.0,22.0,29.0,17.0,10.0,5.0,1.0,23.0,73.9,20.88,15.43,48.0,57.0,50.0,41.0,1.78,2.41,53.7,41.5,187.8,87.8,24.66,80.4,7.0,9.0,3.0,3.0,150.0,201.0,263.0,74.1,13.0,11.0,38.0,7.0,58.8,173.0,177.0,350.0,0.98,57.0,72.0,35.0,29.0,22.0,16.0,10.0,16.0,0.0,32.0,50.0,21.88,10.94,33.0,45.0,23.0,71.0,2.22,4.44,45.1,22.5,187.9,88.5,26.0,107.7,8.0,3.0,5.0,6.0,154.0,202.0,242.0,69.1,10.0,14.0,38.0,5.0,62.5,234.38,Marvel Stadium,12.0,LL,0.0,2.0,0.0
5569,2013.0,3.0,0.0,1.0,92.0,131.0,-39.0,0.0,16.0,220.0,119.0,339.0,1.85,94.0,59.0,45.0,23.0,16.0,13.0,9.0,6.0,8.0,27.0,48.1,26.08,12.56,47.0,48.0,35.0,49.0,1.81,3.77,38.8,26.5,187.7,87.7,24.49,80.6,7.0,9.0,3.0,3.0,139.0,199.0,241.0,71.1,14.0,9.0,40.0,4.0,69.2,205.0,152.0,357.0,1.35,71.0,57.0,57.0,16.0,23.0,20.0,15.0,9.0,2.0,31.0,64.5,17.85,11.52,46.0,44.0,33.0,58.0,1.87,2.9,50.0,34.5,186.9,88.5,26.91,128.6,4.0,7.0,4.0,7.0,148.0,200.0,266.0,74.5,11.0,8.0,39.0,5.0,75.0,232.38,Blundstone Arena,16.0,LLL,0.0,3.0,0.0
5585,2013.0,4.0,0.0,0.0,125.0,62.0,63.0,1.0,2.0,235.0,166.0,401.0,1.42,109.0,41.0,39.0,25.0,21.0,18.0,8.0,15.0,2.0,35.0,51.4,22.28,11.46,29.0,40.0,33.0,64.0,1.83,3.56,51.6,28.1,187.8,87.9,24.66,80.9,6.0,10.0,3.0,3.0,148.0,256.0,310.0,77.3,15.0,12.0,40.0,22.0,44.4,188.0,154.0,342.0,1.22,89.0,50.0,25.0,21.0,25.0,9.0,8.0,7.0,1.0,17.0,52.9,38.0,20.12,29.0,53.0,43.0,46.0,2.71,5.11,34.8,19.6,187.1,87.7,24.49,76.5,9.0,6.0,5.0,2.0,125.0,217.0,255.0,74.6,8.0,9.0,54.0,9.0,88.9,226.75,Marvel Stadium,11.0,LLLW,1.0,3.0,0.0
5594,2013.0,5.0,1.0,0.0,96.0,99.0,-3.0,0.0,10.0,216.0,134.0,350.0,1.61,72.0,44.0,47.0,30.0,15.0,13.0,6.0,13.0,5.0,31.0,41.9,26.92,11.29,44.0,41.0,28.0,62.0,2.0,4.77,41.9,21.0,187.5,87.4,24.58,78.3,7.0,9.0,3.0,3.0,149.0,199.0,256.0,73.1,9.0,6.0,50.0,9.0,46.2,204.0,126.0,330.0,1.62,99.0,49.0,26.0,15.0,29.0,14.0,10.0,14.0,1.0,29.0,48.3,23.57,11.38,25.0,52.0,40.0,47.0,1.62,3.36,59.6,29.8,187.3,88.5,26.24,123.9,7.0,2.0,2.0,11.0,126.0,210.0,233.0,70.6,14.0,17.0,61.0,15.0,71.4,221.66,MCG,13.0,LLLWL,1.0,4.0,0.0
5597,2013.0,6.0,0.0,0.0,93.0,83.0,10.0,1.0,13.0,200.0,136.0,336.0,1.47,75.0,66.0,50.0,38.0,15.0,14.0,9.0,8.0,1.0,23.0,60.9,24.0,14.61,42.0,39.0,29.0,54.0,2.35,3.86,40.7,25.9,187.5,87.1,24.49,76.9,8.0,8.0,3.0,3.0,159.0,175.0,227.0,67.6,11.0,14.0,27.0,7.0,64.3,159.0,148.0,307.0,1.07,58.0,78.0,31.0,15.0,38.0,12.0,7.0,8.0,3.0,23.0,52.2,25.58,13.35,36.0,52.0,34.0,43.0,1.87,3.58,46.5,27.9,187.5,87.0,24.16,75.0,9.0,5.0,5.0,3.0,128.0,175.0,217.0,70.7,7.0,12.0,47.0,9.0,58.3,208.6,Blundstone Arena,11.0,LLLWLW,2.0,4.0,0.0
5607,2013.0,7.0,1.0,1.0,151.0,97.0,54.0,1.0,18.0,215.0,134.0,349.0,1.6,93.0,71.0,37.0,21.0,26.0,22.0,11.0,15.0,4.0,41.0,53.7,15.86,8.51,36.0,50.0,28.0,59.0,1.44,2.68,62.7,37.3,186.9,87.0,25.0,94.0,7.0,7.0,4.0,4.0,155.0,193.0,267.0,76.5,19.0,19.0,40.0,12.0,50.0,159.0,128.0,287.0,1.24,59.0,80.0,41.0,26.0,20.0,15.0,10.0,5.0,2.0,22.0,68.2,19.13,13.05,39.0,47.0,27.0,45.0,2.05,3.0,44.4,33.3,187.0,87.0,25.24,94.1,12.0,2.0,1.0,7.0,135.0,152.0,209.0,72.8,18.0,8.0,40.0,7.0,66.7,224.14,Marvel Stadium,12.0,LLLWLWW,3.0,4.0,0.0
5613,2013.0,8.0,1.0,0.0,88.0,90.0,-2.0,0.0,17.0,216.0,98.0,314.0,2.2,112.0,42.0,27.0,17.0,21.0,13.0,11.0,7.0,3.0,23.0,56.5,24.15,13.65,34.0,49.0,34.0,50.0,2.17,3.85,40.0,26.0,187.1,87.5,25.24,97.7,6.0,8.0,4.0,4.0,121.0,189.0,244.0,77.7,20.0,10.0,28.0,18.0,84.6,194.0,93.0,287.0,2.09,93.0,65.0,46.0,21.0,17.0,12.0,7.0,17.0,1.0,30.0,40.0,23.92,9.57,30.0,32.0,31.0,50.0,1.67,4.17,58.0,24.0,188.6,88.3,25.49,112.8,3.0,8.0,7.0,4.0,126.0,165.0,201.0,70.0,19.0,17.0,43.0,7.0,58.3,232.06,Optus Stadium,13.0,LLLWLWWL,3.0,5.0,0.0
5629,2013.0,9.0,0.0,1.0,124.0,125.0,-1.0,0.0,1.0,201.0,141.0,342.0,1.43,100.0,67.0,46.0,17.0,13.0,19.0,13.0,7.0,3.0,29.0,65.5,18.0,11.79,39.0,37.0,29.0,51.0,1.76,2.68,51.0,37.3,187.1,87.5,25.24,98.7,6.0,8.0,4.0,4.0,132.0,211.0,252.0,73.7,10.0,16.0,45.0,8.0,68.4,203.0,148.0,351.0,1.37,84.0,45.0,25.0,13.0,17.0,18.0,13.0,12.0,5.0,35.0,51.4,19.5,10.03,29.0,43.0,29.0,53.0,1.51,2.94,56.6,34.0,186.4,87.9,24.41,80.8,9.0,6.0,3.0,4.0,137.0,211.0,252.0,71.8,7.0,14.0,38.0,14.0,72.2,232.06,Marvel Stadium,13.0,LLLWLWWLL,3.0,6.0,0.0
5638,2013.0,10.0,0.0,0.0,133.0,65.0,68.0,1.0,15.0,255.0,160.0,415.0,1.59,136.0,51.0,58.0,24.0,11.0,19.0,13.0,16.0,3.0,38.0,50.0,21.84,10.92,44.0,29.0,22.0,54.0,1.42,2.84,64.8,35.2,186.6,86.5,25.24,96.9,7.0,7.0,4.0,4.0,148.0,268.0,311.0,74.9,13.0,17.0,40.0,31.0,68.4,168.0,123.0,291.0,1.37,69.0,54.0,39.0,11.0,24.0,10.0,8.0,4.0,1.0,15.0,66.7,29.1,19.4,35.0,45.0,33.0,33.0,2.2,3.3,42.4,30.3,187.8,86.9,24.74,93.0,10.0,4.0,2.0,6.0,112.0,175.0,207.0,71.1,9.0,6.0,36.0,17.0,80.0,218.75,Marvel Stadium,12.0,LLLWLWWLLW,4.0,6.0,0.0
5643,2013.0,11.0,1.0,0.0,51.0,66.0,-15.0,0.0,8.0,186.0,115.0,301.0,1.62,42.0,106.0,61.0,17.0,12.0,8.0,3.0,2.0,1.0,11.0,72.7,37.62,27.36,40.0,49.0,53.0,42.0,3.82,5.25,23.8,19.0,186.6,86.5,25.24,97.9,6.0,8.0,4.0,4.0,161.0,130.0,172.0,57.1,4.0,4.0,64.0,12.0,37.5,213.0,165.0,378.0,1.29,57.0,101.0,41.0,12.0,17.0,9.0,7.0,9.0,3.0,21.0,42.9,42.0,18.0,55.0,44.0,33.0,66.0,3.14,7.33,27.3,13.6,188.1,87.6,22.91,58.0,17.0,0.0,2.0,3.0,191.0,185.0,237.0,62.7,7.0,6.0,44.0,4.0,77.8,262.28,Metricon Stadium,13.0,LLLWLWWLLWL,4.0,7.0,0.0
5656,2013.0,13.0,1.0,0.0,29.0,67.0,-38.0,0.0,6.0,197.0,150.0,347.0,1.31,87.0,82.0,52.0,21.0,20.0,4.0,3.0,3.0,2.0,9.0,44.4,86.75,38.56,32.0,49.0,35.0,36.0,4.0,9.0,19.4,11.1,186.6,86.6,25.24,95.0,7.0,8.0,3.0,4.0,139.0,208.0,248.0,71.5,5.0,6.0,39.0,0.0,75.0,218.0,145.0,363.0,1.5,91.0,78.0,39.0,20.0,21.0,10.0,6.0,5.0,2.0,17.0,58.8,36.3,21.35,35.0,49.0,30.0,47.0,2.76,4.7,31.9,21.3,187.4,86.6,24.91,82.3,6.0,9.0,3.0,4.0,146.0,215.0,254.0,70.0,8.0,11.0,51.0,5.0,60.0,244.58,Optus Stadium,13.0,LLLWLWWLLWLL,4.0,8.0,0.0
