Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O),PAV_Sum,Venue,position,form,thisSeasonRecord.winLossRecord.wins,thisSeasonRecord.winLossRecord.losses,thisSeasonRecord.winLossRecord.draws
5554,2013.0,1.0,1.0,1.0,106.0,76.0,30.0,1.0,9.0,207.0,154.0,361.0,1.34,70.0,69.0,49.0,25.0,22.0,16.0,8.0,8.0,2.0,26.0,61.5,22.56,13.88,42.0,51.0,36.0,48.0,1.85,3.0,50.0,33.3,186.8,88.3,27.8,128.6,5.0,5.0,4.0,8.0,176.0,187.0,246.0,68.1,17.0,8.0,51.0,7.0,50.0,207.0,139.0,346.0,1.49,81.0,53.0,36.0,22.0,25.0,11.0,5.0,9.0,1.0,21.0,52.4,31.45,16.48,44.0,48.0,28.0,50.0,2.38,4.55,40.0,22.0,187.0,84.6,21.58,31.3,18.0,2.0,1.0,1.0,156.0,189.0,231.0,66.8,6.0,5.0,39.0,5.0,45.5,225.3,Accor Stadium Australia,4.0,W,1.0,0.0,0.0
5560,2013.0,2.0,0.0,0.0,114.0,73.0,41.0,1.0,8.0,218.0,151.0,369.0,1.44,45.0,73.0,57.0,28.0,33.0,17.0,12.0,8.0,4.0,29.0,58.6,21.71,12.72,47.0,61.0,33.0,58.0,2.0,3.41,43.1,29.3,186.8,88.5,27.24,135.2,3.0,7.0,4.0,8.0,178.0,175.0,254.0,68.8,11.0,12.0,46.0,4.0,70.6,201.0,116.0,317.0,1.73,57.0,63.0,38.0,33.0,28.0,11.0,2.0,6.0,1.0,18.0,61.1,28.82,17.61,49.0,53.0,37.0,44.0,2.44,4.0,38.6,25.0,188.2,88.0,23.16,55.4,16.0,2.0,2.0,2.0,176.0,137.0,197.0,62.1,7.0,4.0,54.0,13.0,18.2,240.04,SCG,3.0,WW,2.0,0.0,0.0
5569,2013.0,3.0,1.0,1.0,131.0,92.0,39.0,1.0,12.0,205.0,152.0,357.0,1.35,71.0,57.0,57.0,16.0,23.0,20.0,15.0,9.0,2.0,31.0,64.5,17.85,11.52,46.0,44.0,33.0,58.0,1.87,2.9,50.0,34.5,186.9,88.5,26.91,128.6,4.0,7.0,4.0,7.0,148.0,200.0,266.0,74.5,11.0,8.0,39.0,5.0,75.0,220.0,119.0,339.0,1.85,94.0,59.0,45.0,23.0,16.0,13.0,9.0,6.0,8.0,27.0,48.1,26.08,12.56,47.0,48.0,35.0,49.0,1.81,3.77,38.8,26.5,187.7,87.7,24.49,80.6,7.0,9.0,3.0,3.0,139.0,199.0,241.0,71.1,14.0,9.0,40.0,4.0,69.2,230.38,Blundstone Arena,3.0,WWW,3.0,0.0,0.0
5577,2013.0,4.0,0.0,1.0,103.0,124.0,-21.0,0.0,7.0,196.0,153.0,349.0,1.28,64.0,50.0,45.0,23.0,23.0,16.0,14.0,4.0,3.0,23.0,69.6,21.81,15.17,40.0,63.0,41.0,59.0,2.57,3.69,33.9,27.1,187.0,88.4,26.91,126.3,3.0,8.0,4.0,7.0,158.0,187.0,258.0,73.9,12.0,11.0,45.0,19.0,87.5,205.0,174.0,379.0,1.18,79.0,55.0,38.0,23.0,23.0,19.0,12.0,9.0,1.0,29.0,65.5,19.95,13.07,43.0,50.0,40.0,61.0,2.1,3.21,45.9,31.1,188.3,88.8,26.8,110.9,8.0,2.0,5.0,7.0,155.0,221.0,271.0,71.5,9.0,14.0,39.0,6.0,63.2,215.03,SCG,5.0,WWWL,3.0,1.0,0.0
5587,2013.0,5.0,1.0,1.0,79.0,63.0,16.0,1.0,15.0,197.0,167.0,364.0,1.18,64.0,90.0,56.0,19.0,11.0,11.0,6.0,11.0,2.0,24.0,45.8,33.09,15.17,43.0,42.0,36.0,59.0,2.46,5.36,37.3,18.6,186.7,88.3,26.58,122.7,3.0,9.0,4.0,6.0,165.0,196.0,233.0,64.0,10.0,8.0,56.0,0.0,54.5,197.0,127.0,324.0,1.55,67.0,98.0,36.0,11.0,18.0,9.0,5.0,7.0,2.0,18.0,50.0,36.0,18.0,43.0,56.0,46.0,50.0,2.78,5.56,32.0,18.0,187.7,86.1,25.33,97.0,9.0,4.0,3.0,6.0,166.0,153.0,185.0,57.1,10.0,8.0,61.0,2.0,55.6,220.65,Westpac Stadium,5.0,WWWLW,4.0,1.0,0.0
5601,2013.0,6.0,0.0,0.0,115.0,55.0,60.0,1.0,2.0,203.0,174.0,377.0,1.17,83.0,70.0,50.0,18.0,26.0,17.0,11.0,11.0,2.0,30.0,56.7,22.18,12.57,39.0,45.0,36.0,51.0,1.7,3.0,54.9,33.3,186.1,88.0,26.49,120.9,4.0,8.0,4.0,6.0,145.0,230.0,278.0,73.7,11.0,19.0,48.0,13.0,64.7,182.0,174.0,356.0,1.05,67.0,65.0,35.0,27.0,18.0,8.0,4.0,6.0,1.0,15.0,53.3,44.5,23.73,35.0,45.0,29.0,45.0,3.0,5.62,31.1,17.8,188.2,87.7,23.8,71.4,11.0,5.0,3.0,3.0,147.0,209.0,248.0,69.7,5.0,4.0,40.0,4.0,50.0,215.74,SCG,4.0,WWWLWW,5.0,1.0,0.0
5609,2013.0,7.0,1.0,0.0,82.0,119.0,-37.0,0.0,10.0,198.0,145.0,343.0,1.37,84.0,76.0,37.0,21.0,11.0,12.0,11.0,9.0,1.0,22.0,54.5,28.58,15.59,44.0,39.0,32.0,51.0,2.32,4.25,41.2,23.5,186.0,88.0,26.41,120.6,4.0,8.0,4.0,6.0,138.0,200.0,239.0,69.7,10.0,17.0,43.0,10.0,91.7,233.0,167.0,400.0,1.4,109.0,64.0,53.0,11.0,21.0,18.0,15.0,9.0,2.0,29.0,62.1,22.22,13.79,41.0,50.0,38.0,53.0,1.83,2.94,50.9,34.0,187.2,88.3,26.33,115.9,8.0,2.0,1.0,11.0,149.0,255.0,290.0,72.5,8.0,13.0,41.0,4.0,83.3,207.64,MCG,5.0,WWWLWWL,5.0,2.0,0.0
5617,2013.0,8.0,0.0,0.5,70.0,70.0,0.0,0.5,6.0,204.0,183.0,387.0,1.11,99.0,90.0,51.0,19.0,14.0,11.0,7.0,3.0,1.0,15.0,73.3,35.18,25.8,39.0,45.0,50.0,47.0,3.13,4.27,29.8,23.4,187.0,89.0,26.49,117.9,3.0,10.0,4.0,5.0,144.0,241.0,287.0,74.2,18.0,12.0,52.0,10.0,63.6,210.0,142.0,352.0,1.48,100.0,79.0,39.0,14.0,19.0,9.0,6.0,12.0,4.0,25.0,36.0,39.11,14.08,38.0,39.0,34.0,61.0,2.44,6.78,34.4,14.8,187.6,87.5,25.33,83.8,7.0,7.0,4.0,4.0,150.0,207.0,251.0,71.3,16.0,13.0,47.0,8.0,66.7,221.16,SCG,4.0,WWWLWWLD,5.0,2.0,1.0
5622,2013.0,9.0,1.0,1.0,102.0,55.0,47.0,1.0,4.0,208.0,181.0,389.0,1.15,93.0,78.0,42.0,9.0,19.0,15.0,11.0,10.0,2.0,27.0,55.6,25.93,14.41,36.0,52.0,44.0,45.0,1.67,3.0,55.6,33.3,186.5,88.3,26.33,118.8,3.0,10.0,4.0,5.0,145.0,246.0,279.0,71.7,13.0,16.0,54.0,11.0,73.3,193.0,169.0,362.0,1.14,79.0,90.0,33.0,20.0,9.0,8.0,5.0,4.0,3.0,15.0,53.3,45.25,24.13,33.0,38.0,28.0,54.0,3.6,6.75,22.2,14.8,186.7,90.6,25.41,104.4,7.0,5.0,2.0,8.0,142.0,209.0,240.0,66.3,11.0,10.0,50.0,13.0,62.5,220.04,MCG,5.0,WWWLWWLDW,6.0,2.0,1.0
5634,2013.0,10.0,0.0,0.0,115.0,71.0,44.0,1.0,5.0,235.0,153.0,388.0,1.54,49.0,70.0,59.0,7.0,13.0,17.0,10.0,12.0,1.0,30.0,56.7,22.82,12.93,71.0,48.0,51.0,56.0,1.87,3.29,51.8,30.4,186.3,88.4,26.49,117.3,4.0,9.0,4.0,5.0,182.0,188.0,247.0,63.7,5.0,6.0,71.0,2.0,58.8,228.0,121.0,349.0,1.88,65.0,64.0,69.0,13.0,7.0,10.0,5.0,6.0,5.0,21.0,47.6,34.9,16.62,51.0,38.0,33.0,61.0,2.9,6.1,26.2,16.4,189.5,89.0,25.8,91.0,6.0,10.0,2.0,4.0,166.0,159.0,201.0,57.6,6.0,10.0,55.0,2.0,50.0,211.13,SCG,3.0,WWWLWWLDWW,7.0,2.0,1.0
