team,year,Firstname,Surname,PAV_total
1,2020, Rory,Atkins,1.93
1,2020, Luke,Brown,11.27
1,2020, Jordon,Butts,0.98
1,2020, Ben,Crocker,4.75
1,2020, Brad,Crouch,11.13
1,2020, Matt,Crouch,13.87
1,2020, Ben,Davis,0.77
1,2020, Tom,Doedee,5.85
1,2020, Darcy,Fogarty,5.86
1,2020, Billy,Frampton,3
1,2020, Bryce,Gibbs,1.14
1,2020, Will,Hamill,2.56
1,2020, Kyle,Hartigan,6.9
1,2020, Elliott,Himmelberg,8.52
1,2020, Chayce,Jones,7.33
1,2020, Ben,Keays,12.55
1,2020, Jake,Kelly,7.24
1,2020, Riley,Knight,0.04
1,2020, Rory,Laird,16.83
1,2020, Tom,Lynch,9.28
1,2020, David,Mackay,6.19
1,2020, Shane,McAdam,9.15
1,2020, Fischer,McAsey,3.84
1,2020, Ned,McHenry,2.19
1,2020, Andrew,McPherson,4.04
1,2020, Wayne,Milera,1.18
1,2020, Lachlan,Murphy,7.81
1,2020, Reilly,OBrien,17.21
1,2020, Myles,Poholke,2.7
1,2020, Harry,Schoenberg,4.26
1,2020, Paul,Seedsman,7.02
1,2020, Lachlan,Sholl,5.08
1,2020, Rory,Sloane,12.09
1,2020, Brodie,Smith,15.44
1,2020, Tyson,Stengle,7.84
1,2020, Kieran,Strachan,0.3
1,2020, Daniel,Talia,9.41
1,2020, Taylor,Walker,11.29
2,2020, Marcus,Adams,0.22
2,2020, Callum,Ah Chee,10.22
2,2020, Harris,Andrews,14.32
2,2020, Noah,Answerth,4.31
2,2020, Zac,Bailey,13.81
2,2020, Connor,Ballenden,0.78
2,2020, Jarrod,Berry,14.6
2,2020, Tom,Berry,1.4
2,2020, Grant,Birchall,9.26
2,2020, Charlie,Cameron,14.73
2,2020, Keidean,Coleman,2.01
2,2020, Matt,Eagles,0.46
2,2020, Cam,Ellis-Yolmen,5.75
2,2020, Tom,Fullarton,0.75
2,2020, Darcy,Gardiner,10.97
2,2020, Mitch,Hinge,0.84
2,2020, Eric,Hipwood,13.55
2,2020, Ryan,Lester,7.29
2,2020, Jarryd,Lyons,21.76
2,2020, Stefan,Martin,5.65
2,2020, Rhys,Mathieson,0.77
2,2020, Lincoln,McCarthy,11.51
2,2020, Hugh,McCluggage,19.31
2,2020, Oscar,McInerney,19.38
2,2020, Daniel,McStay,8.24
2,2020, Lachie,Neale,24.73
2,2020, Jack,Payne,2.85
2,2020, Cam,Rayner,12.82
2,2020, Daniel,Rich,14.5
2,2020, Deven,Robertson,0.1
2,2020, Mitch,Robinson,15.6
2,2020, Sam,Skinner,0.89
2,2020, Archie,Smith,2.34
2,2020, Brandon,Starcevich,8.86
2,2020, Alex,Witherden,4.62
2,2020, Dayne,Zorko,19.62
3,2020, Eddie,Betts,10.4
3,2020, Levi,Casboult,11.28
3,2020, Matthew,Cottrell,3.75
3,2020, Patrick,Cripps,20.72
3,2020, David,Cuningham,7.4
3,2020, Ed,Curnow,19.51
3,2020, Tom,De Koning,4.72
3,2020, Sam,Docherty,14.91
3,2020, Paddy,Dow,1.35
3,2020, Zac,Fisher,5.92
3,2020, Michael,Gibbons,13.58
3,2020, Josh,Honey,0.08
3,2020, Liam,Jones,14.96
3,2020, Matthew,Kennedy,5.98
3,2020, Matthew,Kreuzer,0.23
3,2020, Darcy,Lang,0.49
3,2020, Jack,Martin,12.99
3,2020, Mitch,McGovern,7.89
3,2020, Harry,McKay,9.56
3,2020, Callum,Moore,0.42
3,2020, Marc,Murphy,13.38
3,2020, Nic,Newman,0.38
3,2020, Jack,Newnes,12.05
3,2020, Lochie,OBrien,0.43
3,2020, Matthew,Owies,-0.03
3,2020, Sam,Petrevski-Seton,8.38
3,2020, Sam,Philp,0.87
3,2020, Marc,Pittonet,12.02
3,2020, Lachie,Plowman,9.71
3,2020, Cameron,Polson,1.36
3,2020, Will,Setterfield,15.07
3,2020, Jack,Silvagni,1.1
3,2020, Kade,Simpson,11.98
3,2020, Sam,Walsh,17.22
3,2020, Jacob,Weitering,16.8
3,2020, Tom,Williamson,7.92
4,2020, Taylor,Adams,22.41
4,2020, Flynn,Appleby,0.61
4,2020, Atu,Bosenavulagi,0.7
4,2020, Tim,Broomhead,0.13
4,2020, Callum,Brown,6.56
4,2020, Tyler,Brown,4.46
4,2020, Darcy,Cameron,4.59
4,2020, Mason,Cox,7.16
4,2020, Jack,Crisp,17.19
4,2020, Josh,Daicos,13.65
4,2020, Jordan,de Goey,9.93
4,2020, Lynden,Dunn,1.38
4,2020, Jamie,Elliott,14.5
4,2020, Levi,Greenwood,2.68
4,2020, Brodie,Grundy,23.28
4,2020, Will,Hoskin-Elliott,9.8
4,2020, Jeremy,Howe,4.22
4,2020, Mark,Keane,0.51
4,2020, Will,Kelly,0.38
4,2020, Max,Lynch,0.14
4,2020, Jack,Madgen,6.91
4,2020, Brayden,Maynard,15.73
4,2020, Chris,Mayne,5.21
4,2020, Brody,Mihocek,12.69
4,2020, Darcy,Moore,16.54
4,2020, John,Noble,8.63
4,2020, Scott,Pendlebury,18.06
4,2020, Tom,Phillips,9.58
4,2020, Isaac,Quaynor,6.44
4,2020, Ben,Reid,1.15
4,2020, Jordan,Roughead,8.64
4,2020, Trey,Ruscoe,1.67
4,2020, Matt,Scharenberg,1.21
4,2020, Steele,Sidebottom,9.91
4,2020, Brayden,Sier,2.09
4,2020, Jaidyn,Stephenson,8.18
4,2020, Josh,Thomas,5.51
4,2020, Adam,Treloar,11.41
4,2020, Travis,Varcoe,4.26
4,2020, Rupert,Wills,4.61
5,2020, Josh,Begley,0.52
5,2020, Tom,Bellchambers,6.31
5,2020, Ned,Cahill,1.29
5,2020, Dylan,Clarke,4.18
5,2020, Tom,Cutler,4.35
5,2020, Joe,Daniher,3.07
5,2020, Sam,Draper,7.22
5,2020, Orazio,Fantasia,2.44
5,2020, Aaron,Francis,5.03
5,2020, Martin,Gleeson,6.06
5,2020, Matt,Guelfi,5.59
5,2020, Brayden,Ham,5.59
5,2020, Dyson,Heppell,2.11
5,2020, Mitchell,Hibberd,2.07
