"Player","TM","GM","Off PAV","Def PAV","Mid PAV","Total PAV","Off mPAV","Def mPAV","Mid mPAV","Total mPAV"
"Aarts, Jake","RI","7","0.59","0.24","0.68","1.52","-0.551","-0.817","-0.484","-0.618"
"Acres, Blake","FR","20","3.48","4.48","5.18","13.14","-0.041","0.236","0.431","0.209"
"Adams, Marcus","BL","18","0.84","7.39","1.02","9.25","-0.731","1.361","-0.674","-0.015"
"Adams, Taylor","CW","18","2.92","1.36","7.59","11.87","-0.068","-0.566","1.426","0.264"
"Ah Chee, Callum","BL","21","2.16","1.77","1.79","5.73","-0.409","-0.514","-0.509","-0.477"
"Ainsworth, Ben","GC","22","8.54","0.81","4.09","13.44","0.964","-0.814","-0.059","0.030"
"Ainsworth, Brayden","WC","1","0.07","0.04","0.01","0.12","-0.667","-0.794","-0.926","-0.796"
"Aish, James","FR","23","3.31","3.76","5.64","12.71","-0.205","-0.098","0.353","0.017"
"Aleer, Leek","GW","4","0.19","1.09","0.15","1.43","-0.762","0.379","-0.813","-0.399"
"Aliir, Aliir","PA","19","0.03","9.61","0.76","10.40","-0.993","1.560","-0.798","-0.077"
"Amartey, Joel","SY","6","1.26","0.24","0.87","2.37","0.206","-0.769","-0.165","-0.243"
"Amiss, Jye","FR","3","1.17","0.02","0.28","1.47","1.146","-0.957","-0.493","-0.101"
"Amon, Karl","PA","22","4.91","5.24","6.40","16.55","0.128","0.205","0.472","0.269"
"Anderson, Jed","NM","14","2.71","1.79","3.77","8.28","-0.020","-0.352","0.363","-0.003"
"Anderson, Noah","GC","21","5.57","4.15","11.72","21.44","0.343","-0.001","1.824","0.722"
"Andrew, Mac","GC","4","0.28","0.84","0.36","1.48","-0.640","0.060","-0.549","-0.376"
"Andrews, Harris","BL","24","-0.04","12.50","0.66","13.11","-1.010","1.995","-0.843","0.047"
"Angwin, Ryan","GW","1","-0.03","0.00","0.00","-0.03","-1.136","-1.016","-0.976","-1.043"
"Answerth, Noah","BL","23","0.86","5.02","2.22","8.11","-0.784","0.254","-0.444","-0.325"
"Archer, Jackson","NM","3","0.12","0.75","0.28","1.14","-0.801","0.265","-0.532","-0.356"
"Ash, Lachie","GW","21","2.28","4.24","3.26","9.79","-0.450","0.022","-0.214","-0.214"
"Atkins, Rory","GC","9","0.38","1.36","0.99","2.73","-0.787","-0.235","-0.443","-0.488"
"Atkins, Tom","GE","25","2.31","4.78","7.87","14.96","-0.468","0.100","0.809","0.147"
"Bailey, Zac","BL","24","7.73","2.40","5.78","15.92","0.852","-0.424","0.386","0.271"
"Baker, Liam","RI","23","3.85","5.61","4.90","14.36","-0.115","0.291","0.128","0.101"
"Baldwin, Kaine","ES","4","0.70","0.19","0.43","1.32","-0.118","-0.760","-0.450","-0.443"
"Ballard, Charlie","GC","18","0.50","7.59","0.99","9.07","-0.860","1.133","-0.722","-0.150"
"Balta, Noah","RI","18","3.58","4.26","2.07","9.91","0.052","0.251","-0.391","-0.029"
"Banfield, Bailey","FR","23","4.25","0.62","1.22","6.08","0.019","-0.852","-0.708","-0.514"
"Barrass, Tom","WC","19","1.04","9.71","0.92","11.68","-0.722","1.587","-0.754","0.037"
"Battle, Josh","SK","21","0.68","7.19","1.64","9.51","-0.835","0.732","-0.606","-0.237"
"Bazzo, Rhett","WC","9","0.16","1.94","0.22","2.32","-0.908","0.092","-0.878","-0.565"
"Bedendo, Dominic","WB","2","0.16","0.02","0.16","0.33","-0.583","-0.960","-0.581","-0.708"
"Bedford, Toby","ME","16","1.90","0.67","1.13","3.69","-0.345","-0.769","-0.611","-0.575"
"Begg, Aiden","CW","3","0.33","0.14","0.48","0.95","-0.368","-0.732","-0.074","-0.391"
"Bell, James","SY","6","1.00","0.33","0.35","1.68","-0.044","-0.686","-0.662","-0.464"
"Bergman, Miles","PA","10","1.90","1.50","1.53","4.93","-0.040","-0.240","-0.224","-0.168"
"Bergman, Miller","NM","1","0.00","0.03","0.04","0.07","-1.000","-0.831","-0.802","-0.878"
"Berry, Jarrod","BL","23","3.97","4.03","4.66","12.66","-0.007","0.008","0.165","0.055"
"Berry, Sam","AD","18","2.46","3.46","6.92","12.85","-0.307","-0.027","0.947","0.204"
"Berry, Tom","BL","3","0.30","0.11","0.27","0.69","-0.421","-0.788","-0.476","-0.562"
"Bews, Jed","GE","23","0.91","3.98","1.96","6.85","-0.773","-0.004","-0.510","-0.429"
"Bianco, Trent","CW","10","0.65","1.04","0.92","2.61","-0.627","-0.403","-0.471","-0.501"
"Billings, Jack","SK","8","1.90","1.62","1.46","4.98","0.200","0.026","-0.077","0.050"
"Black, Aaron","WC","1","0.30","0.01","0.27","0.58","0.498","-0.945","0.381","-0.022"
"Blakey, Nick","SY","24","2.22","10.71","2.66","15.59","-0.468","1.566","-0.363","0.245"
"Blanck, James","HW","9","0.14","3.05","0.42","3.61","-0.922","0.715","-0.762","-0.323"
"Blicavs, Mark","GE","24","4.72","5.54","9.51","19.77","0.130","0.328","1.279","0.579"
"Boak, Travis","PA","21","5.74","3.15","11.55","20.44","0.383","-0.240","1.782","0.642"
"Bolton, Shai","RI","23","10.88","1.21","8.91","20.99","1.502","-0.723","1.050","0.610"
"Bonar, Aiden","NM","10","-0.03","2.38","0.31","2.65","-1.015","0.203","-0.845","-0.552"
"Bonner, Riley","PA","17","1.01","5.40","1.75","8.17","-0.699","0.608","-0.478","-0.190"
"Bontempelli, Marcus","WB","22","8.68","4.62","11.82","25.12","1.088","0.112","1.841","1.013"
"Bosenavulagi, Atu","NM","9","0.15","0.85","0.43","1.42","-0.917","-0.522","-0.761","-0.733"
"Bowes, Jack","GC","5","0.14","1.70","0.78","2.62","-0.856","0.721","-0.209","-0.115"
"Bowey, Jake","ME","17","1.29","4.22","2.72","8.22","-0.582","0.370","-0.118","-0.110"
"Boyd, Jordan","CA","7","0.27","1.31","0.55","2.14","-0.805","-0.050","-0.599","-0.485"
"Bramble, Lachlan","HW","9","0.94","2.31","1.01","4.26","-0.471","0.299","-0.435","-0.202"
"Brander, Jarrod","GW","5","1.29","0.30","0.60","2.19","0.304","-0.693","-0.393","-0.261"
"Brayshaw, Andrew","FR","24","5.36","5.53","9.36","20.26","0.234","0.273","1.154","0.553"
"Brayshaw, Angus","ME","24","2.03","7.97","5.56","15.56","-0.533","0.834","0.279","0.193"
"Breust, Luke","HW","21","11.35","0.93","3.25","15.53","1.735","-0.775","-0.217","0.247"
"Briggs, Kieren","GW","4","0.87","0.61","1.15","2.63","0.095","-0.231","0.459","0.108"
"Broad, Nathan","RI","23","0.48","11.10","1.53","13.10","-0.891","1.552","-0.649","0.004"
"Brodie, Will","FR","24","4.15","2.78","10.88","17.81","-0.045","-0.361","1.502","0.365"
"Brown, Ben","ME","19","5.88","1.59","1.18","8.65","0.708","-0.537","-0.657","-0.162"
"Brown, Callum","CW","6","0.30","0.27","0.57","1.14","-0.710","-0.737","-0.458","-0.635"
"Brown, Callum","GW","8","1.13","1.31","0.55","2.99","-0.287","-0.169","-0.655","-0.370"
"Brown, Luke","AD","11","0.47","2.55","0.70","3.73","-0.783","0.175","-0.678","-0.429"
"Brown, Mitch","ME","3","0.56","0.27","0.30","1.12","0.023","-0.509","-0.452","-0.312"
"Brown, Tyler","CW","11","0.38","0.58","0.94","1.90","-0.802","-0.696","-0.507","-0.668"
"Bruce, Josh","WB","5","0.30","0.57","0.46","1.33","-0.678","-0.398","-0.511","-0.529"
"Bruhn, Tanner","GW","17","2.42","1.05","3.35","6.81","-0.281","-0.688","-0.004","-0.324"
"Bryan, Nick","ES","5","0.97","0.44","0.94","2.34","-0.023","-0.556","-0.049","-0.209"
"Budarick, Connor","GC","9","0.38","3.10","0.76","4.24","-0.787","0.740","-0.571","-0.206"
"Burgess, Chris","GC","2","0.17","0.41","0.10","0.67","-0.580","0.036","-0.759","-0.434"
"Burgoyne, Jase","PA","8","0.89","1.62","0.85","3.36","-0.440","0.026","-0.460","-0.291"
