year,teamName,round.roundNumber,player.playerName.givenName,player.playerName.surname
0.0,0,0.0,0,0
2013.0,Adelaide Crows,1.0,Luke,Brown
2013.0,Adelaide Crows,1.0,Ben,Rutten
2013.0,Adelaide Crows,1.0,Andy,Otten
2013.0,Adelaide Crows,1.0,Nathan,Van Berlo
2013.0,Adelaide Crows,1.0,Daniel,Talia
2013.0,Adelaide Crows,1.0,Brent,Reilly
2013.0,Adelaide Crows,1.0,Bernie,Vince
2013.0,Adelaide Crows,1.0,Patrick,Dangerfield
2013.0,Adelaide Crows,1.0,David,Mackay
2013.0,Adelaide Crows,1.0,Graham,Johncock
2013.0,Adelaide Crows,1.0,Jason,Porplyzia
2013.0,Adelaide Crows,1.0,Ricky,Henderson
2013.0,Adelaide Crows,1.0,Jared,Petrenko
2013.0,Adelaide Crows,1.0,Taylor,Walker
2013.0,Adelaide Crows,1.0,Matthew,Wright
2013.0,Adelaide Crows,1.0,Sam,Jacobs
2013.0,Adelaide Crows,1.0,Scott,Thompson
2013.0,Adelaide Crows,1.0,Rory,Sloane
2013.0,Adelaide Crows,1.0,Josh,Jenkins
2013.0,Adelaide Crows,1.0,Matthew,Jaensch
2013.0,Adelaide Crows,1.0,Richard,Douglas
2013.0,Adelaide Crows,1.0,Brodie,Martin
2013.0,Essendon,1.0,Mark,Baguley
2013.0,Essendon,1.0,Cale,Hooker
2013.0,Essendon,1.0,Michael,Hibberd
2013.0,Essendon,1.0,Brendon,Goddard
2013.0,Essendon,1.0,Dustin,Fletcher
2013.0,Essendon,1.0,Jake,Carlisle
2013.0,Essendon,1.0,Courtenay,Dempsey
2013.0,Essendon,1.0,Jobe,Watson
2013.0,Essendon,1.0,Dyson,Heppell
2013.0,Essendon,1.0,Jake,Melksham
2013.0,Essendon,1.0,Paddy,Ryder
2013.0,Essendon,1.0,Stewart,Crameri
2013.0,Essendon,1.0,Alwyn,Davey
2013.0,Essendon,1.0,Michael,Hurley
2013.0,Essendon,1.0,Nick,Kommer
2013.0,Essendon,1.0,Tom,Bellchambers
2013.0,Essendon,1.0,Brent,Stanton
2013.0,Essendon,1.0,Heath,Hocking
2013.0,Essendon,1.0,Jackson,Merrett
2013.0,Essendon,1.0,David,Myers
2013.0,Essendon,1.0,Ben,Howlett
2013.0,Essendon,1.0,David,Zaharakis
2013.0,Fremantle,1.0,Kepler,Bradley
2013.0,Fremantle,1.0,Zac,Dawson
2013.0,Fremantle,1.0,Michael,Johnson
2013.0,Fremantle,1.0,Paul,Duffield
2013.0,Fremantle,1.0,Luke,McPharlin
2013.0,Fremantle,1.0,Lee,Spurr
2013.0,Fremantle,1.0,Tendai,Mzungu
2013.0,Fremantle,1.0,Michael,Barlow
2013.0,Fremantle,1.0,Clancee,Pearce
2013.0,Fremantle,1.0,Ryan,Crowley
2013.0,Fremantle,1.0,Matthew,Pavlich
2013.0,Fremantle,1.0,Nat,Fyfe
2013.0,Fremantle,1.0,Hayden,Ballantyne
2013.0,Fremantle,1.0,Chris,Mayne
2013.0,Fremantle,1.0,Michael,Walters
2013.0,Fremantle,1.0,Jonathon,Griffin
2013.0,Fremantle,1.0,David,Mundy
2013.0,Fremantle,1.0,Stephen,Hill
2013.0,Fremantle,1.0,Danyle,Pearce
2013.0,Fremantle,1.0,Nick,Suban
2013.0,Fremantle,1.0,Matt,de Boer
2013.0,Fremantle,1.0,Cameron,Sutcliffe
2013.0,West Coast Eagles,1.0,Will,Schofield
2013.0,West Coast Eagles,1.0,Darren,Glass
2013.0,West Coast Eagles,1.0,Adam,Selwood
2013.0,West Coast Eagles,1.0,Shannon,Hurn
2013.0,West Coast Eagles,1.0,Eric,Mackenzie
2013.0,West Coast Eagles,1.0,Beau,Waters
2013.0,West Coast Eagles,1.0,Andrew,Gaff
2013.0,West Coast Eagles,1.0,Scott,Selwood
2013.0,West Coast Eagles,1.0,Brad,Sheppard
2013.0,West Coast Eagles,1.0,Josh,Hill
2013.0,West Coast Eagles,1.0,Jack,Darling
2013.0,West Coast Eagles,1.0,Jamie,Cripps
2013.0,West Coast Eagles,1.0,Scott,Lycett
2013.0,West Coast Eagles,1.0,Josh J.,Kennedy
2013.0,West Coast Eagles,1.0,Mark,LeCras
2013.0,West Coast Eagles,1.0,Dean,Cox
2013.0,West Coast Eagles,1.0,Matt,Priddis
2013.0,West Coast Eagles,1.0,Luke,Shuey
2013.0,West Coast Eagles,1.0,Chris,Masten
2013.0,West Coast Eagles,1.0,Ashley,Smith
2013.0,West Coast Eagles,1.0,Ashton,Hams
2013.0,West Coast Eagles,1.0,Andrew,Embley
2013.0,Carlton,1.0,Joshua,Bootsma
2013.0,Carlton,1.0,Michael,Jamison
2013.0,Carlton,1.0,Lachie,Henderson
2013.0,Carlton,1.0,Zach,Tuohy
2013.0,Carlton,1.0,Nick,Duigan
2013.0,Carlton,1.0,Bryce,Gibbs
2013.0,Carlton,1.0,Kade,Simpson
2013.0,Carlton,1.0,Andrew,Carrazzo
2013.0,Carlton,1.0,Mitch,Robinson
2013.0,Carlton,1.0,Chris,Judd
2013.0,Carlton,1.0,Andrew,Walker
2013.0,Carlton,1.0,Kane,Lucas
2013.0,Carlton,1.0,Eddie,Betts
2013.0,Carlton,1.0,Levi,Casboult
2013.0,Carlton,1.0,Shaun,Hampson
2013.0,Carlton,1.0,Matthew,Kreuzer
2013.0,Carlton,1.0,Marc,Murphy
2013.0,Carlton,1.0,Dennis,Armfield
2013.0,Carlton,1.0,Chris,Yarran
2013.0,Carlton,1.0,Brock,McLean
2013.0,Carlton,1.0,Jeff,Garlett
2013.0,Carlton,1.0,Aaron,Joseph
2013.0,Richmond,1.0,Steven,Morris
2013.0,Richmond,1.0,Alex,Rance
2013.0,Richmond,1.0,Troy,Chaplin
2013.0,Richmond,1.0,Jake,Batchelor
2013.0,Richmond,1.0,Chris,Newman
2013.0,Richmond,1.0,Bachar,Houli
2013.0,Richmond,1.0,Shaun,Grigg
2013.0,Richmond,1.0,Trent,Cotchin
2013.0,Richmond,1.0,Jake,King
2013.0,Richmond,1.0,Brett,Deledio
2013.0,Richmond,1.0,Shane,Edwards
2013.0,Richmond,1.0,Ben,Griffiths
2013.0,Richmond,1.0,Luke,McGuane
2013.0,Richmond,1.0,Jack,Riewoldt
2013.0,Richmond,1.0,Ty,Vickery
2013.0,Richmond,1.0,Ivan,Maric
2013.0,Richmond,1.0,Dustin,Martin
2013.0,Richmond,1.0,Shane,Tuck
2013.0,Richmond,1.0,Brandon,Ellis
2013.0,Richmond,1.0,Daniel,Jackson
2013.0,Richmond,1.0,Reece,Conca
2013.0,Richmond,1.0,Robin,Nahas
2013.0,Western Bulldogs,1.0,Dale,Morris
2013.0,Western Bulldogs,1.0,Jordan,Roughead
2013.0,Western Bulldogs,1.0,Liam,Picken
2013.0,Western Bulldogs,1.0,Jason,Johannisen
2013.0,Western Bulldogs,1.0,Thomas,Young
2013.0,Western Bulldogs,1.0,Brett,Goodes
2013.0,Western Bulldogs,1.0,Adam,Cooney
2013.0,Western Bulldogs,1.0,Nick,Lower
2013.0,Western Bulldogs,1.0,Koby,Stevens
2013.0,Western Bulldogs,1.0,Tory,Dickson
2013.0,Western Bulldogs,1.0,Liam,Jones
2013.0,Western Bulldogs,1.0,Daniel,Giansiracusa
2013.0,Western Bulldogs,1.0,Robert,Murphy
2013.0,Western Bulldogs,1.0,Ayce,Cordy
2013.0,Western Bulldogs,1.0,Luke,Dahlhaus
2013.0,Western Bulldogs,1.0,Will,Minson
2013.0,Western Bulldogs,1.0,Ryan,Griffen
2013.0,Western Bulldogs,1.0,Tom,Liberatore
2013.0,Western Bulldogs,1.0,Mitch,Wallis
2013.0,Western Bulldogs,1.0,Daniel,Cross
2013.0,Western Bulldogs,1.0,Shaun,Higgins
2013.0,Western Bulldogs,1.0,Clay,Smith
2013.0,Brisbane Lions,1.0,Elliot,Yeo
2013.0,Brisbane Lions,1.0,Daniel,Merrett
2013.0,Brisbane Lions,1.0,Joel,Patfull
2013.0,Brisbane Lions,1.0,Jed,Adcock
2013.0,Brisbane Lions,1.0,Matt,Maguire
2013.0,Brisbane Lions,1.0,Pearce,Hanley
2013.0,Brisbane Lions,1.0,Patrick,Karnezis
2013.0,Brisbane Lions,1.0,James,Polkinghorne
2013.0,Brisbane Lions,1.0,Mitch,Golby
2013.0,Brisbane Lions,1.0,Dayne,Zorko
2013.0,Brisbane Lions,1.0,Stefan,Martin
2013.0,Brisbane Lions,1.0,Ashley,McGrath
2013.0,Brisbane Lions,1.0,Rohan,Bewick
2013.0,Brisbane Lions,1.0,Jonathan,Brown
2013.0,Brisbane Lions,1.0,Aaron,Cornelius
2013.0,Brisbane Lions,1.0,Billy,Longer
2013.0,Brisbane Lions,1.0,Daniel,Rich
