"round.year","round.roundNumber","match.homeTeam.name","match.awayTeam.name","venue.name"
"2013",1,"Adelaide Crows","Essendon","AAMI Stadium"
"2013",1,"Fremantle","West Coast Eagles","Domain Stadium"
"2013",1,"Carlton","Richmond","MCG"
"2013",1,"Western Bulldogs","Brisbane Lions","Marvel Stadium"
"2013",1,"GWS Giants","Sydney Swans","Accor Stadium Australia"
"2013",1,"Gold Coast Suns","St Kilda","Metricon Stadium"
"2013",1,"Melbourne","Port Adelaide","MCG"
"2013",1,"North Melbourne","Collingwood","Marvel Stadium"
"2013",1,"Hawthorn","Geelong Cats","MCG"
"2013",2,"St Kilda","Richmond","MCG"
"2013",2,"Sydney Swans","Gold Coast Suns","SCG"
"2013",2,"Western Bulldogs","Fremantle","Marvel Stadium"
"2013",2,"Brisbane Lions","Adelaide Crows","Gabba"
"2013",2,"Essendon","Melbourne","MCG"
"2013",2,"Port Adelaide","GWS Giants","AAMI Stadium"
"2013",2,"Geelong Cats","North Melbourne","Marvel Stadium"
"2013",2,"Collingwood","Carlton","MCG"
"2013",2,"West Coast Eagles","Hawthorn","Domain Stadium"
"2013",3,"Fremantle","Essendon","Domain Stadium"
"2013",3,"North Melbourne","Sydney Swans","Blundstone Arena"
"2013",3,"Melbourne","West Coast Eagles","MCG"
"2013",3,"GWS Giants","St Kilda","Manuka Oval"
"2013",3,"Geelong Cats","Carlton","Marvel Stadium"
"2013",3,"Gold Coast Suns","Brisbane Lions","Metricon Stadium"
"2013",3,"Richmond","Western Bulldogs","Marvel Stadium"
"2013",3,"Collingwood","Hawthorn","MCG"
"2013",3,"Port Adelaide","Adelaide Crows","AAMI Stadium"
"2013",4,"Sydney Swans","Geelong Cats","SCG"
"2013",4,"Hawthorn","Fremantle","University of Tasmania Stadium"
"2013",4,"Richmond","Collingwood","MCG"
"2013",4,"St Kilda","Essendon","Marvel Stadium"
"2013",4,"West Coast Eagles","Carlton","Domain Stadium"
"2013",4,"Gold Coast Suns","Port Adelaide","Metricon Stadium"
"2013",4,"Melbourne","GWS Giants","MCG"
"2013",4,"Adelaide Crows","Western Bulldogs","AAMI Stadium"
"2013",4,"North Melbourne","Brisbane Lions","Marvel Stadium"
"2013",5,"Essendon","Collingwood","MCG"
"2013",5,"St Kilda","Sydney Swans","Westpac Stadium"
"2013",5,"Fremantle","Richmond","Domain Stadium"
"2013",5,"GWS Giants","Gold Coast Suns","Manuka Oval"
"2013",5,"Carlton","Adelaide Crows","MCG"
"2013",5,"Western Bulldogs","Geelong Cats","Marvel Stadium"
"2013",5,"Port Adelaide","West Coast Eagles","AAMI Stadium"
"2013",5,"Brisbane Lions","Melbourne","Gabba"
"2013",5,"Hawthorn","North Melbourne","MCG"
"2013",6,"Collingwood","St Kilda","Marvel Stadium"
"2013",6,"Essendon","GWS Giants","Marvel Stadium"
"2013",6,"North Melbourne","Port Adelaide","Blundstone Arena"
"2013",6,"Adelaide Crows","Hawthorn","AAMI Stadium"
"2013",6,"Richmond","Geelong Cats","MCG"
"2013",6,"Gold Coast Suns","Fremantle","Metricon Stadium"
"2013",6,"Sydney Swans","Brisbane Lions","SCG"
"2013",6,"Carlton","Melbourne","MCG"
"2013",6,"West Coast Eagles","Western Bulldogs","Domain Stadium"
"2013",7,"Geelong Cats","Essendon","Marvel Stadium"
"2013",7,"Port Adelaide","Richmond","AAMI Stadium"
"2013",7,"Brisbane Lions","West Coast Eagles","Gabba"
"2013",7,"Western Bulldogs","North Melbourne","Marvel Stadium"
"2013",7,"Hawthorn","Sydney Swans","MCG"
"2013",7,"Fremantle","Collingwood","Domain Stadium"
"2013",7,"GWS Giants","Adelaide Crows","GIANTS Stadium"
"2013",7,"Melbourne","Gold Coast Suns","MCG"
"2013",7,"St Kilda","Carlton","Marvel Stadium"
"2013",8,"West Coast Eagles","North Melbourne","Domain Stadium"
"2013",8,"Essendon","Brisbane Lions","Marvel Stadium"
"2013",8,"Hawthorn","GWS Giants","University of Tasmania Stadium"
"2013",8,"Gold Coast Suns","Western Bulldogs","Metricon Stadium"
"2013",8,"Collingwood","Geelong Cats","MCG"
"2013",8,"Sydney Swans","Fremantle","SCG"
"2013",8,"Carlton","Port Adelaide","Marvel Stadium"
"2013",8,"Richmond","Melbourne","MCG"
"2013",8,"Adelaide Crows","St Kilda","AAMI Stadium"
"2013",9,"Collingwood","Sydney Swans","MCG"
"2013",9,"Port Adelaide","Geelong Cats","AAMI Stadium"
"2013",9,"GWS Giants","West Coast Eagles","GIANTS Stadium"
"2013",9,"St Kilda","Western Bulldogs","Marvel Stadium"
"2013",9,"Brisbane Lions","Carlton","Gabba"
"2013",9,"Richmond","Essendon","MCG"
"2013",9,"Hawthorn","Gold Coast Suns","MCG"
"2013",9,"North Melbourne","Adelaide Crows","Marvel Stadium"
"2013",9,"Fremantle","Melbourne","Domain Stadium"
"2013",10,"Brisbane Lions","Collingwood","Gabba"
"2013",10,"Carlton","GWS Giants","Marvel Stadium"
"2013",10,"Adelaide Crows","Fremantle","AAMI Stadium"
"2013",10,"Sydney Swans","Essendon","SCG"
"2013",10,"Geelong Cats","Gold Coast Suns","GMHBA Stadium"
"2013",10,"Western Bulldogs","Port Adelaide","TIO Stadium"
"2013",10,"Melbourne","Hawthorn","MCG"
"2013",10,"North Melbourne","St Kilda","Marvel Stadium"
"2013",10,"West Coast Eagles","Richmond","Domain Stadium"
"2013",11,"Essendon","Carlton","MCG"
"2013",11,"GWS Giants","Geelong Cats","GIANTS Stadium"
"2013",11,"Adelaide Crows","Sydney Swans","AAMI Stadium"
"2013",11,"Gold Coast Suns","North Melbourne","Metricon Stadium"
"2013",11,"St Kilda","West Coast Eagles","Marvel Stadium"
"2013",11,"Melbourne","Collingwood","MCG"
"2013",12,"Carlton","Hawthorn","Marvel Stadium"
"2013",12,"Richmond","Adelaide Crows","MCG"
"2013",12,"Fremantle","Brisbane Lions","Domain Stadium"
"2013",12,"Essendon","Gold Coast Suns","Marvel Stadium"
"2013",12,"GWS Giants","Port Adelaide","GIANTS Stadium"
"2013",12,"Collingwood","Western Bulldogs","Marvel Stadium"
"2013",13,"Hawthorn","West Coast Eagles","Marvel Stadium"
"2013",13,"Port Adelaide","Sydney Swans","AAMI Stadium"
"2013",13,"St Kilda","Melbourne","MCG"
"2013",13,"Western Bulldogs","Richmond","Marvel Stadium"
"2013",13,"Fremantle","North Melbourne","Domain Stadium"
"2013",13,"Brisbane Lions","Geelong Cats","Gabba"
"2013",14,"West Coast Eagles","Essendon","Domain Stadium"
"2013",14,"Sydney Swans","Carlton","SCG"
"2013",14,"Gold Coast Suns","Adelaide Crows","Metricon Stadium"
"2013",14,"Port Adelaide","Collingwood","AAMI Stadium"
"2013",14,"Geelong Cats","Fremantle","GMHBA Stadium"
"2013",14,"Melbourne","Western Bulldogs","MCG"
"2013",14,"Hawthorn","Brisbane Lions","University of Tasmania Stadium"
"2013",14,"North Melbourne","GWS Giants","Marvel Stadium"
"2013",14,"Richmond","St Kilda","MCG"
"2013",15,"Carlton","Collingwood","MCG"
"2013",15,"GWS Giants","Western Bulldogs","Manuka Oval"
"2013",15,"North Melbourne","Richmond","Marvel Stadium"
"2013",15,"Brisbane Lions","Gold Coast Suns","Gabba"
"2013",15,"Geelong Cats","Hawthorn","MCG"
"2013",15,"Adelaide Crows","West Coast Eagles","AAMI Stadium"
"2013",15,"Melbourne","Sydney Swans","MCG"
"2013",15,"Fremantle","St Kilda","Domain Stadium"
"2013",15,"Essendon","Port Adelaide","Marvel Stadium"
"2013",16,"Collingwood","Adelaide Crows","MCG"
"2013",16,"Port Adelaide","Hawthorn","AAMI Stadium"
"2013",16,"Geelong Cats","Melbourne","GMHBA Stadium"
"2013",16,"Richmond","Gold Coast Suns","Cazalys Stadium"
"2013",16,"Carlton","St Kilda","Marvel Stadium"
"2013",16,"Brisbane Lions","North Melbourne","Gabba"
"2013",16,"Sydney Swans","GWS Giants","SCG"
"2013",16,"Western Bulldogs","Essendon","Marvel Stadium"
"2013",16,"West Coast Eagles","Fremantle","Domain Stadium"
"2013",17,"North Melbourne","Carlton","Marvel Stadium"
"2013",17,"Hawthorn","Western Bulldogs","University of Tasmania Stadium"
"2013",17,"GWS Giants","Essendon","GIANTS Stadium"
"2013",17,"Gold Coast Suns","Collingwood","Metricon Stadium"
"2013",17,"St Kilda","Port Adelaide","Marvel Stadium"
"2013",17,"Melbourne","Brisbane Lions","TIO Stadium"
"2013",17,"Richmond","Fremantle","MCG"
"2013",17,"Adelaide Crows","Geelong Cats","AAMI Stadium"
"2013",17,"West Coast Eagles","Sydney Swans","Domain Stadium"
"2013",18,"Essendon","Hawthorn","Marvel Stadium"
"2013",18,"Gold Coast Suns","Carlton","Metricon Stadium"
"2013",18,"Melbourne","North Melbourne","Marvel Stadium"
"2013",18,"Collingwood","GWS Giants","MCG"
"2013",18,"Geelong Cats","St Kilda","GMHBA Stadium"
"2013",18,"Fremantle","Adelaide Crows","Domain Stadium"
"2013",18,"Port Adelaide","Brisbane Lions","AAMI Stadium"
"2013",18,"Western Bulldogs","West Coast Eagles","Marvel Stadium"
"2013",18,"Sydney Swans","Richmond","SCG"
"2013",19,"North Melbourne","Geelong Cats","Marvel Stadium"
"2013",19,"GWS Giants","Melbourne","GIANTS Stadium"
"2013",19,"Hawthorn","Richmond","MCG"
"2013",19,"West Coast Eagles","Gold Coast Suns","Domain Stadium"
"2013",19,"Carlton","Fremantle","Marvel Stadium"
"2013",19,"Brisbane Lions","St Kilda","Gabba"
"2013",19,"Western Bulldogs","Sydney Swans","Marvel Stadium"
"2013",19,"Adelaide Crows","Port Adelaide","AAMI Stadium"
"2013",19,"Collingwood","Essendon","MCG"
"2013",20,"St Kilda","Hawthorn","Marvel Stadium"
"2013",20,"Richmond","Brisbane Lions","MCG"
"2013",20,"Geelong Cats","Port Adelaide","GMHBA Stadium"
"2013",20,"Carlton","Western Bulldogs","Marvel Stadium"
"2013",20,"Sydney Swans","Collingwood","Accor Stadium Australia"
"2013",20,"Gold Coast Suns","Melbourne","Metricon Stadium"
"2013",20,"Essendon","West Coast Eagles","Marvel Stadium"
"2013",20,"Adelaide Crows","North Melbourne","AAMI Stadium"
"2013",20,"Fremantle","GWS Giants","Domain Stadium"
"2013",21,"Hawthorn","Collingwood","MCG"
"2013",21,"Richmond","Carlton","MCG"
"2013",21,"Port Adelaide","Gold Coast Suns","AAMI Stadium"
"2013",21,"Essendon","North Melbourne","Marvel Stadium"
"2013",21,"West Coast Eagles","Geelong Cats","Domain Stadium"
"2013",21,"Brisbane Lions","GWS Giants","Gabba"
"2013",21,"Melbourne","Fremantle","MCG"
"2013",21,"Sydney Swans","St Kilda","SCG"
"2013",21,"Western Bulldogs","Adelaide Crows","Marvel Stadium"
"2013",22,"Collingwood","West Coast Eagles","MCG"
"2013",22,"Adelaide Crows","Melbourne","AAMI Stadium"
"2013",22,"North Melbourne","Hawthorn","Marvel Stadium"
"2013",22,"Geelong Cats","Sydney Swans","GMHBA Stadium"
"2013",22,"Carlton","Essendon","MCG"
"2013",22,"Fremantle","Port Adelaide","Domain Stadium"
"2013",22,"St Kilda","Gold Coast Suns","Marvel Stadium"
"2013",22,"GWS Giants","Richmond","GIANTS Stadium"
