"round.roundNumber","home.team.club.name","away.team.club.name"
1,"Melbourne","Western Bulldogs"
1,"Carlton","Richmond"
1,"St Kilda","Collingwood"
1,"Geelong Cats","Essendon"
1,"GWS Giants","Sydney Swans"
1,"Brisbane Lions","Port Adelaide"
1,"Hawthorn","North Melbourne"
1,"Adelaide Crows","Fremantle"
1,"West Coast Eagles","Gold Coast Suns"
2,"Western Bulldogs","Carlton"
2,"Sydney Swans","Geelong Cats"
2,"Collingwood","Adelaide Crows"
2,"Essendon","Brisbane Lions"
2,"Port Adelaide","Hawthorn"
2,"Gold Coast Suns","Melbourne"
2,"North Melbourne","West Coast Eagles"
2,"Richmond","GWS Giants"
2,"Fremantle","St Kilda"
3,"Western Bulldogs","Sydney Swans"
3,"Melbourne","Essendon"
3,"Adelaide Crows","Port Adelaide"
3,"GWS Giants","Gold Coast Suns"
3,"Collingwood","Geelong Cats"
3,"Brisbane Lions","North Melbourne"
3,"Carlton","Hawthorn"
3,"St Kilda","Richmond"
3,"West Coast Eagles","Fremantle"
4,"Port Adelaide","Melbourne"
4,"Geelong Cats","Brisbane Lions"
4,"Sydney Swans","North Melbourne"
4,"Collingwood","West Coast Eagles"
4,"Richmond","Western Bulldogs"
4,"Fremantle","GWS Giants"
4,"Essendon","Adelaide Crows"
4,"Hawthorn","St Kilda"
4,"Gold Coast Suns","Carlton"
5,"Brisbane Lions","Collingwood"
5,"North Melbourne","Western Bulldogs"
5,"West Coast Eagles","Sydney Swans"
5,"St Kilda","Gold Coast Suns"
5,"Adelaide Crows","Richmond"
5,"Melbourne","GWS Giants"
5,"Carlton","Port Adelaide"
5,"Essendon","Fremantle"
5,"Hawthorn","Geelong Cats"
6,"GWS Giants","St Kilda"
6,"Western Bulldogs","Adelaide Crows"
6,"Port Adelaide","West Coast Eagles"
6,"Fremantle","Carlton"
6,"North Melbourne","Geelong Cats"
6,"Gold Coast Suns","Brisbane Lions"
6,"Richmond","Melbourne"
6,"Hawthorn","Sydney Swans"
6,"Essendon","Collingwood"
7,"West Coast Eagles","Richmond"
7,"Geelong Cats","Fremantle"
7,"Adelaide Crows","GWS Giants"
7,"Melbourne","Hawthorn"
7,"St Kilda","Port Adelaide"
7,"Carlton","North Melbourne"
7,"Collingwood","Gold Coast Suns"
7,"Western Bulldogs","Essendon"
7,"Sydney Swans","Brisbane Lions"
8,"Port Adelaide","Western Bulldogs"
8,"Fremantle","North Melbourne"
8,"Richmond","Collingwood"
8,"Sydney Swans","Gold Coast Suns"
8,"GWS Giants","Geelong Cats"
8,"Essendon","Hawthorn"
8,"Brisbane Lions","West Coast Eagles"
8,"Melbourne","St Kilda"
8,"Carlton","Adelaide Crows"
9,"Collingwood","Western Bulldogs"
9,"Hawthorn","Richmond"
9,"North Melbourne","Port Adelaide"
9,"St Kilda","Geelong Cats"
9,"Sydney Swans","Essendon"
9,"Adelaide Crows","Brisbane Lions"
9,"Gold Coast Suns","Fremantle"
9,"GWS Giants","Carlton"
9,"West Coast Eagles","Melbourne"
10,"Carlton","Sydney Swans"
10,"Geelong Cats","Port Adelaide"
10,"Western Bulldogs","Gold Coast Suns"
10,"North Melbourne","Melbourne"
10,"Adelaide Crows","St Kilda"
10,"Richmond","Essendon"
10,"GWS Giants","West Coast Eagles"
10,"Hawthorn","Brisbane Lions"
10,"Fremantle","Collingwood"
11,"Sydney Swans","Richmond"
11,"Brisbane Lions","GWS Giants"
11,"Geelong Cats","Adelaide Crows"
11,"Melbourne","Fremantle"
11,"West Coast Eagles","Western Bulldogs"
11,"Gold Coast Suns","Hawthorn"
11,"St Kilda","North Melbourne"
11,"Collingwood","Carlton"
11,"Port Adelaide","Essendon"
12,"Western Bulldogs","Geelong Cats"
12,"Adelaide Crows","West Coast Eagles"
12,"Gold Coast Suns","North Melbourne"
12,"Melbourne","Sydney Swans"
12,"Hawthorn","Collingwood"
12,"Fremantle","Brisbane Lions"
13,"Richmond","Port Adelaide"
13,"Essendon","Carlton"
13,"Fremantle","Hawthorn"
13,"Brisbane Lions","St Kilda"
13,"North Melbourne","GWS Giants"
13,"Collingwood","Melbourne"
14,"Richmond","Carlton"
14,"St Kilda","Essendon"
14,"Port Adelaide","Sydney Swans"
14,"West Coast Eagles","Geelong Cats"
14,"GWS Giants","Western Bulldogs"
14,"Gold Coast Suns","Adelaide Crows"
15,"Melbourne","Brisbane Lions"
15,"Western Bulldogs","Hawthorn"
15,"West Coast Eagles","Essendon"
15,"Carlton","Fremantle"
15,"Geelong Cats","Richmond"
15,"Sydney Swans","St Kilda"
15,"North Melbourne","Adelaide Crows"
15,"Collingwood","GWS Giants"
15,"Port Adelaide","Gold Coast Suns"
16,"Brisbane Lions","Western Bulldogs"
16,"Carlton","St Kilda"
16,"Essendon","Sydney Swans"
16,"Adelaide Crows","Melbourne"
16,"Geelong Cats","North Melbourne"
16,"Gold Coast Suns","Collingwood"
16,"Richmond","West Coast Eagles"
16,"GWS Giants","Hawthorn"
16,"Fremantle","Port Adelaide"
17,"Geelong Cats","Melbourne"
17,"Sydney Swans","Western Bulldogs"
17,"Collingwood","North Melbourne"
17,"Gold Coast Suns","Richmond"
17,"St Kilda","Fremantle"
17,"Port Adelaide","GWS Giants"
17,"Brisbane Lions","Essendon"
17,"Hawthorn","Adelaide Crows"
17,"West Coast Eagles","Carlton"
18,"Western Bulldogs","St Kilda"
18,"Adelaide Crows","Collingwood"
18,"GWS Giants","Brisbane Lions"
18,"North Melbourne","Richmond"
18,"Carlton","Geelong Cats"
18,"Fremantle","Sydney Swans"
18,"Hawthorn","West Coast Eagles"
18,"Melbourne","Port Adelaide"
18,"Essendon","Gold Coast Suns"
19,"Richmond","Fremantle"
19,"North Melbourne","Hawthorn"
19,"Sydney Swans","Adelaide Crows"
19,"Port Adelaide","Geelong Cats"
19,"Brisbane Lions","Gold Coast Suns"
19,"Western Bulldogs","Melbourne"
19,"Carlton","GWS Giants"
19,"Collingwood","Essendon"
19,"West Coast Eagles","St Kilda"
20,"Fremantle","Melbourne"
20,"Collingwood","Port Adelaide"
20,"Sydney Swans","GWS Giants"
20,"St Kilda","Hawthorn"
20,"Geelong Cats","Western Bulldogs"
20,"Adelaide Crows","Carlton"
20,"Gold Coast Suns","West Coast Eagles"
20,"Richmond","Brisbane Lions"
20,"Essendon","North Melbourne"
21,"Melbourne","Collingwood"
21,"Hawthorn","Gold Coast Suns"
21,"GWS Giants","Essendon"
21,"Western Bulldogs","Fremantle"
21,"Geelong Cats","St Kilda"
21,"Port Adelaide","Richmond"
21,"North Melbourne","Sydney Swans"
21,"Brisbane Lions","Carlton"
21,"West Coast Eagles","Adelaide Crows"
22,"St Kilda","Brisbane Lions"
22,"Western Bulldogs","GWS Giants"
22,"Adelaide Crows","North Melbourne"
22,"Gold Coast Suns","Geelong Cats"
22,"Melbourne","Carlton"
22,"Fremantle","West Coast Eagles"
22,"Richmond","Hawthorn"
22,"Sydney Swans","Collingwood"
22,"Essendon","Port Adelaide"
23,"Brisbane Lions","Melbourne"
23,"GWS Giants","Fremantle"
23,"North Melbourne","Gold Coast Suns"
