Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O)
5147,2011.0,1.0,0.0,0.0,104.0,84.0,20.0,1.0,14.0,230.0,143.0,373.0,1.61,103.0,80.0,43.0,22.0,27.0,14.0,9.0,16.0,4.0,34.0,41.2,26.64,10.97,49.0,46.0,21.0,69.0,2.03,4.93,43.5,20.3,187.0,86.0,24.24,76.4,11.0,2.0,6.0,3.0,148.0,224.0,268.0,71.8,9.0,16.0,40.0,3.0,64.3,189.0,127.0,316.0,1.49,70.0,57.0,26.0,27.0,21.0,13.0,9.0,4.0,2.0,19.0,68.4,24.31,16.63,26.0,49.0,50.0,37.0,1.95,2.85,45.9,35.1,187.5,85.0,22.49,51.0,13.0,7.0,1.0,1.0,127.0,180.0,226.0,71.5,12.0,9.0,54.0,10.0,69.2
5158,2011.0,2.0,1.0,1.0,171.0,52.0,119.0,1.0,8.0,268.0,171.0,439.0,1.57,123.0,53.0,47.0,21.0,19.0,26.0,20.0,15.0,0.0,41.0,63.4,16.88,10.71,39.0,40.0,30.0,63.0,1.54,2.42,65.1,41.3,187.3,87.0,24.24,77.0,11.0,2.0,6.0,3.0,161.0,279.0,333.0,75.9,8.0,20.0,48.0,10.0,76.9,174.0,158.0,332.0,1.1,66.0,57.0,33.0,19.0,21.0,7.0,4.0,9.0,1.0,17.0,41.2,47.43,19.53,39.0,51.0,32.0,41.0,2.41,5.86,39.0,17.1,187.0,84.4,22.66,53.6,14.0,1.0,3.0,4.0,133.0,200.0,233.0,70.2,5.0,4.0,57.0,5.0,57.1
5163,2011.0,3.0,1.0,0.0,74.0,102.0,-28.0,0.0,4.0,210.0,127.0,337.0,1.65,106.0,56.0,38.0,20.0,19.0,11.0,6.0,7.0,1.0,19.0,57.9,30.64,17.74,32.0,41.0,36.0,45.0,2.37,4.09,40.0,24.4,187.7,86.9,24.24,79.2,10.0,3.0,6.0,3.0,128.0,206.0,253.0,75.1,12.0,12.0,46.0,6.0,54.5,226.0,139.0,365.0,1.63,99.0,55.0,26.0,19.0,20.0,15.0,10.0,10.0,2.0,27.0,55.6,24.33,13.52,33.0,48.0,34.0,55.0,2.04,3.67,45.5,27.3,187.0,90.6,25.58,122.5,5.0,2.0,7.0,8.0,145.0,212.0,272.0,74.5,20.0,12.0,56.0,18.0,66.7
5173,2011.0,4.0,0.0,0.5,79.0,79.0,0.0,0.5,5.0,197.0,150.0,347.0,1.31,88.0,87.0,46.0,19.0,20.0,11.0,9.0,8.0,5.0,24.0,45.8,31.55,14.46,32.0,48.0,39.0,51.0,2.12,4.64,37.3,21.6,187.6,86.7,24.24,74.5,11.0,3.0,6.0,2.0,145.0,203.0,261.0,75.2,16.0,11.0,76.0,26.0,81.8,195.0,133.0,328.0,1.47,85.0,77.0,36.0,20.0,19.0,11.0,10.0,11.0,2.0,24.0,45.8,29.82,13.67,33.0,36.0,34.0,54.0,2.25,4.91,40.7,20.4,187.6,85.9,24.8,75.9,11.0,5.0,4.0,2.0,136.0,184.0,249.0,75.9,18.0,9.0,46.0,14.0,90.9
5180,2011.0,5.0,0.0,0.0,85.0,79.0,6.0,1.0,1.0,208.0,192.0,400.0,1.08,90.0,74.0,38.0,22.0,14.0,11.0,7.0,13.0,6.0,30.0,36.7,36.36,13.33,40.0,37.0,28.0,54.0,1.8,4.91,44.4,20.4,186.5,85.9,24.24,75.1,11.0,3.0,6.0,2.0,145.0,260.0,291.0,72.8,5.0,13.0,47.0,10.0,63.6,163.0,174.0,337.0,0.94,84.0,55.0,34.0,14.0,22.0,12.0,10.0,3.0,4.0,19.0,63.2,28.08,17.74,30.0,45.0,35.0,42.0,2.21,3.5,35.7,28.6,188.6,88.6,24.16,74.2,10.0,5.0,3.0,4.0,121.0,219.0,261.0,77.4,13.0,14.0,47.0,19.0,83.3
5186,2011.0,6.0,1.0,1.0,87.0,71.0,16.0,1.0,16.0,235.0,129.0,364.0,1.82,47.0,106.0,41.0,22.0,24.0,12.0,6.0,12.0,3.0,27.0,44.4,30.33,13.48,56.0,53.0,41.0,58.0,2.15,4.83,41.4,20.7,186.4,85.6,24.66,78.5,10.0,4.0,6.0,2.0,194.0,147.0,218.0,59.9,8.0,4.0,68.0,2.0,50.0,190.0,105.0,295.0,1.81,39.0,88.0,65.0,24.0,21.0,10.0,8.0,8.0,3.0,21.0,47.6,29.5,14.05,34.0,42.0,41.0,55.0,2.62,5.5,32.7,18.2,186.6,87.7,25.58,100.8,10.0,3.0,3.0,6.0,171.0,110.0,191.0,64.7,9.0,8.0,94.0,1.0,80.0
5199,2011.0,7.0,1.0,1.0,84.0,81.0,3.0,1.0,15.0,231.0,159.0,390.0,1.45,102.0,75.0,51.0,14.0,15.0,11.0,9.0,13.0,5.0,29.0,37.9,35.45,13.45,45.0,44.0,38.0,54.0,1.86,4.91,44.4,20.4,186.1,85.4,24.8,87.3,9.0,3.0,7.0,3.0,154.0,232.0,268.0,68.7,18.0,18.0,55.0,18.0,81.8,193.0,137.0,330.0,1.41,93.0,86.0,36.0,16.0,14.0,12.0,9.0,7.0,2.0,21.0,57.1,27.5,15.71,24.0,39.0,35.0,52.0,2.48,4.33,36.5,23.1,186.2,85.8,25.91,115.2,5.0,5.0,2.0,10.0,130.0,203.0,242.0,73.3,23.0,13.0,51.0,10.0,75.0
5208,2011.0,9.0,0.0,1.0,100.0,102.0,-2.0,0.0,7.0,228.0,133.0,361.0,1.71,112.0,75.0,39.0,24.0,15.0,14.0,10.0,11.0,5.0,30.0,46.7,25.79,12.03,41.0,32.0,28.0,56.0,1.87,4.0,44.6,25.0,186.6,85.8,25.0,90.7,7.0,4.0,8.0,3.0,143.0,223.0,262.0,72.6,11.0,12.0,44.0,6.0,71.4,177.0,174.0,351.0,1.02,84.0,57.0,41.0,15.0,24.0,15.0,9.0,11.0,1.0,27.0,55.6,23.4,13.0,35.0,59.0,37.0,45.0,1.67,3.0,57.8,33.3,187.4,89.5,26.58,131.2,5.0,4.0,2.0,11.0,140.0,220.0,254.0,72.4,16.0,10.0,53.0,3.0,60.0
5216,2011.0,10.0,1.0,1.0,93.0,46.0,47.0,1.0,11.0,247.0,142.0,389.0,1.74,128.0,81.0,43.0,18.0,12.0,13.0,9.0,12.0,3.0,28.0,46.4,29.92,13.89,45.0,54.0,30.0,52.0,1.86,4.0,48.1,25.0,186.4,85.8,25.0,91.7,7.0,4.0,8.0,3.0,151.0,238.0,272.0,69.9,9.0,8.0,45.0,7.0,69.2,178.0,149.0,327.0,1.19,75.0,69.0,44.0,12.0,18.0,6.0,4.0,10.0,0.0,16.0,37.5,54.5,20.44,36.0,51.0,33.0,38.0,2.38,6.33,42.1,15.8,187.1,85.0,23.33,60.0,12.0,4.0,5.0,1.0,125.0,194.0,212.0,64.8,9.0,5.0,58.0,5.0,66.7
5231,2011.0,11.0,1.0,1.0,111.0,49.0,62.0,1.0,13.0,256.0,178.0,434.0,1.44,109.0,49.0,39.0,18.0,21.0,16.0,14.0,14.0,1.0,31.0,51.6,27.12,14.0,42.0,42.0,27.0,58.0,1.87,3.62,51.7,27.6,186.2,86.0,24.8,87.9,8.0,4.0,7.0,3.0,169.0,272.0,314.0,72.4,15.0,18.0,50.0,22.0,87.5,180.0,148.0,328.0,1.22,73.0,56.0,24.0,21.0,18.0,7.0,5.0,6.0,1.0,14.0,50.0,46.86,23.43,31.0,48.0,36.0,35.0,2.5,5.0,37.1,20.0,187.8,87.2,24.8,73.0,8.0,8.0,4.0,2.0,130.0,201.0,227.0,69.2,11.0,8.0,61.0,17.0,71.4
