Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Clangers2,Contested Marks,Marks Inside 50,Clearances2,Rebound 50s2,1%ers,Bounces,Goals Assists2,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Clangers2(O),Contested Marks(O),Marks Inside 50(O),Clearances2(O),Rebound 50s2(O),1%ers(O),Bounces(O),Goals Assists2(O),Goal Assist %(O)
5149,2011.0,1.0,0.0,0.0,155.0,80.0,75.0,1.0,13.0,234.0,164.0,398.0,1.43,84.0,83.0,37.0,26.0,20.0,24.0,13.0,8.0,3.0,35.0,68.6,16.58,11.37,49.0,57.0,38.0,70.0,2.0,2.92,45.7,34.3,187.3,91.1,25.0,107.2,7.0,2.0,6.0,7.0,160.0,227.0,289.0,72.6,57.0,15.0,11.0,49.0,38.0,50.0,22.0,13.0,54.2,192.0,139.0,331.0,1.38,71.0,69.0,35.0,20.0,26.0,12.0,6.0,6.0,2.0,20.0,60.0,27.58,16.55,31.0,71.0,44.0,50.0,2.5,4.17,36.0,24.0,179.4,83.8,24.0,72.8,9.0,6.0,3.0,4.0,141.0,196.0,232.0,70.1,71.0,7.0,10.0,31.0,44.0,59.0,10.0,6.0,50.0
5156,2011.0,2.0,1.0,1.0,143.0,56.0,87.0,1.0,12.0,256.0,191.0,447.0,1.34,108.0,71.0,28.0,21.0,22.0,21.0,17.0,15.0,2.0,38.0,55.3,21.29,11.76,36.0,55.0,46.0,72.0,1.89,3.43,50.0,29.2,187.3,91.1,25.8,108.2,7.0,2.0,6.0,7.0,166.0,278.0,342.0,76.5,55.0,17.0,12.0,36.0,46.0,55.0,19.0,17.0,81.0,186.0,172.0,358.0,1.08,78.0,60.0,38.0,23.0,20.0,7.0,5.0,12.0,2.0,21.0,33.3,51.14,17.05,32.0,56.0,44.0,54.0,2.57,7.71,35.2,13.0,186.9,86.5,24.16,73.2,11.0,6.0,0.0,5.0,131.0,222.0,261.0,72.9,56.0,8.0,10.0,32.0,44.0,45.0,15.0,5.0,71.4
5163,2011.0,3.0,0.0,0.0,102.0,74.0,28.0,1.0,3.0,226.0,139.0,365.0,1.63,99.0,55.0,26.0,19.0,20.0,15.0,10.0,10.0,2.0,27.0,55.6,24.33,13.52,33.0,48.0,34.0,55.0,2.04,3.67,45.5,27.3,187.0,90.6,25.58,122.5,5.0,2.0,7.0,8.0,145.0,212.0,272.0,74.5,48.0,20.0,12.0,33.0,34.0,56.0,18.0,10.0,66.7,210.0,127.0,337.0,1.65,106.0,56.0,38.0,20.0,19.0,11.0,6.0,7.0,1.0,19.0,57.9,30.64,17.74,32.0,41.0,36.0,45.0,2.37,4.09,40.0,24.4,187.7,86.9,24.24,79.2,10.0,3.0,6.0,3.0,128.0,206.0,253.0,75.1,41.0,12.0,12.0,32.0,36.0,46.0,6.0,6.0,54.5
5171,2011.0,4.0,1.0,1.0,161.0,90.0,71.0,1.0,14.0,255.0,123.0,378.0,2.07,106.0,57.0,22.0,23.0,17.0,24.0,16.0,13.0,4.0,41.0,58.5,15.75,9.22,48.0,34.0,31.0,63.0,1.54,2.62,58.7,38.1,187.2,90.5,25.33,116.7,6.0,2.0,7.0,7.0,153.0,208.0,279.0,73.8,34.0,15.0,20.0,48.0,31.0,41.0,12.0,16.0,66.7,201.0,153.0,354.0,1.31,102.0,59.0,47.0,17.0,23.0,13.0,6.0,9.0,3.0,25.0,52.0,27.23,14.16,37.0,45.0,34.0,45.0,1.8,3.46,48.9,28.9,187.4,85.0,22.91,57.0,12.0,7.0,2.0,1.0,111.0,242.0,276.0,78.0,45.0,11.0,6.0,37.0,34.0,56.0,4.0,6.0,46.2
5182,2011.0,5.0,1.0,1.0,107.0,77.0,30.0,1.0,5.0,252.0,151.0,403.0,1.67,97.0,78.0,48.0,16.0,24.0,16.0,7.0,8.0,3.0,27.0,59.3,25.19,14.93,44.0,45.0,41.0,58.0,2.15,3.62,41.4,27.6,187.2,90.7,25.33,120.7,6.0,2.0,6.0,8.0,188.0,207.0,275.0,68.2,45.0,18.0,11.0,44.0,41.0,73.0,22.0,7.0,43.8,204.0,167.0,371.0,1.22,59.0,91.0,35.0,24.0,16.0,11.0,5.0,8.0,3.0,22.0,50.0,33.73,16.86,37.0,44.0,39.0,56.0,2.55,5.09,33.9,19.6,188.0,87.2,24.24,80.8,11.0,4.0,4.0,3.0,176.0,194.0,256.0,69.0,44.0,13.0,6.0,37.0,39.0,78.0,7.0,5.0,45.5
5191,2011.0,6.0,0.0,0.0,105.0,57.0,48.0,1.0,18.0,242.0,148.0,390.0,1.64,69.0,63.0,38.0,17.0,12.0,15.0,11.0,13.0,2.0,30.0,50.0,26.0,13.0,53.0,42.0,32.0,70.0,2.33,4.67,40.0,21.4,186.8,90.4,25.16,107.8,7.0,2.0,7.0,6.0,168.0,206.0,270.0,69.2,42.0,8.0,12.0,53.0,32.0,61.0,2.0,11.0,73.3,210.0,112.0,322.0,1.88,69.0,74.0,65.0,13.0,17.0,8.0,7.0,9.0,0.0,17.0,47.1,40.25,18.94,45.0,55.0,49.0,42.0,2.47,5.25,40.5,19.0,188.4,87.8,24.49,85.5,9.0,3.0,4.0,6.0,150.0,155.0,216.0,67.1,55.0,10.0,10.0,45.0,49.0,77.0,8.0,7.0,87.5
5200,2011.0,8.0,1.0,0.0,62.0,65.0,-3.0,0.0,7.0,223.0,130.0,353.0,1.72,84.0,60.0,24.0,21.0,24.0,9.0,5.0,5.0,3.0,17.0,52.9,39.22,20.76,27.0,59.0,46.0,42.0,2.47,4.67,33.3,21.4,187.3,90.6,25.0,105.9,7.0,3.0,6.0,6.0,157.0,185.0,252.0,71.4,59.0,15.0,8.0,27.0,46.0,58.0,5.0,5.0,55.6,221.0,135.0,356.0,1.64,93.0,82.0,44.0,24.0,21.0,8.0,4.0,12.0,5.0,25.0,32.0,44.5,14.24,35.0,61.0,32.0,62.0,2.48,7.75,32.3,12.9,187.5,89.4,26.74,130.4,4.0,5.0,2.0,11.0,149.0,191.0,246.0,69.1,61.0,15.0,13.0,35.0,32.0,45.0,1.0,4.0,50.0
5213,2011.0,9.0,0.0,0.0,135.0,92.0,43.0,1.0,1.0,230.0,139.0,369.0,1.65,99.0,65.0,29.0,15.0,15.0,20.0,13.0,12.0,3.0,35.0,57.1,18.45,10.54,46.0,34.0,28.0,67.0,1.91,3.35,47.8,29.9,187.5,89.9,24.8,101.0,7.0,3.0,7.0,5.0,150.0,225.0,277.0,75.1,34.0,14.0,20.0,46.0,28.0,68.0,19.0,13.0,65.0,189.0,128.0,317.0,1.48,70.0,61.0,63.0,15.0,15.0,14.0,11.0,8.0,0.0,22.0,63.6,22.64,14.41,40.0,29.0,41.0,44.0,2.0,3.14,50.0,31.8,188.5,88.0,23.74,70.2,11.0,4.0,3.0,4.0,132.0,185.0,223.0,70.3,29.0,11.0,10.0,40.0,41.0,59.0,9.0,11.0,78.6
5218,2011.0,10.0,0.0,0.0,105.0,53.0,52.0,1.0,17.0,229.0,165.0,394.0,1.39,90.0,71.0,23.0,18.0,19.0,16.0,8.0,7.0,2.0,25.0,64.0,24.62,15.76,38.0,48.0,39.0,52.0,2.08,3.25,44.2,30.8,187.3,90.0,24.8,102.8,6.0,4.0,7.0,5.0,158.0,234.0,287.0,72.8,48.0,14.0,11.0,38.0,39.0,56.0,20.0,8.0,50.0,194.0,159.0,353.0,1.22,77.0,61.0,55.0,19.0,18.0,7.0,6.0,7.0,4.0,18.0,38.9,50.43,19.61,38.0,46.0,33.0,50.0,2.78,7.14,28.0,14.0,188.6,89.3,24.33,90.0,8.0,8.0,1.0,5.0,143.0,201.0,247.0,70.0,46.0,11.0,8.0,38.0,33.0,58.0,7.0,6.0,85.7
5228,2011.0,11.0,0.0,0.0,108.0,51.0,57.0,1.0,15.0,227.0,128.0,355.0,1.77,97.0,97.0,50.0,23.0,18.0,16.0,9.0,10.0,2.0,28.0,57.1,22.19,12.68,43.0,48.0,28.0,60.0,2.14,3.75,43.3,26.7,188.3,90.8,25.16,114.7,4.0,5.0,7.0,6.0,152.0,202.0,260.0,73.2,48.0,17.0,13.0,43.0,28.0,46.0,14.0,9.0,56.2,203.0,155.0,358.0,1.31,96.0,69.0,41.0,18.0,23.0,7.0,4.0,6.0,3.0,16.0,43.8,51.14,22.38,29.0,56.0,43.0,38.0,2.38,5.43,34.2,18.4,186.3,86.0,25.41,105.4,6.0,5.0,3.0,8.0,135.0,217.0,253.0,70.7,56.0,12.0,5.0,29.0,43.0,44.0,19.0,4.0,57.1
