Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O),Venue,position,form,thisSeasonRecord.winLossRecord.wins,thisSeasonRecord.winLossRecord.losses,thisSeasonRecord.winLossRecord.draws
5551,2013.0,1.0,0.0,0.0,108.0,80.0,28.0,1.0,17.0,206.0,129.0,335.0,1.6,87.0,74.0,35.0,20.0,25.0,16.0,8.0,11.0,1.0,28.0,57.1,20.94,11.96,36.0,44.0,23.0,61.0,2.18,3.81,44.3,26.2,187.2,87.7,25.8,95.0,5.0,9.0,3.0,5.0,152.0,188.0,225.0,67.2,10.0,11.0,52.0,8.0,50.0,179.0,110.0,289.0,1.63,58.0,83.0,47.0,25.0,20.0,11.0,5.0,10.0,4.0,25.0,44.0,26.27,11.56,43.0,46.0,40.0,38.0,1.52,3.45,55.3,28.9,188.2,87.7,25.16,98.4,7.0,6.0,5.0,4.0,153.0,139.0,184.0,63.7,16.0,8.0,51.0,11.0,45.5,Domain Stadium,5.0,W,1.0,0.0,0.0
5561,2013.0,2.0,1.0,1.0,106.0,78.0,28.0,1.0,18.0,209.0,112.0,321.0,1.87,112.0,63.0,29.0,19.0,27.0,16.0,13.0,9.0,1.0,26.0,61.5,20.06,12.35,29.0,50.0,34.0,48.0,1.85,3.0,52.1,33.3,187.7,87.7,25.58,93.1,6.0,8.0,3.0,5.0,131.0,190.0,235.0,73.2,12.0,13.0,36.0,10.0,81.2,204.0,146.0,350.0,1.4,80.0,61.0,53.0,27.0,19.0,11.0,8.0,11.0,1.0,23.0,47.8,31.82,15.22,41.0,44.0,29.0,47.0,2.04,4.27,46.8,23.4,187.4,87.2,24.91,81.6,13.0,1.0,2.0,6.0,147.0,203.0,239.0,68.3,6.0,9.0,51.0,7.0,72.7,Marvel Stadium,4.0,WW,2.0,0.0,0.0
5568,2013.0,3.0,0.0,1.0,68.0,72.0,-4.0,0.0,5.0,218.0,100.0,318.0,2.18,66.0,88.0,44.0,26.0,18.0,9.0,7.0,14.0,0.0,23.0,39.1,35.33,13.83,60.0,46.0,34.0,59.0,2.57,6.56,39.0,15.3,187.2,87.7,25.91,97.0,5.0,9.0,3.0,5.0,173.0,137.0,184.0,57.9,8.0,11.0,46.0,0.0,77.8,208.0,139.0,347.0,1.5,55.0,85.0,59.0,19.0,26.0,10.0,6.0,11.0,1.0,22.0,45.5,34.7,15.77,37.0,64.0,45.0,46.0,2.09,4.6,45.7,21.7,188.9,88.8,24.74,86.4,9.0,8.0,1.0,4.0,182.0,153.0,195.0,56.2,9.0,6.0,49.0,9.0,60.0,Domain Stadium,7.0,WWL,2.0,1.0,0.0
5578,2013.0,4.0,1.0,0.0,76.0,118.0,-42.0,0.0,10.0,189.0,139.0,328.0,1.36,77.0,52.0,34.0,21.0,17.0,11.0,6.0,6.0,4.0,21.0,52.4,29.82,15.62,42.0,40.0,25.0,45.0,2.14,4.09,37.8,24.4,186.7,86.9,24.8,76.0,6.0,10.0,3.0,3.0,137.0,190.0,232.0,70.7,8.0,9.0,38.0,4.0,54.5,221.0,166.0,387.0,1.33,116.0,67.0,48.0,17.0,21.0,18.0,14.0,9.0,1.0,28.0,64.3,21.5,13.82,36.0,47.0,32.0,50.0,1.79,2.78,54.0,36.0,187.2,87.9,25.41,106.0,8.0,3.0,2.0,9.0,141.0,250.0,295.0,76.2,24.0,15.0,49.0,6.0,77.8,University of Tasmania Stadium,9.0,WWLL,2.0,2.0,0.0
5588,2013.0,5.0,0.0,0.0,81.0,80.0,1.0,1.0,14.0,236.0,132.0,368.0,1.79,111.0,64.0,39.0,26.0,21.0,12.0,8.0,8.0,1.0,21.0,57.1,30.67,17.52,38.0,46.0,28.0,50.0,2.38,4.17,40.0,24.0,187.1,87.7,25.33,85.6,5.0,9.0,4.0,4.0,145.0,221.0,267.0,72.6,9.0,8.0,43.0,2.0,66.7,207.0,134.0,341.0,1.54,76.0,73.0,38.0,21.0,26.0,12.0,7.0,4.0,4.0,20.0,60.0,28.42,17.05,37.0,58.0,34.0,45.0,2.25,3.75,35.6,26.7,187.4,87.4,24.24,83.4,5.0,11.0,4.0,2.0,155.0,182.0,238.0,69.8,16.0,7.0,55.0,5.0,58.3,Domain Stadium,7.0,WWLLW,3.0,2.0,0.0
5599,2013.0,6.0,1.0,1.0,99.0,54.0,45.0,1.0,8.0,215.0,119.0,334.0,1.81,94.0,68.0,47.0,23.0,18.0,15.0,8.0,8.0,1.0,24.0,62.5,22.27,13.92,31.0,38.0,35.0,45.0,1.88,3.0,51.1,33.3,187.3,87.3,25.41,81.0,7.0,7.0,4.0,4.0,137.0,191.0,241.0,72.2,11.0,11.0,40.0,2.0,53.3,191.0,158.0,349.0,1.21,82.0,74.0,37.0,18.0,23.0,7.0,6.0,9.0,3.0,19.0,36.8,49.86,18.37,43.0,60.0,26.0,45.0,2.37,6.43,35.6,15.6,188.2,87.5,23.16,60.0,16.0,1.0,2.0,3.0,139.0,211.0,249.0,71.3,10.0,11.0,46.0,6.0,85.7,Metricon Stadium,6.0,WWLLWW,4.0,2.0,0.0
5608,2013.0,7.0,0.0,0.0,100.0,73.0,27.0,1.0,4.0,223.0,147.0,370.0,1.52,104.0,63.0,29.0,17.0,18.0,15.0,13.0,9.0,1.0,25.0,60.0,24.67,14.8,23.0,51.0,34.0,44.0,1.76,2.93,54.5,34.1,187.3,87.3,25.41,82.0,7.0,7.0,4.0,4.0,134.0,237.0,262.0,70.8,6.0,12.0,39.0,5.0,86.7,225.0,145.0,370.0,1.55,117.0,61.0,38.0,17.0,17.0,10.0,7.0,9.0,4.0,23.0,43.5,37.0,16.09,36.0,54.0,28.0,47.0,2.04,4.7,40.4,21.3,185.3,89.2,25.33,102.6,7.0,5.0,1.0,9.0,136.0,234.0,266.0,71.9,14.0,9.0,44.0,10.0,70.0,Domain Stadium,6.0,WWLLWWW,5.0,2.0,0.0
5617,2013.0,8.0,1.0,0.5,70.0,70.0,0.0,0.5,16.0,210.0,142.0,352.0,1.48,100.0,79.0,39.0,14.0,19.0,9.0,6.0,12.0,4.0,25.0,36.0,39.11,14.08,38.0,39.0,34.0,61.0,2.44,6.78,34.4,14.8,187.6,87.5,25.33,83.8,7.0,7.0,4.0,4.0,150.0,207.0,251.0,71.3,16.0,13.0,47.0,8.0,66.7,204.0,183.0,387.0,1.11,99.0,90.0,51.0,19.0,14.0,11.0,7.0,3.0,1.0,15.0,73.3,35.18,25.8,39.0,45.0,50.0,47.0,3.13,4.27,29.8,23.4,187.0,89.0,26.49,117.9,3.0,10.0,4.0,5.0,144.0,241.0,287.0,74.2,18.0,12.0,52.0,10.0,63.6,SCG,5.0,WWLLWWWD,5.0,2.0,1.0
5630,2013.0,9.0,0.0,0.0,130.0,40.0,90.0,1.0,11.0,286.0,185.0,471.0,1.55,167.0,68.0,33.0,13.0,13.0,19.0,13.0,12.0,4.0,35.0,54.3,24.79,13.46,40.0,41.0,17.0,54.0,1.54,2.84,57.4,35.2,188.0,87.5,25.24,83.8,7.0,7.0,4.0,4.0,150.0,334.0,358.0,76.0,10.0,24.0,43.0,16.0,68.4,165.0,141.0,306.0,1.17,83.0,74.0,50.0,13.0,12.0,6.0,3.0,3.0,1.0,10.0,60.0,51.0,30.6,28.0,40.0,29.0,25.0,2.5,4.17,36.0,24.0,187.4,87.9,24.49,64.2,11.0,5.0,5.0,1.0,109.0,197.0,223.0,72.9,4.0,3.0,36.0,3.0,50.0,Domain Stadium,4.0,WWLLWWWDW,6.0,2.0,1.0
5633,2013.0,10.0,1.0,1.0,66.0,59.0,7.0,1.0,1.0,230.0,121.0,351.0,1.9,74.0,84.0,38.0,16.0,26.0,10.0,5.0,4.0,2.0,16.0,62.5,35.1,21.94,45.0,57.0,41.0,44.0,2.75,4.4,31.8,22.7,187.5,87.0,25.16,87.5,6.0,8.0,4.0,4.0,173.0,160.0,211.0,60.1,6.0,5.0,47.0,4.0,50.0,224.0,131.0,355.0,1.71,60.0,78.0,61.0,26.0,16.0,8.0,4.0,9.0,2.0,19.0,42.1,44.38,18.68,45.0,50.0,31.0,52.0,2.74,6.5,32.7,15.4,185.7,87.2,24.49,81.4,9.0,6.0,3.0,4.0,181.0,162.0,212.0,59.7,5.0,8.0,48.0,0.0,50.0,AAMI Stadium,4.0,WWLLWWWDWW,7.0,2.0,1.0
