Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O),PAV_Sum,Venue,position,form,thisSeasonRecord.winLossRecord.wins,thisSeasonRecord.winLossRecord.losses,thisSeasonRecord.winLossRecord.draws
5554,2013.0,1.0,0.0,1.0,76.0,106.0,-30.0,0.0,16.0,207.0,139.0,346.0,1.49,81.0,53.0,36.0,22.0,25.0,11.0,5.0,9.0,1.0,21.0,52.4,31.45,16.48,44.0,48.0,28.0,50.0,2.38,4.55,40.0,22.0,187.0,84.6,21.58,31.3,18.0,2.0,1.0,1.0,156.0,189.0,231.0,66.8,6.0,5.0,39.0,5.0,45.5,207.0,154.0,361.0,1.34,70.0,69.0,49.0,25.0,22.0,16.0,8.0,8.0,2.0,26.0,61.5,22.56,13.88,42.0,51.0,36.0,48.0,1.85,3.0,50.0,33.3,186.8,88.3,27.8,128.6,5.0,5.0,4.0,8.0,176.0,187.0,246.0,68.1,17.0,8.0,51.0,7.0,50.0,158.19,Accor Stadium Australia,15.0,L,0.0,1.0,0.0
5563,2013.0,2.0,1.0,0.0,78.0,134.0,-56.0,0.0,13.0,189.0,119.0,308.0,1.59,70.0,53.0,28.0,25.0,28.0,11.0,4.0,11.0,1.0,23.0,47.8,28.0,13.39,38.0,65.0,40.0,39.0,1.7,3.55,56.4,28.2,187.0,84.4,21.8,34.6,17.0,3.0,1.0,1.0,134.0,171.0,204.0,66.2,2.0,10.0,43.0,12.0,36.4,225.0,164.0,389.0,1.37,110.0,55.0,26.0,28.0,24.0,19.0,15.0,14.0,6.0,39.0,48.7,20.47,9.97,25.0,52.0,22.0,67.0,1.72,3.53,49.3,28.4,188.5,87.5,23.41,60.1,12.0,3.0,5.0,2.0,127.0,255.0,281.0,72.2,11.0,21.0,39.0,10.0,78.9,158.2,AAMI Stadium,16.0,LL,0.0,2.0,0.0
5571,2013.0,3.0,0.0,1.0,68.0,140.0,-72.0,0.0,15.0,177.0,115.0,292.0,1.54,74.0,41.0,38.0,27.0,13.0,10.0,6.0,8.0,0.0,18.0,55.6,29.2,16.22,31.0,40.0,35.0,42.0,2.33,4.2,42.9,23.8,187.3,84.7,21.8,33.2,18.0,2.0,1.0,1.0,109.0,185.0,210.0,71.9,7.0,7.0,43.0,11.0,60.0,231.0,197.0,428.0,1.17,111.0,42.0,33.0,14.0,26.0,21.0,17.0,12.0,2.0,35.0,60.0,20.38,12.23,33.0,49.0,27.0,62.0,1.77,2.95,53.2,33.9,187.1,86.7,26.33,110.7,8.0,4.0,2.0,8.0,139.0,289.0,338.0,79.0,12.0,19.0,36.0,22.0,81.0,149.67,Manuka Oval,17.0,LLL,0.0,3.0,0.0
5583,2013.0,4.0,1.0,0.0,103.0,144.0,-41.0,0.0,11.0,192.0,182.0,374.0,1.05,56.0,55.0,35.0,20.0,26.0,15.0,7.0,9.0,4.0,28.0,53.6,24.93,13.36,40.0,60.0,36.0,45.0,1.61,3.0,53.3,33.3,187.0,84.3,22.0,30.7,17.0,4.0,1.0,0.0,155.0,209.0,250.0,66.8,6.0,5.0,51.0,17.0,46.7,210.0,150.0,360.0,1.4,87.0,85.0,50.0,26.0,19.0,22.0,16.0,10.0,2.0,34.0,64.7,16.36,10.59,40.0,40.0,25.0,58.0,1.71,2.64,55.2,37.9,187.6,87.5,24.24,61.7,11.0,5.0,5.0,1.0,156.0,204.0,264.0,73.3,22.0,17.0,41.0,14.0,72.7,138.74,MCG,18.0,LLLL,0.0,4.0,0.0
5589,2013.0,5.0,0.0,1.0,104.0,148.0,-44.0,0.0,8.0,200.0,137.0,337.0,1.46,99.0,53.0,22.0,8.0,19.0,16.0,10.0,6.0,2.0,24.0,66.7,21.06,14.04,27.0,48.0,37.0,47.0,1.96,2.94,46.8,34.0,187.0,85.0,21.91,35.8,17.0,4.0,0.0,1.0,110.0,221.0,258.0,76.6,7.0,9.0,30.0,9.0,62.5,243.0,143.0,386.0,1.7,115.0,46.0,29.0,19.0,7.0,21.0,17.0,19.0,3.0,43.0,48.8,18.38,8.98,33.0,30.0,26.0,61.0,1.42,2.9,65.6,34.4,188.8,88.5,23.33,58.7,16.0,2.0,1.0,3.0,149.0,234.0,290.0,75.1,15.0,26.0,40.0,14.0,81.0,143.68,Manuka Oval,18.0,LLLLL,0.0,5.0,0.0
5596,2013.0,6.0,1.0,0.0,81.0,120.0,-39.0,0.0,5.0,218.0,130.0,348.0,1.68,106.0,51.0,41.0,24.0,19.0,12.0,10.0,7.0,2.0,21.0,57.1,29.0,16.57,44.0,53.0,50.0,41.0,1.95,3.42,46.3,29.3,186.6,85.2,21.24,27.8,18.0,3.0,1.0,0.0,152.0,192.0,240.0,69.0,15.0,9.0,52.0,6.0,83.3,228.0,160.0,388.0,1.43,106.0,67.0,30.0,19.0,24.0,17.0,14.0,16.0,2.0,35.0,48.6,22.82,11.09,29.0,51.0,26.0,69.0,1.97,4.06,47.8,24.6,188.1,88.9,25.8,77.5,7.0,11.0,0.0,4.0,148.0,242.0,288.0,74.2,12.0,14.0,37.0,11.0,82.4,147.05,Marvel Stadium,18.0,LLLLLL,0.0,6.0,0.0
5610,2013.0,7.0,0.0,1.0,52.0,187.0,-135.0,0.0,1.0,189.0,131.0,320.0,1.44,104.0,35.0,39.0,7.0,19.0,7.0,4.0,8.0,2.0,17.0,41.2,45.71,18.82,29.0,46.0,34.0,42.0,2.47,6.0,35.7,16.7,186.9,85.1,21.91,36.1,17.0,3.0,1.0,1.0,103.0,217.0,242.0,75.6,8.0,7.0,31.0,7.0,57.1,254.0,181.0,435.0,1.4,148.0,37.0,26.0,19.0,7.0,29.0,20.0,11.0,2.0,42.0,69.0,15.0,10.36,38.0,26.0,34.0,67.0,1.6,2.31,59.7,43.3,186.4,87.9,24.33,78.1,10.0,5.0,3.0,4.0,132.0,303.0,353.0,81.1,19.0,32.0,42.0,11.0,69.0,140.13,GIANTS Stadium,18.0,LLLLLLL,0.0,7.0,0.0
5615,2013.0,8.0,1.0,0.0,57.0,140.0,-83.0,0.0,10.0,190.0,139.0,329.0,1.37,71.0,82.0,38.0,28.0,24.0,9.0,5.0,3.0,0.0,12.0,75.0,36.56,27.42,38.0,56.0,34.0,34.0,2.83,3.78,35.3,26.5,187.3,84.6,21.91,36.0,17.0,3.0,1.0,1.0,129.0,193.0,230.0,69.9,2.0,7.0,36.0,3.0,55.6,213.0,194.0,407.0,1.1,86.0,56.0,52.0,24.0,27.0,21.0,14.0,13.0,1.0,35.0,60.0,19.38,11.63,46.0,43.0,24.0,60.0,1.71,2.86,56.7,35.0,187.5,88.9,26.66,122.8,8.0,2.0,0.0,12.0,151.0,259.0,301.0,74.0,8.0,25.0,47.0,8.0,66.7,138.25,University of Tasmania Stadium,18.0,LLLLLLLL,0.0,8.0,0.0
5624,2013.0,9.0,0.0,1.0,55.0,155.0,-100.0,0.0,17.0,179.0,159.0,338.0,1.13,81.0,59.0,22.0,14.0,22.0,8.0,8.0,4.0,3.0,15.0,53.3,42.25,22.53,34.0,49.0,36.0,42.0,2.8,5.25,28.6,19.0,186.8,85.4,21.74,33.1,17.0,4.0,1.0,0.0,124.0,216.0,238.0,70.4,6.0,4.0,38.0,4.0,100.0,234.0,158.0,392.0,1.48,109.0,77.0,55.0,22.0,14.0,23.0,17.0,16.0,1.0,40.0,57.5,17.04,9.8,52.0,47.0,28.0,63.0,1.57,2.74,61.9,36.5,188.1,88.0,25.33,100.4,4.0,9.0,6.0,3.0,152.0,237.0,278.0,70.9,10.0,25.0,43.0,15.0,73.9,144.29,GIANTS Stadium,18.0,LLLLLLLLL,0.0,9.0,0.0
5632,2013.0,10.0,1.0,0.0,54.0,148.0,-94.0,0.0,3.0,198.0,157.0,355.0,1.26,95.0,59.0,36.0,15.0,15.0,8.0,7.0,2.0,4.0,14.0,57.1,44.38,25.36,37.0,45.0,37.0,39.0,2.79,4.88,25.6,20.5,186.8,85.3,21.33,29.9,18.0,4.0,0.0,0.0,122.0,233.0,247.0,69.6,5.0,5.0,49.0,5.0,87.5,234.0,161.0,395.0,1.45,103.0,66.0,50.0,15.0,15.0,22.0,15.0,12.0,4.0,38.0,57.9,17.95,10.39,44.0,44.0,29.0,64.0,1.68,2.91,53.1,34.4,187.4,87.4,24.8,86.1,8.0,7.0,2.0,5.0,155.0,244.0,290.0,73.4,13.0,17.0,49.0,19.0,68.2,147.1,Marvel Stadium,18.0,LLLLLLLLLL,0.0,10.0,0.0
