Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O),PAV_Sum,Venue,position,form,thisSeasonRecord.winLossRecord.wins,thisSeasonRecord.winLossRecord.losses,thisSeasonRecord.winLossRecord.draws
5555,2013.0,1.0,0.0,0.0,90.0,77.0,13.0,1.0,15.0,202.0,133.0,335.0,1.52,73.0,54.0,32.0,15.0,23.0,13.0,9.0,11.0,1.0,25.0,52.0,25.77,13.4,40.0,57.0,45.0,50.0,2.0,3.85,48.0,26.0,188.1,87.5,23.41,57.2,15.0,3.0,2.0,2.0,145.0,179.0,232.0,69.3,11.0,6.0,67.0,9.0,69.2,226.0,129.0,355.0,1.75,98.0,49.0,40.0,23.0,15.0,10.0,9.0,12.0,5.0,27.0,37.0,35.5,13.15,30.0,46.0,34.0,59.0,2.19,5.9,37.3,16.9,187.7,87.4,25.91,98.5,9.0,5.0,2.0,6.0,139.0,223.0,275.0,77.5,10.0,12.0,55.0,11.0,90.0,124.52,Metricon Stadium,7,W,1,0,0
5560,2013.0,2.0,1.0,0.0,73.0,114.0,-41.0,0.0,16.0,201.0,116.0,317.0,1.73,57.0,63.0,38.0,33.0,28.0,11.0,2.0,6.0,1.0,18.0,61.1,28.82,17.61,49.0,53.0,37.0,44.0,2.44,4.0,38.6,25.0,188.2,88.0,23.16,55.4,16.0,2.0,2.0,2.0,176.0,137.0,197.0,62.1,7.0,4.0,54.0,13.0,18.2,218.0,151.0,369.0,1.44,45.0,73.0,57.0,28.0,33.0,17.0,12.0,8.0,4.0,29.0,58.6,21.71,12.72,47.0,61.0,33.0,58.0,2.0,3.41,43.1,29.3,186.8,88.5,27.24,135.2,3.0,7.0,4.0,8.0,178.0,175.0,254.0,68.8,11.0,12.0,46.0,4.0,70.6,124.52,SCG,11,WL,1,1,0
5572,2013.0,3.0,0.0,1.0,92.0,94.0,-2.0,0.0,2.0,214.0,123.0,337.0,1.74,56.0,83.0,42.0,21.0,14.0,13.0,12.0,12.0,2.0,27.0,48.1,25.92,12.48,37.0,57.0,39.0,55.0,2.04,4.23,45.5,23.6,188.3,87.6,23.16,53.6,16.0,2.0,2.0,2.0,153.0,167.0,226.0,67.1,3.0,10.0,72.0,7.0,92.3,216.0,139.0,355.0,1.55,64.0,68.0,35.0,14.0,21.0,13.0,10.0,5.0,11.0,29.0,44.8,27.31,12.24,46.0,53.0,37.0,59.0,2.03,4.54,30.5,22.0,187.1,87.6,24.66,79.3,8.0,7.0,5.0,2.0,157.0,199.0,241.0,67.9,5.0,9.0,74.0,6.0,76.9,118.17,Metricon Stadium,13,WLL,1,2,0
5582,2013.0,4.0,0.0,1.0,66.0,104.0,-38.0,0.0,13.0,210.0,145.0,355.0,1.45,81.0,42.0,26.0,11.0,20.0,9.0,8.0,9.0,3.0,21.0,42.9,39.44,16.9,37.0,59.0,36.0,56.0,2.67,6.22,32.1,16.1,188.4,88.0,23.49,58.7,15.0,3.0,1.0,3.0,150.0,208.0,243.0,68.5,10.0,12.0,53.0,3.0,88.9,244.0,162.0,406.0,1.51,127.0,55.0,33.0,20.0,11.0,16.0,9.0,5.0,3.0,24.0,66.7,25.38,16.92,30.0,45.0,39.0,53.0,2.21,3.31,39.6,30.2,188.4,87.7,23.91,73.6,9.0,5.0,5.0,3.0,138.0,269.0,310.0,76.4,6.0,10.0,47.0,5.0,56.2,104.6,Metricon Stadium,14,WLLL,1,3,0
5589,2013.0,5.0,1.0,1.0,148.0,104.0,44.0,1.0,9.0,243.0,143.0,386.0,1.7,115.0,46.0,29.0,19.0,7.0,21.0,17.0,19.0,3.0,43.0,48.8,18.38,8.98,33.0,30.0,26.0,61.0,1.42,2.9,65.6,34.4,188.8,88.5,23.33,58.7,16.0,2.0,1.0,3.0,149.0,234.0,290.0,75.1,15.0,26.0,40.0,14.0,81.0,200.0,137.0,337.0,1.46,99.0,53.0,22.0,8.0,19.0,16.0,10.0,6.0,2.0,24.0,66.7,21.06,14.04,27.0,48.0,37.0,47.0,1.96,2.94,46.8,34.0,187.0,85.0,21.91,35.8,17.0,4.0,0.0,1.0,110.0,221.0,258.0,76.6,7.0,9.0,30.0,9.0,62.5,103.15,Manuka Oval,11,WLLLW,2,3,0
5599,2013.0,6.0,0.0,1.0,54.0,99.0,-45.0,0.0,6.0,191.0,158.0,349.0,1.21,82.0,74.0,37.0,18.0,23.0,7.0,6.0,9.0,3.0,19.0,36.8,49.86,18.37,43.0,60.0,26.0,45.0,2.37,6.43,35.6,15.6,188.2,87.5,23.16,60.0,16.0,1.0,2.0,3.0,139.0,211.0,249.0,71.3,10.0,11.0,46.0,6.0,85.7,215.0,119.0,334.0,1.81,94.0,68.0,47.0,23.0,18.0,15.0,8.0,8.0,1.0,24.0,62.5,22.27,13.92,31.0,38.0,35.0,45.0,1.88,3.0,51.1,33.3,187.3,87.3,25.41,81.0,7.0,7.0,4.0,4.0,137.0,191.0,241.0,72.2,11.0,11.0,40.0,2.0,53.3,119.04,Metricon Stadium,13,WLLLWL,2,4,0
5611,2013.0,7.0,1.0,1.0,114.0,54.0,60.0,1.0,11.0,235.0,175.0,410.0,1.34,106.0,71.0,40.0,28.0,18.0,16.0,10.0,15.0,3.0,34.0,47.1,25.62,12.06,38.0,41.0,29.0,57.0,1.68,3.56,54.4,28.1,187.8,87.5,23.0,61.2,16.0,1.0,2.0,3.0,156.0,256.0,305.0,74.4,15.0,12.0,50.0,19.0,62.5,178.0,131.0,309.0,1.36,73.0,39.0,42.0,19.0,29.0,7.0,5.0,12.0,0.0,19.0,36.8,44.14,16.26,38.0,53.0,36.0,43.0,2.26,6.14,44.2,16.3,186.9,87.8,24.0,57.0,13.0,3.0,5.0,1.0,121.0,185.0,216.0,69.9,7.0,6.0,44.0,10.0,71.4,111.46,MCG,13,WLLLWLW,3,4,0
5616,2013.0,8.0,0.0,0.0,93.0,61.0,32.0,1.0,18.0,214.0,120.0,334.0,1.78,109.0,54.0,18.0,18.0,19.0,13.0,9.0,15.0,0.0,28.0,46.4,25.69,11.93,32.0,39.0,38.0,54.0,1.93,4.15,51.9,24.1,187.6,87.1,22.74,59.0,17.0,1.0,1.0,3.0,127.0,204.0,248.0,74.3,19.0,19.0,28.0,20.0,69.2,206.0,191.0,397.0,1.08,90.0,42.0,42.0,19.0,18.0,8.0,5.0,10.0,3.0,21.0,38.1,49.62,18.9,26.0,36.0,35.0,51.0,2.43,6.38,35.3,15.7,187.5,87.2,25.8,89.5,12.0,2.0,1.0,7.0,138.0,255.0,292.0,73.6,17.0,9.0,42.0,13.0,62.5,118.22,Metricon Stadium,12,WLLLWLWW,4,4,0
5628,2013.0,9.0,1.0,0.0,92.0,118.0,-26.0,0.0,10.0,199.0,175.0,374.0,1.14,80.0,61.0,28.0,15.0,14.0,14.0,9.0,5.0,3.0,22.0,63.6,26.71,17.0,34.0,36.0,51.0,42.0,1.91,3.0,45.2,33.3,187.6,87.3,23.0,61.0,16.0,1.0,2.0,3.0,134.0,230.0,284.0,75.9,8.0,4.0,57.0,18.0,64.3,228.0,220.0,448.0,1.04,100.0,70.0,59.0,14.0,15.0,18.0,13.0,7.0,3.0,28.0,64.3,24.89,16.0,47.0,47.0,24.0,70.0,2.5,3.89,35.7,25.7,187.0,88.3,26.0,106.9,8.0,4.0,1.0,9.0,157.0,296.0,342.0,76.3,13.0,20.0,50.0,10.0,72.2,89.41,MCG,12,WLLLWLWWL,4,5,0
5636,2013.0,10.0,1.0,0.0,71.0,123.0,-52.0,0.0,7.0,196.0,156.0,352.0,1.26,68.0,68.0,40.0,7.0,13.0,10.0,7.0,10.0,1.0,21.0,47.6,35.2,16.76,45.0,45.0,34.0,43.0,2.05,4.3,46.5,23.3,187.2,86.6,22.91,57.5,17.0,0.0,2.0,3.0,147.0,203.0,251.0,71.3,9.0,12.0,55.0,9.0,70.0,214.0,161.0,375.0,1.33,92.0,59.0,31.0,13.0,7.0,18.0,14.0,11.0,4.0,33.0,54.5,20.83,11.36,33.0,33.0,28.0,61.0,1.85,3.39,47.5,29.5,188.6,89.6,25.74,110.3,8.0,2.0,5.0,7.0,152.0,221.0,266.0,70.9,21.0,19.0,47.0,12.0,77.8,102.12,GMHBA Stadium,13,WLLLWLWWLL,4,6,0
5643,2013.0,11.0,0.0,0.0,66.0,51.0,15.0,1.0,12.0,213.0,165.0,378.0,1.29,57.0,101.0,41.0,12.0,17.0,9.0,7.0,9.0,3.0,21.0,42.9,42.0,18.0,55.0,44.0,33.0,66.0,3.14,7.33,27.3,13.6,188.1,87.6,22.91,58.0,17.0,0.0,2.0,3.0,191.0,185.0,237.0,62.7,7.0,6.0,44.0,4.0,77.8,186.0,115.0,301.0,1.62,42.0,106.0,61.0,17.0,12.0,8.0,3.0,2.0,1.0,11.0,72.7,37.62,27.36,40.0,49.0,53.0,42.0,3.82,5.25,23.8,19.0,186.6,86.5,25.24,97.9,6.0,8.0,4.0,4.0,161.0,130.0,172.0,57.1,4.0,4.0,64.0,12.0,37.5,175.47,Metricon Stadium,12,WLLLWLWWLLW,5,6,0
5649,2013.0,12.0,1.0,0.0,72.0,115.0,-43.0,0.0,5.0,190.0,183.0,373.0,1.04,89.0,48.0,28.0,11.0,13.0,11.0,10.0,5.0,1.0,17.0,64.7,33.91,21.94,32.0,42.0,38.0,45.0,2.65,4.09,35.6,24.4,188.1,87.2,22.91,58.1,17.0,0.0,2.0,3.0,121.0,250.0,295.0,79.1,10.0,11.0,52.0,25.0,90.9,252.0,211.0,463.0,1.19,134.0,44.0,27.0,13.0,11.0,17.0,13.0,11.0,2.0,30.0,56.7,27.24,15.43,29.0,35.0,29.0,59.0,1.97,3.47,47.5,28.8,188.9,88.2,24.33,77.8,6.0,11.0,2.0,3.0,145.0,319.0,365.0,78.8,18.0,13.0,46.0,12.0,76.5,168.38,Marvel Stadium,12,WLLLWLWWLLWL,5,7,0
5660,2013.0,14.0,0.0,1.0,83.0,111.0,-28.0,0.0,1.0,185.0,191.0,376.0,0.97,69.0,46.0,20.0,12.0,12.0,11.0,8.0,14.0,3.0,28.0,39.3,34.18,13.43,34.0,35.0,34.0,59.0,2.11,5.36,42.4,18.6,187.3,87.4,22.91,55.2,17.0,1.0,2.0,2.0,140.0,232.0,285.0,75.8,15.0,9.0,51.0,18.0,72.7,244.0,164.0,408.0,1.49,126.0,45.0,44.0,12.0,12.0,16.0,13.0,11.0,4.0,31.0,51.6,25.5,13.16,34.0,37.0,41.0,57.0,1.84,3.56,47.4,28.1,185.8,87.9,24.49,81.9,9.0,5.0,4.0,4.0,141.0,263.0,315.0,77.2,16.0,14.0,48.0,7.0,81.2,172.73,Metricon Stadium,13,WLLLWLWWLLWLL,5,8,0
5670,2013.0,15.0,1.0,0.0,83.0,116.0,-33.0,0.0,2.0,195.0,140.0,335.0,1.39,86.0,44.0,36.0,21.0,14.0,12.0,6.0,10.0,1.0,23.0,52.2,27.92,14.57,35.0,30.0,38.0,45.0,1.96,3.75,48.9,26.7,188.0,87.1,22.66,53.0,16.0,2.0,2.0,2.0,130.0,200.0,247.0,73.7,3.0,6.0,45.0,15.0,50.0,226.0,123.0,349.0,1.84,106.0,69.0,32.0,15.0,21.0,17.0,13.0,12.0,2.0,31.0,54.8,20.53,11.26,39.0,46.0,28.0,60.0,1.94,3.53,48.3,28.3,187.2,88.0,25.8,94.5,8.0,5.0,4.0,5.0,127.0,216.0,263.0,75.4,11.0,14.0,49.0,10.0,76.5,188.51,Gabba,13,WLLLWLWWLLWLLL,5,9,0
5679,2013.0,16.0,1.0,0.0,44.0,53.0,-9.0,0.0,14.0,186.0,162.0,348.0,1.15,76.0,73.0,30.0,13.0,17.0,6.0,6.0,7.0,1.0,14.0,42.9,58.0,24.86,37.0,54.0,33.0,45.0,3.21,7.5,28.9,13.3,187.9,86.8,23.16,64.3,14.0,3.0,2.0,3.0,136.0,208.0,236.0,67.8,10.0,8.0,49.0,9.0,100.0,224.0,138.0,362.0,1.62,87.0,71.0,45.0,17.0,13.0,6.0,4.0,15.0,2.0,23.0,26.1,60.33,15.74,40.0,40.0,35.0,48.0,2.09,8.0,43.8,12.5,186.8,87.9,24.91,95.4,5.0,6.0,8.0,3.0,150.0,211.0,246.0,68.0,8.0,7.0,57.0,6.0,66.7,179.44,Cazalys Stadium,14,WLLLWLWWLLWLLLL,5,10,0
5688,2013.0,17.0,0.0,0.0,85.0,78.0,7.0,1.0,4.0,210.0,157.0,367.0,1.34,91.0,62.0,38.0,8.0,15.0,13.0,8.0,7.0,0.0,20.0,65.0,28.23,18.35,42.0,53.0,45.0,48.0,2.4,3.69,41.7,27.1,187.5,86.3,22.91,59.8,14.0,4.0,1.0,3.0,134.0,230.0,261.0,71.1,7.0,7.0,62.0,9.0,61.5,222.0,169.0,391.0,1.31,93.0,79.0,40.0,15.0,8.0,11.0,7.0,8.0,4.0,23.0,47.8,35.55,17.0,41.0,49.0,34.0,60.0,2.61,5.45,31.7,18.3,187.4,89.8,25.8,91.0,10.0,3.0,2.0,7.0,140.0,248.0,282.0,72.1,7.0,12.0,50.0,17.0,63.6,163.69,Metricon Stadium,14,WLLLWLWWLLWLLLLW,6,10,0
5695,2013.0,18.0,0.0,1.0,77.0,120.0,-43.0,0.0,3.0,181.0,138.0,319.0,1.31,80.0,64.0,25.0,12.0,13.0,11.0,7.0,7.0,4.0,22.0,50.0,29.0,14.5,29.0,46.0,35.0,40.0,1.82,3.64,45.0,27.5,187.4,86.5,22.74,58.9,14.0,4.0,1.0,3.0,126.0,192.0,227.0,71.2,12.0,6.0,64.0,15.0,63.6,236.0,152.0,388.0,1.55,107.0,53.0,50.0,13.0,12.0,16.0,12.0,16.0,8.0,40.0,40.0,24.25,9.7,41.0,39.0,25.0,65.0,1.62,4.06,49.2,24.6,186.5,86.8,25.66,110.9,6.0,5.0,4.0,7.0,145.0,249.0,296.0,76.3,8.0,13.0,45.0,20.0,75.0,146.31,Metricon Stadium,14,WLLLWLWWLLWLLLLWL,6,11,0
5706,2013.0,19.0,1.0,0.0,113.0,130.0,-17.0,0.0,17.0,178.0,153.0,331.0,1.16,72.0,48.0,33.0,14.0,24.0,17.0,12.0,10.0,1.0,28.0,60.7,19.47,11.82,41.0,52.0,21.0,50.0,1.79,2.94,54.0,34.0,188.0,87.2,22.91,62.3,14.0,4.0,2.0,2.0,145.0,193.0,232.0,70.1,10.0,6.0,41.0,28.0,70.6,223.0,122.0,345.0,1.83,108.0,62.0,60.0,26.0,14.0,20.0,16.0,9.0,1.0,30.0,66.7,17.25,11.5,38.0,41.0,29.0,49.0,1.63,2.45,59.2,40.8,188.5,87.5,24.66,85.8,9.0,6.0,4.0,3.0,135.0,207.0,248.0,71.9,10.0,16.0,33.0,18.0,80.0,184.46,Domain Stadium,14,WLLLWLWWLLWLLLLWLL,6,12,0
5716,2013.0,20.0,0.0,0.0,90.0,77.0,13.0,1.0,11.0,191.0,145.0,336.0,1.32,81.0,61.0,34.0,18.0,25.0,13.0,10.0,12.0,0.0,25.0,52.0,25.85,13.44,42.0,49.0,34.0,45.0,1.8,3.46,55.6,28.9,188.1,87.5,23.16,65.9,13.0,4.0,3.0,2.0,117.0,210.0,246.0,73.2,8.0,10.0,54.0,10.0,76.9,209.0,165.0,374.0,1.27,86.0,44.0,56.0,25.0,18.0,10.0,5.0,15.0,2.0,27.0,37.0,37.4,13.85,36.0,43.0,30.0,53.0,1.96,5.3,47.2,18.9,186.6,86.2,23.8,60.4,12.0,5.0,2.0,3.0,142.0,225.0,274.0,73.3,5.0,8.0,39.0,14.0,50.0,183.05,Metricon Stadium,14,WLLLWLWWLLWLLLLWLLW,7,12,0
5723,2013.0,21.0,1.0,0.0,96.0,113.0,-17.0,0.0,13.0,168.0,117.0,285.0,1.44,72.0,75.0,26.0,17.0,19.0,14.0,11.0,12.0,0.0,26.0,53.8,20.36,10.96,36.0,42.0,34.0,45.0,1.73,3.21,57.8,31.1,187.8,86.7,22.49,50.0,15.0,4.0,2.0,1.0,117.0,168.0,208.0,73.0,11.0,17.0,36.0,12.0,78.6,218.0,173.0,391.0,1.26,107.0,54.0,45.0,19.0,17.0,16.0,14.0,14.0,3.0,33.0,48.5,24.44,11.85,37.0,38.0,30.0,60.0,1.82,3.75,50.0,26.7,188.5,87.3,23.74,76.4,11.0,4.0,5.0,2.0,127.0,264.0,293.0,74.9,10.0,19.0,19.0,13.0,87.5,169.85,AAMI Stadium,14,WLLLWLWWLLWLLLLWLLWL,7,13,0
5736,2013.0,22.0,1.0,0.0,70.0,116.0,-46.0,0.0,15.0,182.0,151.0,333.0,1.21,92.0,28.0,24.0,12.0,17.0,10.0,6.0,7.0,3.0,20.0,50.0,33.3,16.65,30.0,51.0,40.0,35.0,1.75,3.5,48.6,28.6,187.3,86.9,23.24,57.6,13.0,5.0,1.0,3.0,107.0,222.0,254.0,76.3,7.0,11.0,38.0,15.0,60.0,249.0,170.0,419.0,1.46,127.0,43.0,45.0,17.0,12.0,17.0,11.0,10.0,4.0,31.0,54.8,24.65,13.52,32.0,39.0,23.0,63.0,2.03,3.71,42.9,27.0,185.8,85.1,26.33,124.0,7.0,4.0,2.0,9.0,127.0,289.0,325.0,77.6,11.0,24.0,27.0,36.0,64.7,148.87,Marvel Stadium,14,WLLLWLWWLLWLLLLWLLWLL,7,14,0
