Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Clangers2,Contested Marks,Marks Inside 50,Clearances2,Rebound 50s2,1%ers,Bounces,Goals Assists2,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Clangers2(O),Contested Marks(O),Marks Inside 50(O),Clearances2(O),Rebound 50s2(O),1%ers(O),Bounces(O),Goals Assists2(O),Goal Assist %(O)
5149,2011.0,1.0,1.0,0.0,80.0,155.0,-75.0,0.0,4.0,192.0,139.0,331.0,1.38,71.0,69.0,35.0,20.0,26.0,12.0,6.0,6.0,2.0,20.0,60.0,27.58,16.55,31.0,71.0,44.0,50.0,2.5,4.17,36.0,24.0,179.4,83.8,24.0,72.8,9.0,6.0,3.0,4.0,141.0,196.0,232.0,70.1,71.0,7.0,10.0,31.0,44.0,59.0,10.0,6.0,50.0,234.0,164.0,398.0,1.43,84.0,83.0,37.0,26.0,20.0,24.0,13.0,8.0,3.0,35.0,68.6,16.58,11.37,49.0,57.0,38.0,70.0,2.0,2.92,45.7,34.3,187.3,91.1,25.0,107.2,7.0,2.0,6.0,7.0,160.0,227.0,289.0,72.6,57.0,15.0,11.0,49.0,38.0,50.0,22.0,13.0,54.2
5157,2011.0,2.0,0.0,1.0,98.0,116.0,-18.0,0.0,17.0,176.0,130.0,306.0,1.35,53.0,89.0,17.0,28.0,25.0,15.0,9.0,8.0,0.0,23.0,65.2,20.4,13.3,40.0,55.0,35.0,52.0,2.26,3.47,44.2,28.8,179.4,83.5,24.24,76.3,10.0,5.0,2.0,5.0,138.0,169.0,210.0,68.6,55.0,8.0,10.0,40.0,35.0,62.0,9.0,9.0,60.0,198.0,169.0,367.0,1.17,80.0,63.0,53.0,25.0,28.0,16.0,8.0,18.0,2.0,36.0,44.4,22.94,10.19,33.0,48.0,32.0,56.0,1.56,3.5,60.7,28.6,189.4,89.8,24.8,83.6,9.0,7.0,1.0,5.0,156.0,210.0,265.0,72.2,48.0,17.0,8.0,33.0,32.0,49.0,7.0,8.0,50.0
5169,2011.0,3.0,1.0,0.0,43.0,122.0,-79.0,0.0,7.0,194.0,162.0,356.0,1.2,85.0,58.0,24.0,23.0,21.0,6.0,4.0,6.0,1.0,13.0,46.2,59.33,27.38,30.0,62.0,53.0,36.0,2.77,6.0,33.3,16.7,179.8,84.3,24.24,74.6,10.0,5.0,3.0,4.0,126.0,218.0,265.0,74.4,62.0,12.0,9.0,30.0,53.0,43.0,9.0,4.0,66.7,233.0,251.0,484.0,0.93,121.0,55.0,25.0,21.0,23.0,17.0,12.0,18.0,2.0,37.0,45.9,28.47,13.08,37.0,48.0,28.0,72.0,1.95,4.24,48.6,23.6,187.5,89.9,26.66,133.1,5.0,5.0,1.0,11.0,156.0,326.0,372.0,76.9,48.0,23.0,20.0,37.0,28.0,45.0,3.0,12.0,70.6
5175,2011.0,4.0,0.0,0.0,98.0,66.0,32.0,1.0,1.0,222.0,152.0,374.0,1.46,99.0,54.0,21.0,31.0,26.0,14.0,11.0,9.0,5.0,28.0,50.0,26.71,13.36,34.0,58.0,32.0,53.0,1.89,3.79,43.4,26.4,187.3,87.7,24.58,79.6,7.0,7.0,5.0,3.0,139.0,228.0,270.0,72.2,58.0,16.0,12.0,34.0,32.0,45.0,3.0,11.0,78.6,201.0,187.0,388.0,1.07,106.0,69.0,29.0,26.0,31.0,9.0,6.0,9.0,3.0,21.0,42.9,43.11,18.48,28.0,63.0,35.0,42.0,2.0,4.67,42.9,21.4,188.9,88.8,23.66,62.8,11.0,6.0,2.0,3.0,119.0,268.0,285.0,73.5,63.0,12.0,10.0,28.0,35.0,53.0,4.0,6.0,66.7
5179,2011.0,5.0,0.0,1.0,101.0,104.0,-3.0,0.0,8.0,209.0,123.0,332.0,1.7,98.0,70.0,23.0,26.0,15.0,15.0,9.0,9.0,2.0,26.0,57.7,22.13,12.77,26.0,46.0,36.0,54.0,2.08,3.6,44.4,27.8,187.0,87.0,24.24,73.0,8.0,7.0,5.0,2.0,124.0,199.0,237.0,71.4,46.0,12.0,18.0,26.0,36.0,34.0,8.0,9.0,60.0,176.0,172.0,348.0,1.02,58.0,53.0,44.0,15.0,26.0,15.0,8.0,12.0,2.0,29.0,51.7,23.2,12.0,45.0,49.0,31.0,52.0,1.79,3.47,51.9,28.8,188.6,85.5,22.41,47.3,15.0,1.0,3.0,3.0,157.0,181.0,227.0,65.2,49.0,12.0,10.0,45.0,31.0,44.0,7.0,8.0,53.3
5187,2011.0,6.0,1.0,0.0,73.0,133.0,-60.0,0.0,12.0,195.0,122.0,317.0,1.6,84.0,38.0,22.0,25.0,19.0,10.0,5.0,12.0,1.0,23.0,43.5,31.7,13.78,35.0,38.0,50.0,40.0,1.74,4.0,55.0,25.0,187.0,87.5,24.58,83.0,8.0,6.0,4.0,4.0,135.0,178.0,229.0,72.2,38.0,16.0,10.0,35.0,50.0,49.0,9.0,5.0,50.0,218.0,179.0,397.0,1.22,107.0,60.0,43.0,20.0,25.0,18.0,11.0,22.0,3.0,43.0,41.9,22.06,9.23,36.0,43.0,26.0,75.0,1.74,4.17,53.3,24.0,186.7,86.0,23.91,77.5,11.0,5.0,1.0,5.0,132.0,273.0,315.0,79.3,43.0,15.0,13.0,36.0,26.0,65.0,16.0,11.0,61.1
5192,2011.0,7.0,0.0,1.0,72.0,104.0,-32.0,0.0,10.0,200.0,139.0,339.0,1.44,97.0,46.0,33.0,27.0,14.0,10.0,4.0,9.0,3.0,22.0,45.5,33.9,15.41,35.0,45.0,30.0,36.0,1.64,3.6,52.8,27.8,187.1,87.5,24.58,78.8,8.0,7.0,4.0,3.0,129.0,204.0,246.0,72.6,45.0,17.0,11.0,35.0,30.0,42.0,7.0,4.0,40.0,230.0,147.0,377.0,1.56,135.0,49.0,32.0,14.0,27.0,15.0,10.0,12.0,2.0,29.0,51.7,25.13,13.0,30.0,49.0,21.0,47.0,1.62,3.13,57.4,31.9,186.1,86.5,25.8,98.9,5.0,6.0,6.0,5.0,111.0,263.0,303.0,80.4,49.0,13.0,17.0,30.0,21.0,56.0,2.0,10.0,66.7
5204,2011.0,8.0,1.0,0.0,59.0,121.0,-62.0,0.0,16.0,199.0,149.0,348.0,1.34,85.0,64.0,44.0,15.0,12.0,9.0,3.0,3.0,2.0,14.0,64.3,38.67,24.86,32.0,42.0,36.0,39.0,2.79,4.33,30.8,23.1,188.0,88.1,24.49,77.2,7.0,8.0,5.0,2.0,147.0,198.0,233.0,67.0,42.0,17.0,9.0,32.0,36.0,60.0,8.0,3.0,33.3,216.0,155.0,371.0,1.39,80.0,67.0,38.0,12.0,15.0,18.0,14.0,9.0,4.0,31.0,58.1,20.61,11.97,43.0,42.0,30.0,61.0,1.97,3.39,44.3,29.5,187.2,86.6,25.0,96.7,11.0,2.0,3.0,6.0,149.0,219.0,270.0,72.8,42.0,13.0,19.0,43.0,30.0,47.0,8.0,14.0,77.8
5210,2011.0,9.0,0.0,1.0,90.0,142.0,-52.0,0.0,6.0,183.0,137.0,320.0,1.34,82.0,59.0,33.0,17.0,21.0,14.0,9.0,6.0,0.0,20.0,70.0,22.86,16.0,39.0,58.0,28.0,43.0,2.15,3.07,46.5,32.6,188.0,87.3,24.0,71.5,8.0,8.0,4.0,2.0,126.0,195.0,208.0,65.0,58.0,6.0,9.0,39.0,28.0,43.0,11.0,9.0,64.3,217.0,198.0,415.0,1.1,114.0,76.0,39.0,21.0,17.0,21.0,15.0,11.0,5.0,37.0,56.8,19.76,11.22,38.0,35.0,27.0,54.0,1.46,2.57,59.3,38.9,188.7,88.0,24.41,78.2,11.0,4.0,3.0,4.0,125.0,289.0,310.0,74.7,35.0,12.0,21.0,38.0,27.0,33.0,16.0,15.0,71.4
5221,2011.0,10.0,1.0,1.0,89.0,74.0,15.0,1.0,14.0,217.0,99.0,316.0,2.19,67.0,89.0,47.0,29.0,16.0,13.0,9.0,9.0,2.0,24.0,54.2,24.31,13.17,42.0,54.0,39.0,57.0,2.38,4.38,38.6,22.8,187.5,86.6,23.8,68.4,9.0,8.0,3.0,2.0,151.0,152.0,208.0,65.8,54.0,5.0,5.0,42.0,39.0,53.0,6.0,9.0,69.2,199.0,163.0,362.0,1.22,67.0,61.0,32.0,16.0,29.0,10.0,4.0,12.0,2.0,24.0,41.7,36.2,15.08,45.0,54.0,41.0,56.0,2.33,5.6,39.3,17.9,187.2,85.8,23.33,64.5,10.0,8.0,3.0,1.0,154.0,203.0,246.0,68.0,54.0,7.0,7.0,45.0,41.0,31.0,3.0,4.0,40.0
5231,2011.0,11.0,0.0,1.0,49.0,111.0,-62.0,0.0,3.0,180.0,148.0,328.0,1.22,73.0,56.0,24.0,21.0,18.0,7.0,5.0,6.0,1.0,14.0,50.0,46.86,23.43,31.0,48.0,36.0,35.0,2.5,5.0,37.1,20.0,187.8,87.2,24.8,73.0,8.0,8.0,4.0,2.0,130.0,201.0,227.0,69.2,48.0,11.0,8.0,31.0,36.0,61.0,17.0,5.0,71.4,256.0,178.0,434.0,1.44,109.0,49.0,39.0,18.0,21.0,16.0,14.0,14.0,1.0,31.0,51.6,27.12,14.0,42.0,42.0,27.0,58.0,1.87,3.62,51.7,27.6,186.2,86.0,24.8,87.9,8.0,4.0,7.0,3.0,169.0,272.0,314.0,72.4,42.0,15.0,18.0,42.0,27.0,50.0,22.0,14.0,87.5
5247,2011.0,13.0,1.0,0.0,88.0,110.0,-22.0,0.0,17.0,216.0,131.0,347.0,1.65,90.0,82.0,27.0,20.0,15.0,13.0,8.0,9.0,1.0,23.0,56.5,26.69,15.09,38.0,39.0,29.0,40.0,1.74,3.08,55.0,32.5,188.5,87.6,24.33,77.4,8.0,7.0,4.0,3.0,143.0,202.0,249.0,71.8,39.0,9.0,11.0,38.0,29.0,69.0,5.0,8.0,61.5,215.0,164.0,379.0,1.31,79.0,65.0,51.0,15.0,20.0,15.0,8.0,15.0,5.0,35.0,42.9,25.27,10.83,39.0,39.0,22.0,57.0,1.63,3.8,52.6,26.3,189.1,90.0,24.58,94.3,7.0,8.0,2.0,5.0,155.0,220.0,272.0,71.8,39.0,8.0,11.0,39.0,22.0,52.0,6.0,8.0,53.3
5255,2011.0,14.0,0.0,1.0,91.0,136.0,-45.0,0.0,12.0,206.0,146.0,352.0,1.41,106.0,68.0,31.0,27.0,20.0,14.0,10.0,5.0,2.0,21.0,66.7,25.14,16.76,31.0,45.0,36.0,52.0,2.48,3.71,36.5,26.9,187.6,87.1,23.49,68.0,10.0,7.0,2.0,3.0,119.0,234.0,273.0,77.6,45.0,10.0,14.0,31.0,36.0,44.0,14.0,10.0,71.4,211.0,141.0,352.0,1.5,74.0,58.0,56.0,20.0,26.0,21.0,18.0,9.0,1.0,31.0,67.7,16.76,11.35,49.0,42.0,35.0,58.0,1.87,2.76,51.7,36.2,186.9,86.5,24.16,76.5,13.0,4.0,0.0,5.0,158.0,193.0,251.0,71.3,42.0,22.0,17.0,49.0,35.0,55.0,2.0,18.0,85.7
5261,2011.0,15.0,1.0,0.0,88.0,99.0,-11.0,0.0,2.0,197.0,149.0,346.0,1.32,95.0,65.0,32.0,15.0,17.0,13.0,8.0,8.0,2.0,23.0,56.5,26.62,15.04,40.0,36.0,27.0,41.0,1.78,3.15,51.2,31.7,187.3,87.4,23.91,71.6,10.0,6.0,3.0,3.0,135.0,214.0,247.0,71.4,36.0,9.0,14.0,40.0,27.0,45.0,10.0,8.0,61.5,192.0,171.0,363.0,1.12,93.0,70.0,51.0,17.0,15.0,15.0,10.0,9.0,0.0,24.0,62.5,24.2,15.12,42.0,35.0,25.0,48.0,2.0,3.2,50.0,31.2,187.5,85.8,24.0,79.4,11.0,4.0,3.0,4.0,130.0,236.0,268.0,73.8,35.0,7.0,14.0,42.0,25.0,51.0,6.0,10.0,66.7
5269,2011.0,16.0,0.0,1.0,53.0,109.0,-56.0,0.0,15.0,195.0,146.0,341.0,1.34,98.0,54.0,39.0,30.0,18.0,8.0,6.0,4.0,1.0,13.0,61.5,42.62,26.23,38.0,46.0,36.0,32.0,2.46,4.0,37.5,25.0,186.5,86.9,24.8,80.2,10.0,5.0,3.0,4.0,129.0,214.0,244.0,71.6,46.0,12.0,6.0,38.0,36.0,41.0,10.0,6.0,75.0,201.0,172.0,373.0,1.17,90.0,73.0,47.0,18.0,30.0,17.0,13.0,7.0,0.0,24.0,70.8,21.94,15.54,46.0,57.0,24.0,56.0,2.33,3.29,42.9,30.4,186.9,86.9,25.91,110.0,5.0,5.0,5.0,7.0,129.0,250.0,283.0,75.9,57.0,12.0,15.0,46.0,24.0,47.0,11.0,13.0,76.5
5275,2011.0,17.0,1.0,0.0,92.0,113.0,-21.0,0.0,11.0,222.0,151.0,373.0,1.47,85.0,62.0,27.0,16.0,13.0,14.0,10.0,8.0,0.0,22.0,63.6,26.64,16.95,44.0,40.0,37.0,47.0,2.14,3.36,46.8,29.8,186.0,86.6,24.49,88.6,8.0,5.0,5.0,4.0,157.0,208.0,254.0,68.1,40.0,10.0,10.0,44.0,37.0,51.0,7.0,10.0,71.4,198.0,154.0,352.0,1.29,66.0,74.0,53.0,13.0,15.0,17.0,13.0,10.0,1.0,28.0,60.7,20.71,12.57,36.0,44.0,29.0,56.0,2.0,3.29,48.2,30.4,187.4,85.4,23.0,58.9,13.0,3.0,5.0,1.0,144.0,204.0,256.0,72.7,44.0,6.0,14.0,36.0,29.0,73.0,17.0,13.0,76.5
