,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Clangers2,Contested Marks,Marks Inside 50,Clearances2,Rebound 50s2,1%ers,Bounces,Goals Assists2,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Clangers2(O),Contested Marks(O),Marks Inside 50(O),Clearances2(O),Rebound 50s2(O),1%ers(O),Bounces(O),Goals Assists2(O),Goal Assist %(O)
5148,2011.0,1.0,1.0,0.0,47.0,48.0,-1.0,0.0,7.0,216.0,118.0,334.0,1.83,92.0,78.0,29.0,25.0,28.0,6.0,3.0,9.0,2.0,17.0,35.3,55.67,19.65,31.0,54.0,45.0,52.0,3.06,8.67,28.8,11.5,186.8,86.9,26.66,120.6,3.0,8.0,4.0,7.0,130.0,200.0,246.0,73.7,54.0,11.0,4.0,31.0,45.0,61.0,6.0,3.0,50.0,219.0,209.0,428.0,1.05,103.0,49.0,36.0,28.0,25.0,6.0,2.0,6.0,6.0,18.0,33.3,71.33,23.78,33.0,60.0,40.0,54.0,3.0,9.0,22.2,11.1,188.3,89.2,26.41,127.6,4.0,6.0,2.0,10.0,158.0,274.0,310.0,72.4,60.0,13.0,7.0,33.0,40.0,55.0,7.0,2.0,33.3
5155,2011.0,2.0,0.0,0.5,95.0,95.0,0.0,0.5,14.0,200.0,119.0,319.0,1.68,77.0,72.0,41.0,26.0,26.0,13.0,6.0,16.0,1.0,30.0,43.3,24.54,10.63,44.0,50.0,36.0,51.0,1.7,3.92,56.9,25.5,187.5,88.0,26.49,117.7,4.0,6.0,4.0,8.0,143.0,176.0,216.0,67.7,50.0,10.0,17.0,44.0,36.0,52.0,13.0,6.0,46.2,172.0,141.0,313.0,1.22,52.0,74.0,42.0,26.0,26.0,14.0,6.0,9.0,2.0,25.0,56.0,22.36,12.52,40.0,50.0,33.0,51.0,2.04,3.64,45.1,27.5,186.7,84.4,22.8,53.4,12.0,8.0,1.0,1.0,137.0,175.0,234.0,74.8,50.0,9.0,9.0,40.0,33.0,51.0,4.0,6.0,42.9
5170,2011.0,3.0,0.0,1.0,84.0,136.0,-52.0,0.0,5.0,192.0,189.0,381.0,1.02,89.0,58.0,28.0,19.0,19.0,12.0,6.0,10.0,2.0,24.0,50.0,31.75,15.88,32.0,56.0,38.0,48.0,2.0,4.0,45.8,25.0,187.1,87.1,25.41,98.5,6.0,6.0,4.0,6.0,131.0,252.0,284.0,74.5,56.0,13.0,10.0,32.0,38.0,62.0,22.0,6.0,50.0,224.0,119.0,343.0,1.88,87.0,66.0,56.0,19.0,19.0,21.0,13.0,8.0,2.0,31.0,67.7,16.33,11.06,44.0,38.0,32.0,62.0,2.0,2.95,46.8,33.9,187.0,85.4,24.16,75.0,11.0,5.0,4.0,2.0,151.0,185.0,252.0,73.5,38.0,15.0,12.0,44.0,32.0,41.0,9.0,13.0,61.9
5178,2011.0,5.0,1.0,1.0,89.0,76.0,13.0,1.0,2.0,214.0,156.0,370.0,1.37,79.0,75.0,28.0,17.0,21.0,13.0,8.0,10.0,1.0,24.0,54.2,28.46,15.42,41.0,51.0,40.0,50.0,2.08,3.85,46.0,26.0,187.0,86.9,25.8,110.8,5.0,5.0,4.0,8.0,158.0,215.0,265.0,71.6,51.0,8.0,4.0,41.0,40.0,80.0,10.0,8.0,61.5,196.0,163.0,359.0,1.2,63.0,87.0,53.0,21.0,17.0,11.0,3.0,10.0,0.0,21.0,52.4,32.64,17.1,45.0,44.0,31.0,54.0,2.57,4.91,38.9,20.4,188.4,86.5,23.66,69.1,12.0,4.0,3.0,3.0,163.0,195.0,234.0,65.2,44.0,12.0,8.0,45.0,31.0,53.0,5.0,3.0,27.3
5189,2011.0,6.0,1.0,0.0,71.0,90.0,-19.0,0.0,1.0,186.0,141.0,327.0,1.32,73.0,60.0,35.0,31.0,27.0,9.0,5.0,13.0,4.0,26.0,34.6,36.33,12.58,39.0,59.0,30.0,44.0,1.69,4.89,50.0,20.5,186.0,86.1,25.66,106.6,6.0,5.0,3.0,8.0,131.0,194.0,223.0,68.2,59.0,6.0,11.0,39.0,30.0,63.0,1.0,5.0,55.6,217.0,121.0,338.0,1.79,102.0,61.0,53.0,27.0,31.0,13.0,9.0,9.0,3.0,25.0,52.0,26.0,13.52,43.0,48.0,26.0,46.0,1.84,3.54,47.8,28.3,188.4,88.3,23.91,71.2,11.0,4.0,3.0,4.0,136.0,204.0,245.0,72.5,48.0,11.0,10.0,43.0,26.0,58.0,7.0,9.0,69.2
5199,2011.0,7.0,0.0,1.0,81.0,84.0,-3.0,0.0,3.0,193.0,137.0,330.0,1.41,93.0,86.0,36.0,16.0,14.0,12.0,9.0,7.0,2.0,21.0,57.1,27.5,15.71,24.0,39.0,35.0,52.0,2.48,4.33,36.5,23.1,186.2,85.8,25.91,115.2,5.0,5.0,2.0,10.0,130.0,203.0,242.0,73.3,39.0,23.0,13.0,24.0,35.0,51.0,10.0,9.0,75.0,231.0,159.0,390.0,1.45,102.0,75.0,51.0,14.0,15.0,11.0,9.0,13.0,5.0,29.0,37.9,35.45,13.45,45.0,44.0,38.0,54.0,1.86,4.91,44.4,20.4,186.1,85.4,24.8,87.3,9.0,3.0,7.0,3.0,154.0,232.0,268.0,68.7,44.0,18.0,18.0,45.0,38.0,55.0,18.0,9.0,81.8
5205,2011.0,8.0,1.0,0.0,69.0,99.0,-30.0,0.0,10.0,165.0,143.0,308.0,1.15,70.0,56.0,37.0,23.0,23.0,10.0,8.0,5.0,4.0,19.0,52.6,30.8,16.21,30.0,43.0,38.0,31.0,1.63,3.1,48.4,32.3,186.8,86.3,25.58,108.6,5.0,6.0,3.0,8.0,122.0,190.0,232.0,75.3,43.0,14.0,7.0,30.0,38.0,46.0,13.0,8.0,80.0,273.0,147.0,420.0,1.86,157.0,78.0,44.0,23.0,23.0,14.0,10.0,11.0,4.0,29.0,48.3,30.0,14.48,42.0,52.0,19.0,59.0,2.03,4.21,42.4,23.7,185.8,86.2,25.16,97.4,7.0,3.0,7.0,5.0,139.0,283.0,329.0,78.3,52.0,13.0,15.0,42.0,19.0,60.0,4.0,10.0,71.4
5209,2011.0,9.0,0.0,0.0,106.0,86.0,20.0,1.0,11.0,195.0,210.0,405.0,0.93,85.0,58.0,40.0,20.0,25.0,16.0,13.0,9.0,1.0,26.0,61.5,25.31,15.58,30.0,42.0,39.0,58.0,2.23,3.62,43.1,27.6,186.7,85.9,25.66,109.3,5.0,5.0,3.0,9.0,136.0,275.0,319.0,78.8,42.0,12.0,12.0,30.0,39.0,53.0,10.0,13.0,81.2,219.0,193.0,412.0,1.13,108.0,68.0,42.0,25.0,20.0,13.0,7.0,5.0,3.0,21.0,61.9,31.69,19.62,40.0,48.0,41.0,52.0,2.48,4.0,34.6,25.0,186.4,85.3,23.66,65.7,11.0,5.0,5.0,1.0,142.0,279.0,315.0,76.5,48.0,9.0,14.0,40.0,41.0,48.0,12.0,7.0,53.8
5219,2011.0,10.0,1.0,1.0,102.0,56.0,46.0,1.0,6.0,188.0,169.0,357.0,1.11,76.0,77.0,52.0,9.0,19.0,15.0,9.0,11.0,1.0,27.0,55.6,23.8,13.22,39.0,45.0,30.0,46.0,1.7,3.07,56.5,32.6,187.3,86.7,25.41,104.3,6.0,5.0,3.0,8.0,149.0,212.0,256.0,71.7,45.0,10.0,9.0,39.0,30.0,32.0,24.0,9.0,60.0,185.0,144.0,329.0,1.28,78.0,89.0,52.0,19.0,9.0,7.0,4.0,14.0,0.0,21.0,33.3,47.0,15.67,42.0,36.0,27.0,45.0,2.14,6.43,46.7,15.6,188.3,86.5,24.41,74.1,12.0,4.0,3.0,3.0,134.0,195.0,223.0,67.8,36.0,8.0,12.0,42.0,27.0,36.0,13.0,4.0,57.1
5228,2011.0,11.0,1.0,0.0,51.0,108.0,-57.0,0.0,4.0,203.0,155.0,358.0,1.31,96.0,69.0,41.0,18.0,23.0,7.0,4.0,6.0,3.0,16.0,43.8,51.14,22.38,29.0,56.0,43.0,38.0,2.38,5.43,34.2,18.4,186.3,86.0,25.41,105.4,6.0,5.0,3.0,8.0,135.0,217.0,253.0,70.7,56.0,12.0,5.0,29.0,43.0,44.0,19.0,4.0,57.1,227.0,128.0,355.0,1.77,97.0,97.0,50.0,23.0,18.0,16.0,9.0,10.0,2.0,28.0,57.1,22.19,12.68,43.0,48.0,28.0,60.0,2.14,3.75,43.3,26.7,188.3,90.8,25.16,114.7,4.0,5.0,7.0,6.0,152.0,202.0,260.0,73.2,48.0,17.0,13.0,43.0,28.0,46.0,14.0,9.0,56.2
