,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Clangers2,Contested Marks,Marks Inside 50,Clearances2,Rebound 50s2,1%ers,Bounces,Goals Assists2,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Clangers2(O),Contested Marks(O),Marks Inside 50(O),Clearances2(O),Rebound 50s2(O),1%ers(O),Bounces(O),Goals Assists2(O),Goal Assist %(O)
5154,2011.0,1.0,0.0,0.0,92.0,88.0,4.0,1.0,12.0,197.0,172.0,369.0,1.15,80.0,53.0,50.0,18.0,30.0,13.0,5.0,11.0,3.0,27.0,48.1,28.38,13.67,39.0,60.0,31.0,55.0,2.04,4.23,43.6,23.6,188.3,88.5,24.8,78.4,9.0,8.0,1.0,4.0,149.0,228.0,266.0,72.1,60.0,11.0,5.0,39.0,31.0,52.0,7.0,5.0,38.5,216.0,137.0,353.0,1.58,108.0,47.0,18.0,30.0,18.0,13.0,10.0,9.0,1.0,23.0,56.5,27.15,15.35,31.0,40.0,38.0,48.0,2.09,3.69,45.8,27.1,185.7,85.2,23.91,64.4,12.0,6.0,0.0,4.0,129.0,230.0,263.0,74.5,40.0,9.0,10.0,31.0,38.0,49.0,3.0,10.0,76.9
5157,2011.0,2.0,1.0,1.0,116.0,98.0,18.0,1.0,13.0,198.0,169.0,367.0,1.17,80.0,63.0,53.0,25.0,28.0,16.0,8.0,18.0,2.0,36.0,44.4,22.94,10.19,33.0,48.0,32.0,56.0,1.56,3.5,60.7,28.6,189.4,89.8,24.8,83.6,9.0,7.0,1.0,5.0,156.0,210.0,265.0,72.2,48.0,17.0,8.0,33.0,32.0,49.0,7.0,8.0,50.0,176.0,130.0,306.0,1.35,53.0,89.0,17.0,28.0,25.0,15.0,9.0,8.0,0.0,23.0,65.2,20.4,13.3,40.0,55.0,35.0,52.0,2.26,3.47,44.2,28.8,179.4,83.5,24.24,76.3,10.0,5.0,2.0,5.0,138.0,169.0,210.0,68.6,55.0,8.0,10.0,40.0,35.0,62.0,9.0,9.0,60.0
5167,2011.0,3.0,0.0,1.0,88.0,101.0,-13.0,0.0,16.0,175.0,149.0,324.0,1.17,73.0,69.0,68.0,22.0,20.0,13.0,6.0,8.0,2.0,23.0,56.5,24.92,14.09,34.0,44.0,19.0,43.0,1.87,3.31,48.8,30.2,189.8,90.7,24.24,85.0,9.0,7.0,1.0,5.0,145.0,171.0,209.0,64.5,44.0,10.0,8.0,34.0,19.0,38.0,10.0,6.0,46.2,194.0,118.0,312.0,1.64,64.0,111.0,38.0,20.0,22.0,15.0,7.0,11.0,0.0,26.0,57.7,20.8,12.0,49.0,40.0,30.0,38.0,1.46,2.53,68.4,39.5,186.9,86.9,24.74,90.6,11.0,3.0,3.0,5.0,143.0,160.0,215.0,68.9,40.0,11.0,9.0,49.0,30.0,46.0,13.0,7.0,46.7
5172,2011.0,4.0,1.0,0.0,65.0,72.0,-7.0,0.0,10.0,201.0,157.0,358.0,1.28,88.0,76.0,49.0,15.0,13.0,9.0,7.0,7.0,4.0,20.0,45.0,39.78,17.9,34.0,32.0,31.0,46.0,2.3,5.11,34.8,19.6,189.9,90.7,24.33,85.9,9.0,7.0,1.0,5.0,153.0,198.0,261.0,72.9,32.0,18.0,13.0,34.0,31.0,51.0,6.0,7.0,77.8,197.0,162.0,359.0,1.22,94.0,84.0,28.0,13.0,15.0,10.0,8.0,12.0,0.0,22.0,45.5,35.9,16.32,34.0,46.0,34.0,49.0,2.23,4.9,44.9,20.4,187.1,87.8,25.49,112.4,4.0,5.0,7.0,6.0,136.0,218.0,262.0,73.0,46.0,17.0,12.0,34.0,34.0,67.0,6.0,8.0,80.0
5185,2011.0,6.0,0.0,0.0,106.0,52.0,54.0,1.0,11.0,236.0,153.0,389.0,1.54,122.0,68.0,35.0,18.0,12.0,15.0,13.0,11.0,5.0,31.0,48.4,25.93,12.55,35.0,29.0,23.0,65.0,2.1,4.33,40.0,23.1,188.8,89.7,24.33,87.3,8.0,8.0,1.0,5.0,140.0,240.0,296.0,76.1,29.0,22.0,14.0,35.0,23.0,51.0,6.0,13.0,86.7,181.0,168.0,349.0,1.08,92.0,57.0,34.0,12.0,18.0,6.0,4.0,14.0,2.0,22.0,27.3,58.17,15.86,29.0,48.0,47.0,36.0,1.64,6.0,55.6,16.7,186.8,85.9,23.49,65.9,11.0,5.0,5.0,1.0,125.0,227.0,259.0,74.2,48.0,10.0,6.0,29.0,47.0,45.0,10.0,4.0,66.7
5197,2011.0,7.0,1.0,0.0,90.0,106.0,-16.0,0.0,5.0,187.0,128.0,315.0,1.46,71.0,64.0,61.0,35.0,20.0,12.0,5.0,13.0,5.0,30.0,40.0,26.25,10.5,38.0,40.0,26.0,58.0,1.93,4.83,43.1,20.7,189.0,89.5,24.24,87.3,8.0,8.0,1.0,5.0,161.0,146.0,214.0,67.9,40.0,22.0,12.0,38.0,26.0,59.0,8.0,5.0,41.7,206.0,149.0,355.0,1.38,90.0,71.0,24.0,20.0,35.0,16.0,10.0,9.0,1.0,26.0,61.5,22.19,13.65,36.0,58.0,40.0,47.0,1.81,2.94,53.2,34.0,188.0,87.2,24.33,82.7,11.0,3.0,5.0,3.0,150.0,208.0,249.0,70.1,58.0,16.0,18.0,36.0,40.0,72.0,9.0,10.0,62.5
5207,2011.0,8.0,0.0,0.0,96.0,63.0,33.0,1.0,6.0,213.0,122.0,335.0,1.75,99.0,82.0,39.0,27.0,14.0,14.0,8.0,11.0,1.0,26.0,53.8,23.93,12.88,41.0,32.0,20.0,51.0,1.96,3.64,49.0,27.5,188.7,88.8,23.66,74.0,9.0,9.0,1.0,3.0,161.0,180.0,227.0,67.8,32.0,14.0,10.0,41.0,20.0,39.0,11.0,8.0,57.1,162.0,146.0,308.0,1.11,76.0,105.0,48.0,14.0,27.0,9.0,4.0,6.0,3.0,18.0,50.0,34.22,17.11,35.0,47.0,32.0,30.0,1.67,3.33,50.0,30.0,190.0,88.9,24.49,85.3,10.0,4.0,3.0,5.0,140.0,168.0,208.0,67.5,47.0,17.0,7.0,35.0,32.0,50.0,6.0,4.0,44.4
5215,2011.0,9.0,0.0,0.0,175.0,52.0,123.0,1.0,18.0,218.0,226.0,444.0,0.96,92.0,81.0,50.0,24.0,17.0,26.0,20.0,18.0,1.0,45.0,57.8,17.08,9.87,48.0,43.0,22.0,65.0,1.44,2.5,67.7,40.0,188.7,89.5,24.49,91.5,7.0,9.0,1.0,5.0,186.0,261.0,324.0,73.0,43.0,20.0,27.0,48.0,22.0,41.0,8.0,20.0,76.9,146.0,177.0,323.0,0.82,57.0,74.0,32.0,17.0,24.0,8.0,7.0,3.0,1.0,12.0,66.7,40.38,26.92,37.0,58.0,34.0,31.0,2.58,3.88,35.5,25.8,187.8,87.8,25.49,95.0,8.0,3.0,5.0,6.0,128.0,194.0,210.0,65.0,58.0,10.0,5.0,37.0,34.0,48.0,12.0,7.0,87.5
5218,2011.0,10.0,1.0,0.0,53.0,105.0,-52.0,0.0,4.0,194.0,159.0,353.0,1.22,77.0,61.0,55.0,19.0,18.0,7.0,6.0,7.0,4.0,18.0,38.9,50.43,19.61,38.0,46.0,33.0,50.0,2.78,7.14,28.0,14.0,188.6,89.3,24.33,90.0,8.0,8.0,1.0,5.0,143.0,201.0,247.0,70.0,46.0,11.0,8.0,38.0,33.0,58.0,7.0,6.0,85.7,229.0,165.0,394.0,1.39,90.0,71.0,23.0,18.0,19.0,16.0,8.0,7.0,2.0,25.0,64.0,24.62,15.76,38.0,48.0,39.0,52.0,2.08,3.25,44.2,30.8,187.3,90.0,24.8,102.8,6.0,4.0,7.0,5.0,158.0,234.0,287.0,72.8,48.0,14.0,11.0,38.0,39.0,56.0,20.0,8.0,50.0
5226,2011.0,11.0,0.0,0.0,85.0,67.0,18.0,1.0,8.0,235.0,145.0,380.0,1.62,126.0,86.0,53.0,20.0,20.0,13.0,5.0,7.0,0.0,20.0,65.0,29.23,19.0,40.0,49.0,35.0,45.0,2.25,3.46,44.4,28.9,188.9,89.2,24.8,81.6,10.0,6.0,2.0,4.0,142.0,233.0,274.0,72.1,49.0,15.0,10.0,40.0,35.0,53.0,12.0,5.0,38.5,183.0,156.0,339.0,1.17,74.0,73.0,23.0,20.0,20.0,10.0,5.0,6.0,1.0,17.0,58.8,33.9,19.94,39.0,40.0,31.0,47.0,2.76,4.7,34.0,21.3,187.8,85.1,22.66,59.5,14.0,1.0,3.0,4.0,150.0,191.0,246.0,72.6,40.0,12.0,6.0,39.0,31.0,61.0,16.0,5.0,50.0
