Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O),Venue,position,form,thisSeasonRecord.winLossRecord.wins,thisSeasonRecord.winLossRecord.losses,thisSeasonRecord.winLossRecord.draws
5553,2013.0,1.0,0.0,0.0,127.0,59.0,68.0,1.0,2.0,245.0,135.0,380.0,1.81,116.0,71.0,39.0,25.0,26.0,19.0,13.0,9.0,4.0,32.0,59.4,20.0,11.88,42.0,43.0,35.0,55.0,1.72,2.89,50.9,34.5,187.4,87.2,24.91,80.6,13.0,1.0,2.0,6.0,146.0,239.0,290.0,76.3,11.0,13.0,58.0,6.0,68.4,168.0,136.0,304.0,1.24,54.0,73.0,34.0,26.0,25.0,7.0,5.0,14.0,3.0,24.0,29.2,43.43,12.67,34.0,50.0,33.0,47.0,1.96,6.71,44.7,14.9,187.1,88.0,24.58,77.5,9.0,6.0,5.0,2.0,136.0,165.0,203.0,66.8,7.0,11.0,50.0,10.0,71.4,Marvel Stadium,2.0,W,1.0,0.0,0.0
5561,2013.0,2.0,0.0,1.0,78.0,106.0,-28.0,0.0,6.0,204.0,146.0,350.0,1.4,80.0,61.0,53.0,27.0,19.0,11.0,8.0,11.0,1.0,23.0,47.8,31.82,15.22,41.0,44.0,29.0,47.0,2.04,4.27,46.8,23.4,187.4,87.2,24.91,81.6,13.0,1.0,2.0,6.0,147.0,203.0,239.0,68.3,6.0,9.0,51.0,7.0,72.7,209.0,112.0,321.0,1.87,112.0,63.0,29.0,19.0,27.0,16.0,13.0,9.0,1.0,26.0,61.5,20.06,12.35,29.0,50.0,34.0,48.0,1.85,3.0,52.1,33.3,187.7,87.7,25.58,93.1,6.0,8.0,3.0,5.0,131.0,190.0,235.0,73.2,12.0,13.0,36.0,10.0,81.2,Marvel Stadium,8.0,WL,1.0,1.0,0.0
5574,2013.0,3.0,1.0,0.0,68.0,135.0,-67.0,0.0,14.0,162.0,130.0,292.0,1.25,55.0,45.0,38.0,34.0,29.0,10.0,7.0,4.0,4.0,18.0,55.6,29.2,16.22,30.0,48.0,37.0,39.0,2.17,3.9,35.9,25.6,187.6,87.7,25.8,83.9,13.0,1.0,2.0,6.0,120.0,170.0,210.0,71.9,5.0,7.0,50.0,2.0,70.0,241.0,159.0,400.0,1.52,127.0,50.0,25.0,29.0,34.0,20.0,16.0,13.0,2.0,35.0,57.1,20.0,11.43,38.0,52.0,28.0,62.0,1.77,3.1,53.2,32.3,188.1,88.4,25.8,92.8,4.0,10.0,5.0,3.0,136.0,274.0,311.0,77.8,12.0,22.0,51.0,15.0,80.0,Marvel Stadium,12.0,WLL,1.0,2.0,0.0
5584,2013.0,4.0,1.0,0.0,28.0,80.0,-52.0,0.0,1.0,204.0,149.0,353.0,1.37,49.0,93.0,56.0,15.0,19.0,4.0,4.0,3.0,1.0,8.0,50.0,88.25,44.12,52.0,59.0,36.0,40.0,5.0,10.0,17.5,10.0,187.5,87.3,24.49,76.0,14.0,1.0,1.0,6.0,185.0,155.0,193.0,54.7,11.0,3.0,47.0,0.0,100.0,225.0,158.0,383.0,1.42,69.0,99.0,50.0,19.0,15.0,12.0,8.0,3.0,5.0,20.0,60.0,31.92,19.15,46.0,45.0,36.0,52.0,2.6,4.33,28.8,23.1,185.7,88.0,24.8,69.9,10.0,7.0,2.0,3.0,183.0,185.0,232.0,60.6,12.0,8.0,42.0,2.0,66.7,AAMI Stadium,15.0,WLLL,1.0,3.0,0.0
5592,2013.0,5.0,0.0,1.0,86.0,107.0,-21.0,0.0,7.0,211.0,151.0,362.0,1.4,99.0,40.0,42.0,13.0,14.0,13.0,5.0,8.0,0.0,21.0,61.9,27.85,17.24,36.0,45.0,49.0,46.0,2.19,3.54,45.7,28.3,186.9,87.0,23.91,61.0,16.0,1.0,1.0,4.0,149.0,214.0,257.0,71.0,20.0,10.0,40.0,10.0,38.5,211.0,179.0,390.0,1.18,102.0,49.0,25.0,14.0,13.0,15.0,11.0,11.0,6.0,32.0,46.9,26.0,12.19,30.0,43.0,29.0,68.0,2.12,4.53,38.2,22.1,188.0,87.6,25.8,106.5,9.0,2.0,4.0,7.0,134.0,253.0,295.0,75.6,18.0,17.0,28.0,9.0,73.3,Marvel Stadium,16.0,WLLLL,1.0,4.0,0.0
5603,2013.0,6.0,1.0,0.0,67.0,137.0,-70.0,0.0,17.0,176.0,142.0,318.0,1.24,54.0,65.0,40.0,11.0,24.0,10.0,6.0,5.0,2.0,17.0,58.8,31.8,18.71,49.0,47.0,26.0,53.0,3.12,5.3,28.3,18.9,187.1,86.7,23.66,65.0,15.0,2.0,1.0,4.0,158.0,158.0,209.0,65.7,14.0,3.0,45.0,6.0,60.0,236.0,134.0,370.0,1.76,114.0,80.0,57.0,24.0,11.0,21.0,16.0,10.0,1.0,32.0,65.6,17.62,11.56,40.0,35.0,39.0,52.0,1.62,2.48,59.6,40.4,189.1,89.3,25.16,95.8,5.0,10.0,4.0,3.0,144.0,224.0,268.0,72.4,18.0,18.0,49.0,19.0,76.2,Domain Stadium,16.0,WLLLLL,1.0,5.0,0.0
5607,2013.0,7.0,0.0,1.0,97.0,151.0,-54.0,0.0,12.0,159.0,128.0,287.0,1.24,59.0,80.0,41.0,26.0,20.0,15.0,10.0,5.0,2.0,22.0,68.2,19.13,13.05,39.0,47.0,27.0,45.0,2.05,3.0,44.4,33.3,187.0,87.0,25.24,94.1,12.0,2.0,1.0,7.0,135.0,152.0,209.0,72.8,18.0,8.0,40.0,7.0,66.7,215.0,134.0,349.0,1.6,93.0,71.0,37.0,21.0,26.0,22.0,11.0,15.0,4.0,41.0,53.7,15.86,8.51,36.0,50.0,28.0,59.0,1.44,2.68,62.7,37.3,186.9,87.0,25.0,94.0,7.0,7.0,4.0,4.0,155.0,193.0,267.0,76.5,19.0,19.0,40.0,12.0,50.0,Marvel Stadium,16.0,WLLLLLL,1.0,6.0,0.0
5616,2013.0,8.0,1.0,0.0,61.0,93.0,-32.0,0.0,8.0,206.0,191.0,397.0,1.08,90.0,42.0,42.0,19.0,18.0,8.0,5.0,10.0,3.0,21.0,38.1,49.62,18.9,26.0,36.0,35.0,51.0,2.43,6.38,35.3,15.7,187.5,87.2,25.8,89.5,12.0,2.0,1.0,7.0,138.0,255.0,292.0,73.6,17.0,9.0,42.0,13.0,62.5,214.0,120.0,334.0,1.78,109.0,54.0,18.0,18.0,19.0,13.0,9.0,15.0,0.0,28.0,46.4,25.69,11.93,32.0,39.0,38.0,54.0,1.93,4.15,51.9,24.1,187.6,87.1,22.74,59.0,17.0,1.0,1.0,3.0,127.0,204.0,248.0,74.3,19.0,19.0,28.0,20.0,69.2,Metricon Stadium,16.0,WLLLLLLL,1.0,7.0,0.0
5625,2013.0,9.0,1.0,1.0,110.0,101.0,9.0,1.0,15.0,197.0,171.0,368.0,1.15,77.0,69.0,49.0,24.0,27.0,17.0,11.0,6.0,2.0,25.0,68.0,21.65,14.72,43.0,49.0,21.0,53.0,2.12,3.12,43.4,32.1,187.1,87.0,24.49,78.3,12.0,4.0,1.0,5.0,138.0,230.0,272.0,73.9,4.0,11.0,38.0,25.0,64.7,184.0,133.0,317.0,1.38,90.0,72.0,36.0,27.0,24.0,15.0,11.0,9.0,2.0,26.0,57.7,21.13,12.19,26.0,47.0,35.0,39.0,1.5,2.6,61.5,38.5,187.9,87.5,25.91,107.7,9.0,3.0,3.0,7.0,113.0,208.0,238.0,75.1,11.0,15.0,39.0,13.0,73.3,Marvel Stadium,16.0,WLLLLLLLW,2.0,7.0,0.0
5635,2013.0,10.0,0.0,0.0,67.0,58.0,9.0,1.0,13.0,206.0,176.0,382.0,1.17,53.0,90.0,62.0,19.0,17.0,10.0,7.0,5.0,2.0,17.0,58.8,38.2,22.47,51.0,45.0,38.0,44.0,2.59,4.4,34.1,22.7,187.1,86.7,24.8,70.5,13.0,4.0,1.0,4.0,186.0,198.0,244.0,63.9,4.0,4.0,58.0,1.0,70.0,198.0,143.0,341.0,1.38,65.0,97.0,38.0,17.0,18.0,8.0,5.0,10.0,0.0,18.0,44.4,42.62,18.94,43.0,43.0,27.0,51.0,2.83,6.38,35.3,15.7,187.1,86.1,23.58,68.5,11.0,3.0,6.0,2.0,154.0,194.0,220.0,64.5,5.0,15.0,64.0,6.0,62.5,TIO Stadium,14.0,WLLLLLLLWW,3.0,7.0,0.0
