Round,Home_Team,Away_Team,Venue,Ladder Pos_H,Form_H,Season Wins_H,Season Loss_H,Season Draw_H,H_Points For avg,H_Points Against avg,H_Margin avg,"H_Team Won? (1=W, 0=L) avg",H_Team_against_ID avg,H_Kicks avg,H_Handballs avg,H_Disposals avg,H_Kick to HB Ratio avg,H_Marks avg,H_Tackles avg,H_Hitouts avg,H_Frees For avg,H_Frees Against avg,H_Goals Kicked avg,H_Goal Assists1 avg,H_Behinds Kicked avg,H_Rushed Behinds avg,H_Scoring Shots avg,H_Conversion % avg,H_Disposals Per Goal avg,H_Disposals Per Scoring Shot avg,H_Clearances1 avg,H_Clangers1 avg,H_Rebound 50s1 avg,H_Inside 50s avg,H_In50s Per Scoring Shot avg,H_In50s Per Goal avg,H_% In50s Score avg,H_% In50s Goal avg,H_Height avg,H_Weight avg,H_Age avg,H_Av Games avg,H_<50 Games avg,H_50-99 Games avg,H_100-149 Games avg,H_>150 Games avg,H_Contested Poss avg,H_Uncontested Poss avg,H_Effective Disposals avg,H_Disposal Efficiency avg,H_Contested Marks avg,H_Marks Inside 50 avg,H_1%ers avg,H_Bounces avg,H_Goal Assist % avg,H_Kicks (O) avg,H_Handballs (O) avg,H_Disposals (O) avg,H_Kick to HB Ratio (O) avg,H_Marks (O) avg,H_Tackles(O) avg,H_Hitouts(O) avg,H_Frees For(O) avg,H_Frees Against(O) avg,H_Goals Kicked(O) avg,H_Goal Assists1(O) avg,H_Behinds Kicked(O) avg,H_Rushed Behinds(O) avg,H_Scoring Shots(O) avg,H_Conversion %(O) avg,H_Disposals Per Goal(O) avg,H_Disposals Per Scoring Shot(O) avg,H_Clearances1(O) avg,H_Clangers1(O) avg,H_Rebound 50s1(O) avg,H_Inside 50s(O) avg,H_In50s Per Scoring Shot(O) avg,H_In50s Per Goal(O) avg,H_% In50s Score(O) avg,H_% In50s Goal(O) avg,H_Height(O) avg,H_Weight(O) avg,H_Age(O) avg,H_Av Games(O) avg,H_<50 Games(O) avg,H_50-99 Games(O) avg,H_100-149 Games(O) avg,H_>150 Games(O) avg,H_Contested Poss(O) avg,H_Uncontested Poss(O) avg,H_Effective Disposals(O) avg,H_Disposal Efficiency(O) avg,H_Contested Marks(O) avg,H_Marks Inside 50(O) avg,H_1%ers(O) avg,H_Bounces(O) avg,H_Goal Assist %(O) avg,H_Recent_Matchup_Diff,Ladder Pos_A,Form_A,Season Wins_A,Season Loss_A,Season Draw_A,A_Points For avg,A_Points Against avg,A_Margin avg,"A_Team Won? (1=W, 0=L) avg",A_Team_against_ID avg,A_Kicks avg,A_Handballs avg,A_Disposals avg,A_Kick to HB Ratio avg,A_Marks avg,A_Tackles avg,A_Hitouts avg,A_Frees For avg,A_Frees Against avg,A_Goals Kicked avg,A_Goal Assists1 avg,A_Behinds Kicked avg,A_Rushed Behinds avg,A_Scoring Shots avg,A_Conversion % avg,A_Disposals Per Goal avg,A_Disposals Per Scoring Shot avg,A_Clearances1 avg,A_Clangers1 avg,A_Rebound 50s1 avg,A_Inside 50s avg,A_In50s Per Scoring Shot avg,A_In50s Per Goal avg,A_% In50s Score avg,A_% In50s Goal avg,A_Height avg,A_Weight avg,A_Age avg,A_Av Games avg,A_<50 Games avg,A_50-99 Games avg,A_100-149 Games avg,A_>150 Games avg,A_Contested Poss avg,A_Uncontested Poss avg,A_Effective Disposals avg,A_Disposal Efficiency avg,A_Contested Marks avg,A_Marks Inside 50 avg,A_1%ers avg,A_Bounces avg,A_Goal Assist % avg,A_Kicks (O) avg,A_Handballs (O) avg,A_Disposals (O) avg,A_Kick to HB Ratio (O) avg,A_Marks (O) avg,A_Tackles(O) avg,A_Hitouts(O) avg,A_Frees For(O) avg,A_Frees Against(O) avg,A_Goals Kicked(O) avg,A_Goal Assists1(O) avg,A_Behinds Kicked(O) avg,A_Rushed Behinds(O) avg,A_Scoring Shots(O) avg,A_Conversion %(O) avg,A_Disposals Per Goal(O) avg,A_Disposals Per Scoring Shot(O) avg,A_Clearances1(O) avg,A_Clangers1(O) avg,A_Rebound 50s1(O) avg,A_Inside 50s(O) avg,A_In50s Per Scoring Shot(O) avg,A_In50s Per Goal(O) avg,A_% In50s Score(O) avg,A_% In50s Goal(O) avg,A_Height(O) avg,A_Weight(O) avg,A_Age(O) avg,A_Av Games(O) avg,A_<50 Games(O) avg,A_50-99 Games(O) avg,A_100-149 Games(O) avg,A_>150 Games(O) avg,A_Contested Poss(O) avg,A_Uncontested Poss(O) avg,A_Effective Disposals(O) avg,A_Disposal Efficiency(O) avg,A_Contested Marks(O) avg,A_Marks Inside 50(O) avg,A_1%ers(O) avg,A_Bounces(O) avg,A_Goal Assist %(O) avg,A_Recent_Matchup_Diff
5.0,5,4,MCG,1.0,4.0,4.0,0.0,0.0,125.25,69.25,56.0,1.0,8.25,239.0,149.5,388.5,1.6175,101.25,67.25,44.25,23.5,22.75,18.75,11.5,10.75,2.0,31.5,58.349999999999994,22.895,12.8075,38.5,50.5,33.25,61.25,1.9875,3.485,47.75,29.700000000000003,189.175,89.25,24.8675,83.39999999999999,8.75,8.25,1.0,4.0,163.5,221.0,272.75,69.525,14.0,12.25,40.25,11.75,58.9,185.5,118.0,303.5,1.6025,70.0,56.75,38.5,22.75,23.25,9.5,5.5,10.25,2.0,21.75,43.825,35.2075,15.3975,38.75,50.25,40.25,46.75,2.225,5.129999999999999,41.675,20.275,186.55,87.2,25.369999999999997,89.25,8.0,6.0,3.25,4.75,142.5,155.25,196.5,64.875,11.0,8.25,48.25,7.0,53.8,0.0,7.0,3.0,3.0,1.0,0.0,105.75,102.75,3.0,0.75,9.75,221.0,129.25,350.25,1.7425,93.25,60.25,27.5,18.5,18.75,15.25,11.25,11.75,2.5,29.5,51.8,23.22,12.03,36.5,44.5,36.25,55.5,1.8925,3.6475,48.925,27.5,186.625,90.125,25.5775,105.05000000000001,5.75,5.75,2.25,8.25,148.5,196.0,247.25,70.65,12.75,14.5,47.25,9.75,73.5,200.5,139.25,339.75,1.445,66.25,52.75,41.5,18.75,18.5,15.25,9.25,9.5,1.75,26.5,56.949999999999996,23.61,13.150000000000002,41.0,46.25,34.5,53.5,2.065,3.675,46.075,28.125,187.85000000000002,88.0,24.889999999999997,89.525,6.75,7.5,3.25,4.5,144.5,188.0,234.25,68.925,8.25,10.25,54.5,8.75,61.825,0.0
5.0,15,16,Westpac Stadium,10.0,1.0,1.0,3.0,0.0,97.5,96.25,1.25,0.25,9.0,211.75,152.5,364.25,1.415,95.0,50.75,33.75,18.5,23.0,14.0,10.5,10.5,3.0,27.5,50.375,27.4925,13.4375,32.75,53.5,33.0,56.25,2.08,4.295,43.3,24.725,187.05,86.82499999999999,26.244999999999997,107.8,8.25,4.25,2.25,7.25,135.75,230.25,269.5,73.6,11.0,13.5,46.75,13.75,74.95,211.0,138.25,349.25,1.525,91.0,46.5,35.5,23.25,18.25,14.0,8.25,11.0,1.25,26.25,53.375,25.56,13.612499999999999,33.5,46.75,37.5,51.75,2.0125,3.79,47.925,26.75,188.32500000000002,87.675,23.73,64.525,11.5,5.75,2.25,2.5,141.5,206.0,243.0,69.72500000000001,13.25,8.75,46.5,11.75,59.724999999999994,0.0,5.0,3.0,3.0,1.0,0.0,113.5,91.25,22.25,0.75,9.0,206.5,152.5,359.0,1.3525,62.5,62.25,52.0,23.0,25.25,17.25,12.25,7.25,2.75,27.25,63.55,20.982499999999998,13.3225,43.75,54.75,35.75,55.75,2.0725,3.25,44.25,31.05,186.875,88.425,27.215,129.67499999999998,3.75,6.75,4.0,7.5,165.0,187.25,256.0,71.32499999999999,12.75,9.75,45.25,8.75,70.775,208.25,137.0,345.25,1.5625,77.75,57.5,39.25,25.25,23.0,13.5,7.0,7.5,2.75,23.75,56.775,26.575,14.93,45.75,49.75,35.0,51.0,2.1825,3.8825000000000003,40.824999999999996,26.15,187.8,87.275,24.0075,69.55,12.25,3.75,2.75,3.25,156.5,186.5,235.0,67.875,9.0,8.0,43.0,7.0,49.025,0.0
5.0,6,14,Domain Stadium,9.0,2.0,2.0,2.0,0.0,89.5,87.0,2.5,0.5,12.5,205.5,120.0,325.5,1.7525,85.5,69.25,35.5,21.5,21.75,13.0,8.5,10.0,1.5,24.5,52.525,26.5375,13.44,41.75,45.0,29.0,53.25,2.185,4.364999999999999,43.3,24.8,187.2,87.5,25.522499999999997,90.275,5.5,9.0,3.0,4.5,148.25,176.25,219.0,67.25,9.5,11.0,43.0,5.5,65.875,203.0,140.25,343.25,1.465,77.25,74.0,51.75,22.0,21.5,12.5,8.25,10.25,1.75,24.5,50.4,28.5725,14.092500000000001,39.25,50.25,36.5,45.25,1.8599999999999999,3.7749999999999995,50.45,27.5,187.925,87.89999999999999,25.055,93.1,9.25,4.5,2.5,5.75,155.75,186.25,228.25,66.1,13.75,9.5,50.0,8.25,64.0,0.0,6.0,3.0,3.0,1.0,0.0,104.75,91.0,13.75,0.75,10.0,213.0,146.0,359.0,1.4625000000000001,89.75,41.0,32.25,22.25,21.25,14.75,9.75,13.5,2.75,31.0,47.525,25.130000000000003,11.8175,35.25,47.25,33.25,56.25,1.8325,3.915,50.0,25.999999999999996,188.175,88.525,25.14,91.125,4.5,9.75,4.75,3.0,138.0,220.25,258.0,71.65,11.5,12.75,46.75,14.5,64.45,199.75,134.75,334.5,1.505,85.75,49.25,31.75,21.25,22.25,13.0,9.25,9.75,3.25,26.0,50.95,26.2425,13.474999999999998,32.75,49.0,34.5,51.0,2.0175,3.9524999999999997,43.8,25.475,186.825,87.775,25.715,97.89999999999999,8.0,4.75,2.75,6.5,134.0,199.5,239.5,71.6,12.0,14.25,43.25,8.0,71.075,0.0
5.0,9,8,Manuka Oval,18.0,0.0,0.0,4.0,0.0,81.25,131.0,-49.75,0.0,13.75,191.25,138.75,330.0,1.4175,70.25,50.5,34.25,23.5,23.0,11.75,5.5,9.25,1.5,22.5,52.35,28.395,14.8625,38.25,53.25,34.75,44.0,2.005,3.825,48.15,26.825,187.075,84.5,21.794999999999998,32.45,17.5,2.75,1.0,0.75,138.5,188.5,223.75,67.925,5.25,6.75,44.0,11.25,47.15,218.25,166.25,384.5,1.32,94.5,62.75,39.5,23.25,22.75,19.5,14.0,11.0,3.0,33.5,58.725,19.9425,11.6675,35.0,48.0,27.5,58.75,1.7625000000000002,3.03,51.925,33.375,187.5,87.5,25.444999999999997,90.275,9.0,4.25,4.0,4.75,149.5,233.75,282.25,73.15,15.5,16.25,41.75,13.25,70.65,0.0,14.0,1.0,1.0,3.0,0.0,80.25,97.25,-17.0,0.25,11.5,206.75,129.25,336.0,1.6099999999999999,66.75,60.5,34.5,20.0,21.25,11.5,7.75,9.5,1.75,22.75,51.025,29.9875,15.097499999999998,40.75,56.5,39.25,51.25,2.2875,4.575,41.05,22.675,188.25000000000003,87.775,23.305,56.22500000000001,15.5,2.5,1.75,2.25,156.0,172.75,224.5,66.75,7.75,8.0,61.5,8.0,67.14999999999999,226.0,145.25,371.25,1.5625,83.5,61.25,41.25,21.25,20.0,14.0,10.0,7.5,5.75,27.25,51.775,27.475,13.7575,38.25,51.25,35.75,57.25,2.1075,4.29,37.625,24.6,187.5,87.80000000000001,25.43,96.64999999999999,7.25,6.0,4.0,4.75,153.0,216.5,270.0,72.65,8.0,10.75,55.5,6.5,73.42500000000001,0.0
5.0,3,1,MCG,13.0,1.0,1.0,3.0,0.0,98.25,101.75,-3.5,0.25,10.5,196.0,145.75,341.75,1.365,67.25,59.0,35.25,15.75,20.0,14.0,9.0,11.75,2.5,28.25,50.05,24.762499999999996,12.11,36.25,45.75,37.0,52.75,1.8775000000000002,3.7649999999999997,49.325,26.65,187.625,87.4,25.18,91.675,5.75,8.5,4.0,3.75,151.25,187.5,238.5,69.75,11.0,11.25,48.5,16.5,63.575,213.0,138.0,351.0,1.5625,83.0,56.25,32.25,20.5,15.5,14.0,9.0,12.75,5.0,31.75,44.35,28.3975,11.145,35.5,39.25,32.75,58.25,1.8425,4.64,45.900000000000006,23.650000000000002,187.675,88.675,25.5275,101.625,6.0,6.5,4.0,5.5,149.5,197.0,243.25,69.175,8.75,11.25,45.75,11.5,67.325,0.0,8.0,2.0,2.0,2.0,0.0,91.75,85.0,6.75,0.5,9.5,208.0,130.75,338.75,1.6075,76.0,66.0,40.5,23.0,23.0,13.25,8.25,8.75,3.5,25.5,52.425,26.1075,13.692499999999999,41.25,48.75,40.0,52.75,2.1125,4.0425,41.9,25.25,185.35000000000002,88.125,25.41,83.075,8.5,6.5,2.75,4.25,157.75,170.75,224.0,66.35000000000001,13.0,9.25,43.0,6.25,62.275,206.25,137.75,344.0,1.515,70.25,72.25,47.5,23.0,23.0,12.25,6.75,9.0,2.5,23.75,51.3,40.0175,19.88,42.75,48.75,34.5,53.0,2.75,5.5325,38.45,21.975,187.9,87.80000000000001,24.409999999999997,75.625,10.5,5.0,3.0,3.5,157.5,180.75,229.5,66.825,11.5,7.0,44.0,8.5,62.275,0.0
5.0,13,17,AAMI Stadium,2.0,4.0,4.0,0.0,0.0,122.25,76.75,45.5,1.0,7.25,227.5,157.75,385.25,1.445,104.75,57.5,34.25,24.25,21.5,17.75,12.25,11.25,4.5,33.5,54.225,21.85,11.9975,35.25,47.0,29.25,59.5,1.815,3.3474999999999997,48.425,29.9,188.4,87.475,23.534999999999997,63.075,11.25,4.0,4.5,2.25,141.25,239.5,280.5,72.725,12.0,15.5,39.75,8.0,68.375,193.25,129.25,322.5,1.5,74.75,52.0,33.5,21.75,24.0,11.0,7.25,8.5,2.25,21.75,50.74999999999999,31.2825,15.71,37.5,56.0,38.25,46.5,2.255,4.5025,42.45,23.95,187.075,87.17500000000001,23.855,62.175,12.25,4.5,2.75,2.5,137.75,181.25,223.0,69.225,8.75,9.75,45.25,8.75,67.275,0.0,12.0,1.0,1.0,3.0,0.0,105.0,107.0,-2.0,0.25,7.5,191.5,137.75,329.25,1.4124999999999999,69.25,70.25,41.25,22.5,19.5,15.0,9.25,10.75,4.25,30.0,49.2,27.127499999999998,11.3,43.5,42.5,30.25,47.0,1.5775000000000001,3.8775000000000004,54.25,31.65,187.875,87.2,25.47,99.55000000000001,6.25,7.25,4.25,4.25,150.5,176.25,226.5,68.47500000000001,12.0,11.75,40.25,11.75,65.025,200.25,148.0,348.25,1.3675000000000002,76.25,64.5,40.0,19.75,22.25,16.0,7.0,8.75,2.25,27.0,60.1,23.189999999999998,13.445,36.0,45.0,28.25,52.0,1.9674999999999998,3.3300000000000005,48.025000000000006,30.55,187.05,87.45,25.34,91.475,7.25,6.25,3.5,5.0,150.0,197.75,242.5,69.575,11.75,10.0,45.0,14.75,44.4,0.0
5.0,18,7,Marvel Stadium,15.0,1.0,1.0,3.0,0.0,75.25,95.0,-19.75,0.25,5.75,203.75,140.0,343.75,1.4575,75.0,67.5,46.5,25.25,23.25,11.0,8.0,6.75,2.5,20.25,53.199999999999996,42.3175,21.86,41.25,48.5,34.25,45.25,2.7325000000000004,5.265000000000001,37.775,23.375,187.475,87.35,25.0275,80.525,13.25,1.0,1.75,6.0,149.5,191.75,233.0,67.8,8.25,8.0,51.5,3.75,77.775,210.75,141.25,352.0,1.5125000000000002,90.5,71.25,34.5,23.25,25.25,13.75,10.5,9.75,2.75,26.25,51.949999999999996,28.8525,13.9,36.75,49.25,32.75,52.25,2.045,4.285,44.7,25.9,187.15,88.025,25.19,83.32499999999999,7.25,7.75,3.75,3.25,146.5,203.5,245.25,69.60000000000001,10.75,13.5,44.75,9.25,74.82499999999999,0.0,3.0,4.0,4.0,0.0,0.0,112.0,100.0,12.0,1.0,10.25,198.5,169.25,367.75,1.1775,83.75,60.75,33.75,22.0,21.5,16.5,10.0,11.5,1.5,29.5,56.0,22.744999999999997,12.5125,32.25,46.75,35.75,61.75,2.09,3.8125,45.349999999999994,26.849999999999998,187.97500000000002,88.5,26.01,104.825,8.25,2.5,5.25,6.0,148.0,220.25,263.75,71.65,10.75,13.25,40.0,5.25,61.224999999999994,211.25,152.25,363.5,1.4274999999999998,82.75,58.75,40.5,21.5,21.75,15.0,11.5,8.5,1.5,25.0,60.825,24.86,14.625,40.75,52.0,42.25,55.25,2.2125,3.8175,43.65,28.525000000000002,187.275,87.75,25.535,102.025,5.75,7.25,3.25,5.75,151.75,208.75,268.0,73.725,9.25,11.5,41.25,13.0,77.4,0.0
5.0,2,11,Gabba,16.0,1.0,1.0,3.0,0.0,73.0,110.0,-37.0,0.25,9.75,188.5,139.25,327.75,1.3575,68.25,64.0,36.25,21.75,24.0,9.75,6.75,10.0,4.5,24.25,40.974999999999994,34.935,14.127500000000001,35.25,51.0,39.25,51.5,2.175,5.44,38.599999999999994,18.75,187.0,87.65,24.5975,78.17500000000001,8.5,6.5,5.0,2.0,139.5,188.0,229.0,69.825,6.5,8.5,57.75,9.25,69.30000000000001,227.5,134.75,362.25,1.7125,94.5,63.5,37.25,24.0,21.75,16.0,10.0,11.75,2.25,30.0,53.175000000000004,22.96,12.137500000000001,38.25,48.75,37.25,58.75,1.985,3.7600000000000007,47.25,27.3,187.15,87.625,24.6325,74.07499999999999,11.0,4.75,2.5,3.75,148.75,210.75,264.75,72.77499999999999,10.5,12.0,54.75,10.75,63.775,0.0,17.0,1.0,1.0,3.0,0.0,79.25,149.25,-70.0,0.25,11.0,177.75,132.75,310.5,1.3399999999999999,76.5,57.5,42.5,22.5,20.75,12.0,7.0,6.0,1.25,19.25,59.875,32.67,18.3875,33.75,47.25,35.75,42.25,2.38,4.1475,40.775000000000006,26.575000000000003,187.15,87.1,24.285,63.125,10.75,4.75,5.25,1.25,129.75,179.0,219.0,70.375,14.5,9.75,43.75,10.75,51.55,226.25,172.25,398.5,1.32,95.25,64.0,35.0,21.25,22.5,22.25,14.5,12.5,3.25,38.0,57.875,18.8475,10.715,42.25,49.0,28.0,61.75,1.6224999999999998,2.8375,56.3,35.824999999999996,188.04999999999998,86.87499999999999,23.972499999999997,68.925,11.0,6.0,2.25,2.75,151.75,242.0,293.75,73.35,12.25,15.5,40.5,12.75,63.650000000000006,0.0
5.0,10,12,MCG,4.0,3.0,3.0,1.0,0.0,124.25,89.25,35.0,0.75,8.5,218.5,162.0,380.5,1.3624999999999998,85.5,65.0,42.5,22.25,18.5,18.75,11.25,9.5,2.25,30.5,60.77499999999999,21.932499999999997,12.72,41.0,44.75,31.25,59.25,1.9749999999999999,3.415,48.225,32.15,187.025,87.875,25.432499999999997,107.92500000000001,7.75,3.0,2.0,9.25,155.75,223.75,278.25,73.1,11.75,12.75,53.5,8.0,63.675,194.0,148.5,342.5,1.3075,75.75,59.75,36.75,18.5,22.25,13.0,8.75,8.5,2.75,24.25,54.00000000000001,26.71,14.192499999999999,40.0,48.5,34.75,47.5,1.9575,3.715,45.75,28.3,187.3,88.1,25.32,93.55,6.75,6.5,3.5,5.25,147.25,191.5,242.0,70.67500000000001,11.25,10.5,45.0,6.25,66.55,0.0,11.0,1.0,1.0,3.0,0.0,103.0,102.0,1.0,0.25,7.25,224.0,138.0,362.0,1.6525,95.75,52.75,45.25,23.25,22.0,15.25,9.0,8.75,2.75,26.75,58.125,24.097499999999997,13.875,41.75,47.5,37.0,51.75,1.9575,3.455,46.400000000000006,30.15,187.825,87.775,24.555,79.725,6.75,9.5,2.75,3.0,143.5,216.75,266.75,73.55,12.25,9.75,39.75,9.25,60.39999999999999,194.0,150.0,344.0,1.335,77.25,59.0,35.75,22.0,23.25,15.0,11.0,10.75,1.25,27.0,55.25,24.8825,13.565,35.0,47.0,34.0,56.75,2.165,3.98,44.975,26.349999999999998,187.225,88.775,25.745,104.1,6.75,5.5,4.25,5.5,142.25,200.75,249.25,72.44999999999999,11.0,11.25,43.5,6.0,74.925,0.0
6.0,4,15,Marvel Stadium,8.0,2.0,3.0,2.0,0.0,98.75,111.25,-12.5,0.5,8.0,220.75,139.0,359.75,1.63,95.0,58.5,26.25,16.5,17.25,14.0,10.5,12.25,2.5,28.75,48.4,26.895000000000003,12.76,36.0,45.25,34.75,54.25,1.8975,3.955,48.650000000000006,25.625,186.525,90.05,25.535,104.525,5.75,5.75,2.0,8.5,146.25,208.25,255.75,71.1,11.75,14.25,47.75,16.25,75.175,202.0,137.75,339.75,1.4725000000000001,72.75,57.0,43.0,17.25,16.5,16.5,10.5,10.25,2.0,28.75,56.7,21.725,11.985000000000001,38.25,44.25,34.75,53.25,1.8825,3.3775,50.125,30.65,188.0,88.4,25.237499999999997,89.44999999999999,7.25,7.0,3.0,4.75,142.5,191.0,237.0,69.69999999999999,9.75,12.0,53.25,9.75,63.975,0.0,14.0,1.0,1.0,4.0,0.0,94.0,93.5,0.5,0.25,11.0,204.5,152.0,356.5,1.365,87.25,63.0,32.75,15.5,23.75,13.75,9.5,9.25,2.25,25.25,53.625,27.6175,14.649999999999999,36.0,56.0,36.0,54.0,2.2274999999999996,4.209999999999999,41.975,25.0,187.05,86.5,26.099999999999998,107.425,8.25,4.0,2.5,7.25,142.5,212.75,247.0,68.5,11.0,12.5,48.25,11.5,66.35,209.75,146.75,356.5,1.44,88.75,55.5,41.5,24.25,15.25,13.5,7.5,11.0,1.5,26.0,51.825,27.39,14.055,34.25,43.0,35.25,54.0,2.1275,4.1675,45.25,24.900000000000002,187.97499999999997,87.875,24.522499999999997,80.9,8.5,7.25,2.75,3.5,146.5,210.25,243.25,68.4,13.0,9.25,43.75,9.5,56.05,0.0
