"Player","TM","GM","Off PAV","Def PAV","Mid PAV","Total PAV","Off mPAV","Def mPAV","Mid mPAV","Total mPAV"
"Oliver, Clayton","ME","16","5.03","5.64","17.25","27.92","0.156","0.297","2.968","1.140"
"Petracca, Christian","ME","16","9.86","2.33","13.43","25.62","1.267","-0.463","2.088","0.964"
"Miller, Touk","GC","16","5.67","4.23","15.41","25.31","0.305","-0.027","2.544","0.941"
"Macrae, Jack","WB","16","5.11","4.49","14.51","24.11","0.176","0.032","2.337","0.848"
"Bontempelli, Marcus","WB","15","9.00","3.19","11.79","23.98","1.208","-0.217","1.892","0.961"
"Cripps, Patrick","CA","15","7.31","1.68","13.49","22.48","0.793","-0.588","2.309","0.838"
"Mills, Callum","SY","16","5.36","6.66","10.16","22.18","0.233","0.532","1.336","0.701"
"Brayshaw, Andrew","FR","16","5.71","5.62","10.81","22.14","0.312","0.292","1.487","0.697"
"Neale, Lachie","BL","16","5.88","3.41","12.77","22.06","0.351","-0.217","1.938","0.691"
"Liberatore, Tom","WB","16","5.24","3.56","13.15","21.95","0.205","-0.180","2.024","0.683"
"Parker, Luke","SY","16","6.48","3.54","11.86","21.88","0.490","-0.185","1.728","0.677"
"Lyons, Jarryd","BL","16","6.26","3.10","12.47","21.82","0.439","-0.288","1.868","0.673"
"Crisp, Jack","CW","16","5.55","5.04","11.08","21.67","0.277","0.160","1.547","0.661"
"Gawn, Max","ME","14","7.43","3.40","10.85","21.67","0.952","-0.107","1.853","0.899"
"Bolton, Shai","RI","16","11.52","1.17","8.83","21.51","1.649","-0.731","1.030","0.649"
"Blicavs, Mark","GE","16","5.19","6.21","9.83","21.23","0.193","0.429","1.261","0.628"
"Sicily, James","HW","16","1.37","18.14","1.66","21.18","-0.685","3.173","-0.618","0.623"
"Anderson, Noah","GC","15","5.22","4.32","11.57","21.11","0.282","0.059","1.839","0.727"
"Witts, Jarrod","GC","16","6.96","2.66","11.13","20.75","0.601","-0.388","1.559","0.591"
"Boak, Travis","PA","15","5.09","3.26","12.21","20.56","0.248","-0.199","1.996","0.682"
"Warner, Chad","SY","15","7.28","3.33","9.69","20.30","0.785","-0.182","1.378","0.660"
"Curnow, Charlie","CA","16","15.24","1.40","3.15","19.79","2.506","-0.678","-0.276","0.517"
"Dawson, Jordan","AD","16","4.98","11.08","3.73","19.79","0.146","1.548","-0.143","0.517"
"May, Steven","ME","14","0.35","18.15","1.05","19.56","-0.907","3.772","-0.724","0.714"
"Keays, Ben","AD","16","5.38","3.46","10.66","19.50","0.238","-0.204","1.451","0.495"
"Short, Jayden","RI","16","4.54","6.68","8.26","19.48","0.045","0.535","0.900","0.494"
"Gresham, Jade","SK","16","8.51","1.33","9.51","19.35","0.958","-0.694","1.186","0.483"
"Viney, Jack","ME","14","4.41","4.67","10.14","19.22","0.160","0.229","1.664","0.684"
"Sinclair, Jack","SK","16","3.42","10.27","5.41","19.10","-0.213","1.361","0.244","0.464"
"Brodie, Will","FR","16","4.33","3.24","11.50","19.08","-0.003","-0.255","1.645","0.462"
"Cameron, Jeremy","GE","16","13.44","1.57","4.07","19.08","2.092","-0.639","-0.064","0.463"
"Kelly, Josh","GW","16","6.10","4.06","8.89","19.06","0.404","-0.066","1.045","0.461"
